"chrom","start.pos","end.pos","n.probes","GSM2403712_9007225017_R03C02","GSM2403713_9007225026_R02C02","GSM2403716_9007225017_R01C01","GSM2403766_9296930031_R05C02","GSM2403767_9296930031_R06C02","GSM2403784_9296930094_R06C02","GSM2403785_9296930094_R03C02","GSM2403786_9296930094_R02C02","GSM2403789_9296930089_R06C02","GSM2403790_9296930094_R01C01","GSM2404001_9305651095_R06C02","GSM2404169_9407201033_R06C01","GSM2404170_9407201032_R06C02","GSM2404171_9407201033_R02C01","GSM2404174_9407201033_R04C01","GSM2404176_9407201033_R05C01","GSM2404177_9407201033_R01C01","GSM2404606_9741950007_R03C02","GSM2405044_9969477081_R06C02","GSM2405045_9969477083_R01C01","GSM2405046_9969477081_R02C02","GSM2405047_9969477081_R01C02","GSM2405049_9969477081_R03C02","GSM2405050_9969477081_R05C02","GSM2405051_9969477081_R04C01"
"11",11,60001,134800001,914,0.046,-0.019,0.01,0.056,0.026,0.07,0.041,0.017,0.05,0.062,0.091,0.005,0.021,0.035,0.043,0.004,0.01,0.045,-0.006,0.001,0.01,-0.024,-0.01,0.002,-0.002
"12",12,145740,133700001,848,0.052,0.01,0.035,0.037,0.026,0.08,0.028,0.013,0.036,0.041,0.066,0.033,0.029,0.071,0.033,0.021,0.022,0.065,-0.014,-0.006,0.002,-0.011,-0.014,-0.009,-0.006
"13",13,19020001,115050001,431,0.126,-0.001,0.073,0.076,-0.011,0.188,0.102,0.08,0.112,0.091,0.092,0.03,0.026,0.11,0.188,0.086,0.039,0.124,-0.123,-0.038,-0.048,-0.151,-0.119,-0.069,-0.049
"14",14,19000001,106950001,528,0.022,0.024,0.011,0.025,0.042,0.03,0.019,0.008,0.036,0.038,0.058,0.039,0.021,0.018,-0.022,0.002,0.027,0.022,0.042,0.028,0.031,0.053,0.032,0.023,0.027
"15",15,20000001,102300001,571,0.029,0.036,0.022,0.033,0.054,0.039,0.025,0.021,0.044,0.047,0.074,0.033,-0.005,0.026,0.011,0.014,0.03,0.04,0.059,0.038,0.038,0.072,0.043,0.031,0.035
"16",16,60001,90150001,624,0.009,0.024,0.05,0.055,0.021,0.072,0.027,0.039,0.012,0.034,0.068,-0.024,0.022,0.067,0.175,0.033,0.014,0.056,0.01,-0.004,0.021,-0.006,0.019,0.017,0.01
"17",17,1,81050001,814,-0.081,-0.029,0.007,-0.073,-0.044,-0.054,-0.089,-0.077,-0.107,-0.085,-0.084,-0.003,-0.048,0.019,-0.034,-0.031,-0.038,0.011,0.012,-0.022,-0.013,0.047,0.021,-0.011,-0.01
"18",18,10001,77950001,243,-0.082,-0.049,-0.041,-0.116,-0.073,-0.144,-0.095,-0.094,-0.103,-0.101,-0.151,-0.038,-0.089,-0.096,-0.083,-0.074,-0.056,-0.111,-0.023,-0.02,-0.06,0.031,-0.037,-0.052,-0.05
"19",19,60001,59050001,711,-0.052,0.003,0.025,-0.014,-0.015,-0.04,-0.055,-0.018,-0.082,-0.064,-0.009,-0.03,-0.044,-0.012,0,-0.029,-0.035,-0.026,-0.009,-0.029,0,0.01,0.014,-0.015,-0.001
"20",20,60001,62850001,359,-0.001,-0.03,0,0,-0.021,-0.006,0.002,-0.01,-0.002,0.008,0.001,-0.032,-0.039,-0.039,-0.059,-0.044,-0.033,-0.01,-0.006,-0.01,-0.007,-0.028,-0.008,-0.012,-0.008
"21",21,10697897,48050001,157,0.021,0.026,0.055,0.019,0.016,0.074,0.019,0.01,0.007,0.014,0.02,-0.12,0.048,0.061,0.123,0.049,0.023,0.068,-0.009,0.004,0.001,0.001,-0.006,-0.016,-0.005
"22",22,16050001,51200001,300,-0.044,0.045,0.036,0.008,0.032,-0.004,-0.017,-0.007,-0.023,-0.011,0.022,-0.041,0.012,0.041,-0.042,0.002,0.022,0.036,0.097,0.046,0.045,0.11,0.088,0.054,0.058
