"chrom","start.pos","end.pos","n.probes","GSM2402915_6929689168_R06C01","GSM2402921_6164621144_R02C01","GSM2402974_6929718026_R06C01","GSM2402975_6929718026_R01C02","GSM2403070_6229017022_R06C02","GSM2403463_8622007027_R01C01","GSM2403719_9007225017_R01C02","GSM2404119_9376561062_R05C01","GSM2404124_9379086124_R04C01","GSM2404128_9379086124_R02C02","GSM2404148_9407201022_R06C01","GSM2404149_9407201022_R03C02","GSM2404153_9407201022_R04C01","GSM2404155_9407201022_R04C02","GSM2404156_9407201021_R02C01","GSM2404162_9407201022_R05C02","GSM2404168_9407201022_R02C01","GSM2404379_9422493151_R06C02","GSM2404776_9769100008_R02C01","GSM2404836_9533774082_R05C01","GSM2404842_9533774084_R03C01","GSM2404880_9534104026_R01C01","GSM2404882_9534104026_R05C01","GSM2405013_9969477044_R03C02","GSM2405016_9969477044_R04C02","GSM2405210_9878820127_R04C01","GSM2405251_9878827227_R04C01","GSM2405449_3999875052_R01C02","GSM2405450_3999875052_R02C02","GSM2941232_3999547142_R01C01","GSM2941448_9533774021_R02C02"
"11",11,60001,134800001,914,0.076,0.111,0.041,0.039,0.051,0.029,0.083,0.059,-0.009,0.013,0.019,0.047,-0.037,0.041,0,0.053,0.012,-0.046,-0.008,0.024,-0.007,0.001,-0.01,0.012,-0.016,0.075,0.02,0.019,0.038,0.042,-0.037
"12",12,145740,133700001,848,0.055,0.06,0.039,0.029,0.043,0.024,0.107,0.039,0.004,0.004,0.019,0.046,-0.004,0.04,0.01,0.043,0.023,0.003,-0.017,0.037,0.019,-0.001,-0.005,0.007,0.012,0.075,0.037,0.058,-0.024,0.038,0.125
"13",13,19020001,115050001,431,0.059,0.111,-0.027,0.01,0.028,-0.023,0.165,0.063,-0.081,-0.008,0.015,0.104,-0.047,0.082,-0.011,0.074,0.059,-0.095,-0.091,0.085,0.016,-0.057,-0.128,-0.096,-0.137,0.13,-0.189,0.004,-0.04,0.013,0.077
"14",14,19000001,106950001,528,0.047,0.05,0.047,0.024,0.037,-0.14,0.045,0.042,0.167,0.016,0.046,0.026,0.023,0.041,0.024,0.038,0.009,0.02,0.035,0.014,0.016,0.028,0.036,0.054,0.075,0.048,0.025,0.071,0.064,0.044,-0.019
"15",15,20000001,102300001,571,0.057,0.047,0.057,0.033,0.047,0.052,0.067,0.053,0.029,0.027,0.038,0.037,0.034,0.028,0.032,0.043,0.028,0.042,0.038,0.019,0.013,0.033,0.047,0.062,0.085,0.061,0.038,-0.2,0.078,0.058,0.079
"16",16,60001,90150001,624,0.069,-0.169,0.057,0.042,0.047,0.029,0.069,0.052,-0.154,0.018,0.022,0.06,0.026,0.005,0.025,-0.059,0.046,0.021,-0.017,0.037,0.016,0.009,0.029,0.035,0.006,0.02,0.062,0.054,0.054,0.061,0.113
"17",17,1,81050001,814,-0.047,-0.085,-0.04,-0.04,-0.036,-0.024,-0.025,-0.033,-0.006,-0.04,-0.042,-0.071,0.013,-0.067,-0.07,-0.053,-0.028,0.027,-0.018,-0.06,-0.034,0.008,0.056,0.017,0.054,-0.086,-0.024,-0.004,-0.005,-0.021,-0.045
"18",18,10001,77950001,243,-0.111,-0.124,-0.102,-0.098,-0.088,-0.149,-0.178,-0.071,-0.234,-0.072,-0.043,-0.104,0.035,-0.084,-0.039,-0.091,-0.056,0.008,-0.001,-0.097,-0.048,-0.012,-0.002,-0.028,0.055,-0.074,-0.075,-0.047,-0.081,-0.079,0.031
"19",19,60001,59050001,711,0.014,-0.045,0.013,0.002,0.015,-0.015,0.061,-0.017,0.027,-0.015,-0.023,-0.036,0.01,-0.067,0.005,-0.009,-0.005,0.06,-0.038,-0.015,-0.016,0.01,0.027,0.004,0.026,-0.069,0.041,0.063,0.007,0.034,-0.07
"20",20,60001,62850001,359,0.009,0.015,-0.021,-0.005,0.01,-0.017,0.021,0.013,-0.01,-0.009,-0.032,-0.035,-0.046,-0.011,-0.02,0.004,-0.025,-0.063,-0.025,-0.039,-0.048,-0.003,0.004,-0.008,-0.032,0.005,-0.011,-0.03,-0.011,0.027,0.058
"21",21,10697897,48050001,157,0.029,0.046,0.019,0.007,0.009,0.024,0.016,0.028,0.006,-0.006,0.022,0.029,0.055,0.002,0.019,0.013,0.031,0.038,-0.01,0.013,0.002,0.004,-0.008,-0.002,0.023,0.015,0.025,0.032,-0.011,0.008,0.089
"22",22,16050001,23550001,63,-0.19,-0.118,-0.01,-0.003,-0.036,0.094,-0.055,0.022,-0.108,0.009,-0.046,-0.051,0.114,-0.051,0.065,-0.039,-0.18,0.029,0.013,-0.341,-0.169,0.057,0.074,-0.013,0.082,-0.396,0.12,-0.276,0.112,0.048,-0.439
"23",22,23750001,24550001,10,-0.391,-2.078,-1.567,-2.749,-3.105,-1.244,-0.349,-0.193,-0.14,-0.627,-0.929,-2.231,-0.648,-0.995,-1.467,-0.525,-2.549,-1.784,-0.532,-0.629,-1.525,0.177,-1.188,-0.408,-0.44,-1.793,-2.112,-0.599,-0.542,0.108,-0.597
"24",22,24600001,51200001,227,-0.085,-0.41,-0.005,0.026,-0.042,-0.056,-0.061,0.024,-0.103,0.015,-0.048,-0.024,-0.034,-0.05,-0.26,-0.19,-0.248,-0.04,0.044,-0.31,0.058,0.061,0.043,-0.048,0.109,-0.154,-0.305,-0.278,-0.135,0.07,-0.229
