"chrom","start.pos","end.pos","n.probes","GSM2403778_9296930016_R05C01","GSM2404240_9406921038_R03C01","GSM2404241_9406921038_R04C01","GSM2404242_9406921038_R06C01","GSM2404250_9406921038_R04C02","GSM2404251_9406921038_R05C02","GSM2404254_9406921039_R02C01","GSM2404433_9420867053_R06C01","GSM2404434_9420867053_R01C02","GSM2404693_9647455233_R06C01","GSM2405070_9969477101_R02C01","GSM2405632_3998568167_R05C01","GSM2940804_101178130118_R02C01","GSM2940867_200362700194_R01C01","GSM2941089_3998909089_R01C02","GSM2941229_3999543051_R04C01","GSM2941573_9741950149_R01C02","GSM2941693_9968646118_R01C02"
"11",7,10001,158950001,952,0.06,0.066,0.155,0.19,-0.01,0.285,-0.068,0.078,-0.133,0.122,0.229,0.153,0.079,0.169,-0.046,0.205,0.066,0.017
"12",8,10001,146250001,726,0.017,0.028,-0.195,-0.055,0.082,-0.107,-0.085,-0.122,-0.075,0.087,-0.13,-0.104,0.013,-0.003,-0.104,-0.02,0.127,0.004
"13",9,10001,141000001,383,-0.102,-0.078,-0.028,-0.062,-0.375,-0.08,-0.287,-0.069,-0.262,-0.094,-0.284,-0.082,-0.076,-0.218,-0.014,-0.114,-0.217,-0.216
"14",10,60001,135400001,840,-0.101,-0.129,-0.2,-0.054,-0.116,-0.058,-0.049,-0.082,-0.305,-0.064,-0.298,-0.06,-0.265,-0.176,-0.009,-0.237,-0.211,-0.27
"15",11,60001,78800001,599,0.03,-0.154,-0.207,-0.05,-0.129,-0.078,-0.077,-0.153,-0.106,-0.054,-0.13,-0.2,0.137,0.132,-0.08,-0.108,0.037,-0.263
"16",11,79100001,134800001,315,0.033,-0.178,-0.346,-0.385,-0.214,-0.365,-0.376,-0.629,-0.193,-0.105,-0.436,-0.505,-0.235,0.169,-0.143,-0.303,0.062,-0.405
"17",12,145740,133700001,848,-0.04,-0.183,-0.125,0.096,-0.156,-0.076,-0.075,-0.113,0.025,-0.061,-0.211,-0.105,-0.06,-0.213,-0.039,-0.08,-0.044,-0.265
"18",13,19020001,115050001,431,0.016,-0.221,-0.175,-0.467,-0.192,-0.01,-0.114,-0.085,-0.091,-0.062,-0.029,-0.144,-0.154,-0.261,-0.15,-0.081,-0.024,-0.15
"19",14,19000001,106950001,528,-0.011,-0.127,-0.204,-0.027,-0.139,-0.093,-0.071,-0.092,-0.138,-0.035,-0.138,-0.068,0.067,-0.202,-0.096,-0.09,0.077,-0.138
"20",15,20000001,54100001,211,0.028,-0.166,-0.144,-0.015,-0.148,-0.086,-0.047,-0.417,0.031,-0.237,-0.545,-0.03,-0.161,-0.507,0.037,0.002,-0.094,-0.166
"21",15,55450001,102300001,360,0.043,-0.165,-0.139,-0.002,-0.118,-0.077,-0.046,-0.181,0.041,-0.248,0.117,-0.035,0.039,0.044,0.055,0.015,0.015,-0.186
"22",16,60001,90150001,624,-0.007,-0.106,-0.122,0.013,0.019,-0.025,-0.024,-0.042,-0.057,-0.151,-0.023,-0.014,-0.011,0.025,-0.02,0.032,0.099,0.084
"23",17,1,81050001,814,-0.101,-0.015,-0.134,-0.155,-0.112,-0.113,-0.031,-0.05,0.046,-0.09,-0.076,-0.108,0.042,-0.085,-0.038,-0.044,-0.115,-0.03
"24",18,10001,77950001,243,-0.076,-0.192,-0.026,-0.101,-0.184,-0.127,-0.05,0.064,-0.132,-0.11,-0.175,-0.09,0.01,-0.215,-0.063,-0.074,-0.077,0.02
"25",19,60001,59050001,711,-0.067,-0.074,-0.084,-0.073,0.004,-0.088,-0.03,-0.034,0.065,-0.064,-0.079,-0.029,-0.017,0.075,-0.044,0.003,0.035,0.102
"26",20,60001,62850001,359,-0.024,-0.131,0.043,-0.057,-0.15,-0.118,-0.094,-0.056,0.024,-0.088,-0.029,-0.088,-0.017,0.19,-0.036,-0.022,0.035,0.025
"27",21,10697897,48050001,157,-0.034,-0.078,0.067,-0.02,-0.08,-0.068,-0.007,-0.048,0.079,0.107,-0.035,-0.022,0.07,-0.202,0.045,-0.085,0.066,-0.019
"28",22,16050001,51200001,300,-0.103,-0.084,0.191,0.015,-0.051,0.088,0.007,0.176,0.092,-0.034,-0.046,0.17,0.139,-0.186,-0.013,0.054,-0.089,0.044
