"chrom","start.pos","end.pos","n.probes","GSM2403723_9007225064_R02C02","GSM2403840_9297949139_R06C01","GSM2404278_9422491056_R04C01","GSM2404280_9422491056_R01C02","GSM2404510_9444375028_R05C01","GSM2404511_9444375028_R04C02","GSM2404712_9721366135_R03C02","GSM2404722_9741950111_R05C02","GSM2404723_9741950120_R02C01","GSM2404728_9741950120_R02C02","GSM2404730_9741950120_R04C02","GSM2405242_9878827221_R05C01","GSM2405244_9878827221_R02C02","GSM2405261_9878827235_R05C01","GSM2405262_9878827235_R06C01","GSM2405264_9878827235_R03C02","GSM2405644_200091640050_R05C02","GSM2405645_200091640051_R01C01","GSM2405646_200091640051_R03C01","GSM2405647_200091640051_R06C01","GSM2405648_200091640051_R01C02","GSM2405649_200091640051_R03C02","GSM2405650_200091640051_R04C02","GSM2940880_200362700204_R01C01"
"13",10,4400001,135400001,788,-0.15,0.117,-0.14,0.019,-0.161,-0.169,-0.145,-0.14,-0.182,-0.078,-0.19,-0.169,-0.169,-0.147,-0.127,-0.166,-0.087,-0.158,-0.142,-0.079,-0.18,-0.189,-0.196,-0.314
"14",11,60001,134800001,914,0.07,0.111,0.035,0.114,0.162,0.108,0.173,0.095,0.031,-0.079,0.145,0.335,0.157,0.134,0.136,0.271,0.314,0.168,0.177,0.319,0.005,0.203,0.099,0.087
"15",12,145740,133700001,848,-0.196,-0.216,-0.141,-0.312,-0.177,-0.183,-0.176,0.033,-0.225,-0.089,-0.213,-0.079,-0.184,-0.114,-0.269,-0.188,-0.098,-0.138,-0.29,-0.084,-0.196,-0.199,-0.24,0.085
"16",13,19020001,115050001,431,0.052,-0.093,0.124,0.075,-0.165,0.059,-0.103,0.172,-0.005,-0.057,-0.218,0.32,-0.195,0.107,0.06,0.149,0.34,0.193,0.151,0.409,-0.156,0.024,-0.176,0.053
"17",14,19000001,106950001,528,0.339,0.237,0.204,-0.117,0.28,0.145,0.301,0.212,0.271,0.285,0.147,0.374,0.201,0.188,0.302,0.218,0.356,0.41,0.252,0.402,0.414,0.232,0.186,0.093
"18",15,20000001,102300001,571,-0.148,-0.195,-0.111,0.196,-0.154,0.045,0.095,0.061,0.28,0.292,0.279,-0.121,0.202,0.127,0.152,0.068,-0.072,-0.154,0.281,0.152,-0.147,0.081,-0.126,0.105
"19",16,60001,90150001,624,0.086,0.283,0.069,0.189,0.242,0.059,0.017,0.009,0.221,-0.021,0.04,-0.063,0.128,-0.046,0.102,0.144,0.302,0.123,0.254,0.28,0.327,0.096,0.168,0.091
"20",17,1,81050001,814,0.099,0.136,0.003,0.163,0.157,-0.03,0.129,0.134,0.227,0.079,0.084,-0.113,0.067,-0.126,-0.04,-0.065,-0.153,0.004,0.272,-0.207,0.244,0.024,0.228,0.027
"21",18,10001,77950001,243,-0.196,0.188,0.003,0.387,0.143,0.171,-0.041,-0.075,-0.199,0.18,-0.267,-0.144,0.089,-0.162,0.146,0.091,0.237,-0.007,0.224,0.2,-0.305,-0.02,0.145,-0.039
"22",19,60001,59050001,711,0.06,0.227,-0.019,0.143,0.162,0.085,-0.198,0.072,-0.193,-0.116,0.112,-0.093,0.094,-0.106,0.083,0.008,-0.22,0.152,0.213,-0.263,-0.202,0.168,0.098,0.033
"23",20,60001,62850001,359,0.304,0.176,0.166,0.175,0.101,0.2,0.131,0.197,0.165,0.264,0.252,0.274,0.267,0.245,0.28,0.396,0.21,0.201,0.409,0.286,0.15,0.343,-0.056,0.035
"24",21,10697897,48050001,157,0.269,0.268,-0.054,0.212,0.226,-0.126,0.061,0.088,-0.133,0.142,0.154,0.363,-0.041,-0.097,0.136,-0.155,0.307,-0.16,0.137,0.365,0.289,0.25,0.155,0.062
"25",22,16050001,51200001,300,0.292,0.247,0.294,0.193,0.185,0.138,0.19,0.161,0.259,0.245,0.13,0.317,0.146,0.076,0.148,0.158,-0.109,0.181,0.293,-0.174,0.347,0.212,0.285,0.086
