"chrom","start.pos","end.pos","n.probes","GSM2403723_9007225064_R02C02","GSM2403840_9297949139_R06C01","GSM2404278_9422491056_R04C01","GSM2404280_9422491056_R01C02","GSM2404510_9444375028_R05C01","GSM2404511_9444375028_R04C02","GSM2404712_9721366135_R03C02","GSM2404722_9741950111_R05C02","GSM2404723_9741950120_R02C01","GSM2404728_9741950120_R02C02","GSM2404730_9741950120_R04C02","GSM2405242_9878827221_R05C01","GSM2405244_9878827221_R02C02","GSM2405261_9878827235_R05C01","GSM2405262_9878827235_R06C01","GSM2405264_9878827235_R03C02","GSM2405644_200091640050_R05C02","GSM2405645_200091640051_R01C01","GSM2405646_200091640051_R03C01","GSM2405647_200091640051_R06C01","GSM2405648_200091640051_R01C02","GSM2405649_200091640051_R03C02","GSM2405650_200091640051_R04C02","GSM2940880_200362700204_R01C01"
"11",8,8150001,146250001,664,-0.347,-0.504,-0.219,-0.471,-0.395,-0.059,-0.281,-0.205,-0.389,-0.231,-0.124,-0.219,-0.246,-0.156,-0.357,-0.181,-0.232,-0.314,-0.619,-0.303,-0.863,-0.341,-0.438,-0.003
"12",9,10001,141000001,383,-0.301,-0.407,-0.011,-0.402,-0.337,-0.169,0.128,-0.037,-0.306,0.064,-0.253,-0.234,-0.226,-0.036,0.063,-0.347,0.187,-0.3,-0.054,0.208,-0.003,0.088,-0.111,0.044
"13",10,60001,4200001,52,0.039,0.426,-0.009,0.361,0.101,-0.094,0.019,0.134,0.058,0.119,-0.009,-0.234,-0.077,-0.068,-0.014,0.074,0.103,0.025,0.009,0.138,0.094,0.092,0.038,-0.236
"14",10,4400001,135400001,788,-0.276,-0.104,-0.192,-0.113,-0.375,-0.21,-0.221,-0.25,-0.327,-0.168,-0.26,-0.294,-0.221,-0.193,-0.208,-0.391,-0.2,-0.292,-0.421,-0.247,-0.326,-0.324,-0.334,-0.358
"15",11,60001,134800001,914,-0.033,-0.104,-0.013,-0.001,-0.037,0.066,0.109,-0.014,-0.091,-0.169,0.073,0.211,0.102,0.08,0.066,0.053,0.215,0.041,-0.072,0.16,-0.123,0.081,-0.009,0.038
"16",12,145740,133700001,848,-0.323,-0.447,-0.197,-0.444,-0.393,-0.228,-0.249,-0.082,-0.363,-0.183,-0.286,-0.204,-0.241,-0.164,-0.356,-0.41,-0.213,-0.277,-0.569,-0.252,-0.342,-0.336,-0.381,0.032
"17",13,19020001,115050001,431,-0.039,-0.284,0.091,-0.01,-0.332,0.028,-0.17,0.029,-0.102,-0.168,-0.29,0.155,-0.267,0.022,-0.004,-0.097,0.215,0.03,-0.055,0.211,-0.304,-0.108,-0.229,-0.008
"18",14,19000001,106950001,528,0.202,0.008,0.138,-0.259,0.065,0.087,0.221,0.108,0.131,0.197,0.076,0.246,0.135,0.129,0.21,0.001,0.23,0.279,-0.039,0.224,0.258,0.084,0.033,0.042
"19",15,20000001,102300001,571,-0.284,-0.419,-0.163,0.063,-0.365,-0.008,0.018,-0.037,0.139,0.207,0.207,-0.249,0.136,0.07,0.067,-0.15,-0.191,-0.273,-0.003,-0.016,-0.296,-0.064,-0.273,0.053
"20",16,60001,90150001,624,0.002,0.1,0.037,0.095,0.068,0.034,-0.033,-0.087,0.124,-0.094,-0.016,-0.172,0.087,-0.08,0.047,-0.057,0.219,0.011,0.039,0.14,0.217,-0.008,0.091,0.058
"21",17,1,81050001,814,0.014,-0.056,-0.024,0.054,-0.022,-0.051,0.081,0.065,0.119,0.027,0.043,-0.2,0.048,-0.133,-0.088,-0.229,-0.225,-0.084,0.036,-0.311,0.14,-0.077,0.113,-0.005
"22",18,10001,77950001,243,-0.315,-0.02,-0.042,0.253,-0.047,0.125,-0.104,-0.135,-0.326,0.13,-0.313,-0.24,0.062,-0.182,0.07,-0.079,0.137,-0.096,-0.061,0.08,-0.424,-0.147,-0.013,-0.078
"23",19,60001,59050001,711,-0.031,0.049,-0.049,0.049,-0.015,0.061,-0.242,-0.023,-0.295,-0.184,0.056,-0.2,0.055,-0.139,0.034,-0.195,-0.302,0.041,0.003,-0.397,-0.315,0.058,0.025,0.003
"24",20,60001,62850001,359,0.239,0.015,0.145,0.1,-0.057,0.177,0.088,0.098,0.088,0.191,0.195,0.154,0.218,0.19,0.237,0.197,0.129,0.086,0.235,0.148,0.043,0.241,-0.102,-0.001
"25",21,10697897,48050001,157,0.176,0.084,-0.088,0.106,0.049,-0.152,0.01,0.001,-0.246,0.077,0.103,0.258,-0.074,-0.127,0.077,-0.35,0.218,-0.269,-0.098,0.23,0.175,0.136,0.054,0.026
"26",22,16050001,51200001,300,0.197,0.07,0.259,0.1,0.009,0.113,0.147,0.08,0.168,0.185,0.087,0.206,0.114,0.042,0.098,-0.033,-0.194,0.076,0.065,-0.313,0.227,0.101,0.204,0.056
