"chrom","start.pos","end.pos","n.probes","GSM2402854_5684819014_R03C02","GSM2402859_5684819014_R01C02","GSM2402860_5911815001_R04C01","GSM2402862_5911815001_R02C01","GSM2402867_5684819013_R05C01","GSM2402876_6164621155_R05C02","GSM2402877_6164621081_R06C02","GSM2402878_6164621131_R02C02","GSM2402880_6164621081_R04C02","GSM2402882_6164621131_R02C01","GSM2402883_6164621131_R05C02","GSM2403113_6969568103_R03C02","GSM2403114_6969568103_R06C01","GSM2403116_6969568103_R02C02","GSM2403118_6969568103_R05C01","GSM2403190_6929806024_R02C02","GSM2403425_8622007029_R06C02","GSM2403740_9007225163_R05C02","GSM2403748_9007225163_R01C02","GSM2404132_9406921073_R06C01","GSM2404137_9406922158_R06C01","GSM2404366_9407210090_R01C02","GSM2404480_9444374134_R02C01","GSM2404488_9444375004_R06C01","GSM2404489_9444375004_R01C02","GSM2404491_9444375004_R05C02","GSM2404500_9444375017_R03C01","GSM2404518_9444375037_R04C02","GSM2404614_9741950021_R02C01","GSM2404648_9741950025_R05C01","GSM2404652_9741950030_R01C01","GSM2404662_9741950109_R03C02","GSM2404671_9741950100_R02C02","GSM2404876_9534104010_R02C01","GSM2405026_9969477058_R05C01","GSM2405194_9878820117_R04C02","GSM2405580_3999002049_R05C02","GSM2405581_3999002049_R06C02","GSM2405582_3999002051_R01C01","GSM2405583_3999002051_R04C01","GSM2405584_3999002051_R05C01","GSM2940812_200277210030_R05C01","GSM2941053_3998909027_R04C01","GSM2941178_3999078120_R02C02","GSM2941310_3999875073_R06C02","GSM2941411_9426021175_R03C02","GSM2941430_9444375114_R05C02","GSM2941469_9534104007_R01C02","GSM2941473_9534104007_R06C01","GSM2941484_9534104010_R05C01","GSM2941506_9611519051_R01C01","GSM2941562_9741950085_R04C01","GSM2941572_9741950095_R05C02","GSM2941820_9980102013_R03C02"
"17",11,60001,134800001,914,-0.022,0.1,-0.05,-0.003,0.026,-0.162,-0.129,0.024,-0.012,-0.056,0.098,0.003,-0.17,-0.002,-0.054,-0.034,-0.019,-0.013,-0.049,0.001,-0.014,-0.047,-0.046,-0.116,-0.002,-0.064,-0.044,-0.073,-0.054,-0.096,-0.012,-0.047,-0.063,0.102,-0.075,-0.162,-0.103,-0.114,-0.207,-0.015,-0.12,-0.064,-0.112,-0.074,-0.13,0.032,0.014,-0.059,-0.011,-0.021,-0.026,0.034,-0.022,-0.059
"18",12,145740,38550001,223,0.142,0.06,0.022,0.023,0.12,0.049,-0.113,0.257,0.011,0.012,-0.139,-0.017,0.375,-0.005,0.034,-0.059,-0.006,0.031,-0.012,-0.011,-0.013,0.331,-0.043,0.122,-0.008,-0.053,0.004,-0.067,0.009,0.222,0.073,-0.044,0.156,0.004,0.011,-0.026,-0.006,0.168,0.261,0.017,0.319,0.184,0.078,-0.038,0.008,0.261,-0.007,-0.049,-0.006,0.001,-0.029,0.364,0.127,0.093
"19",12,38750001,133700001,625,-0.026,-0.152,0.004,0.019,0.021,-0.087,-0.237,0.023,-0.125,0.005,-0.149,-0.009,0.002,-0.041,0.033,-0.032,-0.017,-0.003,-0.041,-0.031,-0.032,-0.034,-0.043,-0.074,-0.024,-0.054,-0.066,-0.065,-0.039,-0.087,-0.002,-0.046,-0.087,-0.105,-0.011,-0.011,-0.021,-0.2,-0.012,-0.005,-0.019,-0.05,-0.009,-0.015,-0.211,-0.085,-0.001,-0.501,-0.267,-0.193,-0.009,-0.299,-0.014,0.039
"20",13,19020001,115050001,431,-0.109,-0.122,-0.151,-0.197,-0.233,-0.33,-0.656,-0.234,-0.077,-0.123,-0.663,-0.472,-0.681,-0.117,-0.377,-0.393,-0.132,-0.201,-0.477,-0.31,-0.038,-0.203,-0.321,-0.167,-0.034,-0.167,-0.089,-0.246,-0.069,-0.33,-0.037,-0.047,-0.085,-0.149,-0.198,-0.086,-0.397,-0.316,-0.182,-0.263,-0.32,-0.321,-0.164,-0.317,-0.219,-0.386,-0.496,-0.375,-0.063,-0.41,-0.364,-0.047,-0.186,-0.042
"21",14,19000001,106950001,528,-0.015,0.058,-0.176,0.017,-0.175,-0.039,-0.327,-0.434,-0.026,0.004,-0.191,0.021,0.003,-0.28,-0.186,0.035,-0.009,-0.146,-0.201,-0.032,-0.019,-0.02,-0.273,-0.236,-0.003,-0.231,0.007,-0.021,0.034,0.025,-0.014,-0.033,-0.064,0.051,-0.03,-0.019,-0.222,0.01,-0.032,-0.047,0.025,0.102,-0.137,-0.044,-0.128,0.03,-0.297,-0.013,0.007,-0.199,-0.092,-0.174,-0.14,-0.197
"22",15,20000001,102300001,571,-0.004,0.023,-0.114,-0.037,-0.019,0.012,-0.038,0.035,0.031,0.008,0.097,0.013,0.008,0.031,0.037,0.011,-0.011,-0.024,-0.18,-0.026,-0.007,-0.014,-0.02,-0.04,-0.017,-0.021,-0.014,-0.036,-0.062,0.074,-0.027,-0.022,-0.16,0.097,0.001,-0.106,0.004,0.096,-0.068,-0.001,-0.018,0.097,0.034,0.009,-0.154,-0.053,0.028,0,-0.071,0.058,-0.132,0.044,0.025,-0.015
"23",16,60001,90150001,624,0.019,0.064,-0.028,-0.152,0.047,-0.074,-0.066,0.022,0.014,0.02,0.108,0.028,-0.137,0.038,0.047,-0.01,0.001,-0.101,0.008,0.023,0.006,0.018,0.004,0.005,0.028,-0.109,0.026,0.011,0,0.068,-0.011,0.008,0.024,-0.113,-0.043,-0.184,-0.129,-0.002,-0.144,0.106,0.012,-0.059,-0.054,0.036,0.011,0.078,0.042,0.022,0.043,0.088,0.032,0.026,0.044,-0.089
"24",17,1,81050001,814,0.002,-0.283,0,-0.064,-0.101,0.039,0.146,0.012,-0.037,-0.016,-0.121,0.003,0.055,-0.015,0.029,-0.013,-0.026,-0.02,-0.002,-0.019,-0.061,-0.027,0.011,0.036,-0.015,0.066,0.015,-0.017,-0.1,-0.12,-0.059,-0.039,-0.043,-0.029,-0.036,0.153,-0.017,0.046,-0.056,-0.1,-0.056,0.069,0.04,0.033,-0.082,0.057,0.002,0.009,0.015,0.03,0.055,-0.017,-0.04,-0.06
"25",18,10001,77950001,243,-0.095,-0.031,-0.139,-0.284,-0.194,-0.196,-0.41,-0.136,-0.132,-0.323,-0.431,-0.232,-0.025,-0.086,-0.198,-0.502,-0.182,-0.29,-0.384,-0.137,-0.092,-0.078,-0.11,-0.045,-0.203,-0.117,-0.086,-0.147,-0.211,-0.124,-0.055,-0.231,-0.081,-0.216,-0.063,-0.102,-0.148,-0.11,-0.148,-0.064,-0.151,-0.169,-0.186,-0.25,-0.333,-0.085,-0.07,0.027,-0.026,-0.052,-0.13,-0.046,-0.028,0.027
"26",19,60001,59050001,711,-0.032,-0.033,-0.128,-0.019,-0.001,-0.007,-0.107,-0.009,-0.022,-0.032,0.052,0.004,0.068,-0.086,-0.036,0.131,-0.052,-0.049,-0.076,-0.058,-0.058,-0.013,-0.097,0.012,-0.026,-0.153,0.038,-0.064,-0.033,0.04,-0.061,-0.039,-0.061,0.09,-0.03,0.01,0.005,-0.009,-0.006,0,-0.041,-0.009,-0.003,-0.029,-0.092,0.024,-0.152,0.049,0.013,0.001,-0.179,-0.118,-0.031,-0.085
"27",20,60001,62850001,359,0.163,0.104,-0.035,-0.186,-0.017,0.012,-0.047,-0.014,0.002,-0.032,0.07,0.006,0.042,-0.059,-0.105,-0.038,-0.049,-0.017,-0.236,-0.033,-0.066,-0.053,-0.063,-0.073,-0.033,-0.07,-0.03,-0.086,-0.047,0.106,-0.043,-0.075,-0.089,0.138,0.027,0.027,-0.036,0.055,0.016,0.079,-0.043,-0.018,0.007,0.023,-0.083,0.046,-0.02,-0.008,-0.011,-0.004,-0.027,-0.018,-0.023,0.044
"28",21,10697897,48050001,157,-0.013,-0.363,0.023,-0.337,-0.016,0.037,-0.361,0.033,0.019,0.02,-0.101,-0.009,-0.253,-0.056,0.055,-0.028,-0.044,-0.061,-0.058,-0.226,0.006,-0.399,-0.255,-0.004,-0.018,0.004,-0.264,-0.061,-0.023,-0.279,0.005,-0.005,0.009,-0.049,-0.059,0.065,0.025,-0.054,-0.118,-0.056,-0.309,0.042,-0.298,0.011,-0.032,-0.053,-0.264,0.045,0.032,-0.099,-0.005,0.019,0.032,0.097
"29",22,16050001,51200001,300,0.015,-0.234,0.063,0.052,-0.066,0.019,0.039,0.042,0.038,0.029,0.101,0.052,0.055,-0.031,0.08,0.177,-0.049,-0.073,-0.11,-0.003,-0.011,0.028,0.004,0.07,0.086,0.025,0.018,-0.013,0.013,-0.039,-0.019,-0.007,-0.02,0.043,-0.161,0.065,0.059,0.004,-0.103,-0.049,-0.003,-0.056,0.044,0.074,-0.061,-0.07,0.034,0.063,0.043,0.063,0.005,0.035,0.007,0.06
