"chrom","start.pos","end.pos","n.probes","GSM2402940_6969568004_R02C02","GSM2402942_6969568004_R05C02","GSM2403006_6929718009_R01C01","GSM2403034_6929793061_R01C02","GSM2403037_6929793061_R03C02","GSM2403053_6229017094_R05C01","GSM2403241_7970368141_R02C01","GSM2403251_7970368141_R03C02","GSM2403255_7970376026_R02C01","GSM2403257_7970376067_R03C02","GSM2403258_7970376067_R04C01","GSM2403261_7970368167_R02C01","GSM2403271_7970368167_R03C02","GSM2403278_7970376026_R06C01","GSM2403288_7970376026_R06C02","GSM2403293_7970368168_R05C02","GSM2403314_7970376005_R06C01","GSM2403318_7970376055_R05C01","GSM2403321_7970376067_R06C01","GSM2403326_7990895095_R04C01","GSM2403328_7990895095_R06C01","GSM2403337_7990895095_R06C02","GSM2403341_7990895127_R05C02","GSM2403342_7990895046_R01C02","GSM2403354_7990895093_R01C01","GSM2403362_7990908004_R02C01","GSM2403381_7990895046_R06C02","GSM2403383_7990895127_R03C01","GSM2403389_7990895093_R04C01","GSM2403434_8622007025_R05C02","GSM2403440_8622007026_R03C02","GSM2403523_8622007066_R06C01","GSM2403692_9007217108_R06C01","GSM2403698_9007217016_R06C02","GSM2403700_9007217016_R03C01","GSM2403838_9305216168_R01C01","GSM2403891_9297949147_R01C01","GSM2403918_9305216199_R04C01","GSM2404064_9374341006_R02C01","GSM2404065_9374341006_R04C01","GSM2404066_9374341006_R05C01","GSM2404096_9374342010_R05C02","GSM2404269_9379086089_R05C02","GSM2404520_9444374157_R04C02","GSM2404742_9741950152_R02C02","GSM2404743_9741950152_R06C02","GSM2404744_9761749012_R05C01","GSM2404747_9761749088_R06C01","GSM2404853_9533774072_R01C02","GSM2405062_9969477090_R02C02","GSM2405082_9969477099_R02C02","GSM2405371_3999834063_R04C01","GSM2940748_10006823024_R04C01","GSM2940841_200325530044_R04C02","GSM2940879_200362700196_R06C01","GSM2940925_200406080086_R05C01","GSM2940969_3998523056_R03C01","GSM2941003_3998546129_R05C01","GSM2941095_3998909181_R01C01","GSM2941314_3999875076_R04C01","GSM2941330_9340996003_R03C02","GSM2941429_9444375114_R04C02","GSM2941466_9533774097_R03C02","GSM2941603_9855358035_R06C02","GSM2941815_9969477124_R01C01"
"11",11,60001,134800001,914,0.086,0.095,0.1,0.031,0.02,0.054,0.048,0.014,0.007,0.001,0.006,0.02,0.052,0.028,0.031,-0.01,0.006,0.004,-0.033,0.027,-0.295,0.003,-0.042,0.031,0.054,-0.05,0.02,0.071,0.047,-0.031,0.046,0.157,0.057,-0.117,0.023,0.006,0.03,0.01,0.123,0.029,0.026,0.016,0.026,0.007,0.043,0.048,0.008,0.049,0.037,-0.037,0.02,0.024,0.043,-0.001,0.084,-0.032,0.03,-0.005,0.004,0.028,0.05,0.053,0.048,-0.049,0.151
"12",12,145740,133700001,848,0.06,0.063,0.076,0.013,-0.023,0.033,0.022,0.012,0.013,0.017,0.015,0.002,0.029,0.016,0.026,0.079,0.013,-0.027,-0.028,0.009,0.084,0.01,-0.019,0.026,0.049,-0.054,0.011,0.065,0.028,0.033,0.023,0.125,-0.003,0.039,0.015,-0.012,0.015,-0.001,-0.036,0.016,0.019,0.009,0.017,0.02,0.032,0.024,-0.008,0.054,0.001,-0.069,0.014,0.012,0.022,0.004,0.057,0.005,0.022,-0.004,0.016,0.055,0.03,0.032,0.037,-0.054,-0.035
"13",13,19020001,115050001,431,0.084,0.082,0.066,0.019,0.317,0.022,0.004,-0.012,0.01,0.03,0.019,-0.126,0.03,-0.028,0.037,0.173,0.01,-0.151,-0.075,-0.047,0.113,-0.019,-0.133,0.101,0.108,-0.056,0.056,0.104,0.038,0.009,0.002,0.277,-0.077,-0.058,-0.047,-0.163,-0.081,-0.082,0.03,0.01,-0.003,0.012,-0.056,-0.022,-0.009,-0.044,-0.091,-0.127,0.033,0.006,-0.067,0.001,0.004,0.04,0.049,-0.063,0.137,-0.028,-0.012,0.131,0.131,-0.008,0.069,0.082,0.121
"14",14,19000001,106950001,528,0.032,0.046,0.056,0.006,-0.018,0.023,0.043,0.034,0.003,0.013,0.011,-0.184,0.059,0.041,0.032,0.048,0.03,0.035,-0.002,0.017,0.056,0.011,0.005,0.015,0.035,-0.059,-0.034,0.042,0.028,0.035,0.021,0.048,0.057,0.052,0.029,0.023,0.042,0.023,-0.014,0.026,0.027,0.012,0.041,0.015,0.037,0.032,0.01,0.08,0.015,0.096,0.032,0.024,0.017,0.02,0.036,0.033,-0.018,0.022,0.025,0.005,0.002,0.046,0.015,-0.032,0.124
"15",15,20000001,102300001,571,0.041,0.052,0.059,0.013,-0.005,0.034,0.053,0.047,0.041,0.038,0.032,0.076,0.071,0.054,0.036,0.049,0.049,0.052,0.046,0.056,0.079,0.038,0.038,0.019,0.046,0.203,0.052,0.05,0.046,0.042,0.02,0.045,0.075,0.066,0.039,0.036,0.059,0.032,-0.003,0.033,0.035,0.029,0.031,0.029,0.052,0.051,0.024,0.1,0.011,0.114,0.043,0.04,0.028,0.016,0.052,0.037,0.005,0.039,0.049,0.02,0.023,0.055,0.049,0.24,-0.003
"16",16,60001,90150001,624,0.073,0.069,0.093,0.031,-0.011,0.059,0.048,0.031,0.101,0.056,0.061,0.065,0.035,0.058,0.031,0.062,0.028,0.053,0.036,0.054,0.076,0.076,-0.138,-0.029,0.007,0.027,0.027,0.04,0.021,0.062,0.055,0.043,0,0.092,0.046,0.065,0.079,0.044,-0.237,0.022,0.031,0.038,0.059,0.053,0.066,0.071,0.05,0.097,-0.007,0.005,0.06,0.049,-0.148,0.066,0.075,0.039,0.082,0.029,0.042,0.074,0.084,0.069,0.022,-0.026,-0.034
"17",17,1,81050001,814,-0.067,-0.059,-0.025,-0.062,-0.093,-0.051,-0.031,-0.022,0.032,-0.004,-0.005,0.033,-0.041,-0.011,-0.049,-0.073,-0.026,0.03,-0.009,-0.043,-0.048,0.015,0.058,-0.158,-0.099,-0.06,-0.05,-0.078,-0.084,-0.031,-0.027,-0.163,-0.069,0.018,-0.022,0.013,0.024,0.002,0.049,-0.057,-0.047,-0.037,0.008,-0.006,-0.002,-0.003,0.019,0.069,-0.068,-0.032,0.004,-0.035,-0.045,-0.021,-0.083,0.056,-0.053,-0.006,-0.073,-0.036,-0.082,-0.023,-0.047,-0.08,-0.089
"18",18,10001,77950001,243,-0.13,-0.112,-0.094,-0.123,-0.102,-0.125,-0.063,-0.051,-0.017,-0.051,-0.065,-0.061,-0.063,-0.074,-0.071,-0.075,-0.038,-0.066,-0.038,-0.008,-0.065,-0.022,-0.047,-0.114,-0.078,0.096,0.123,-0.072,-0.114,0.048,-0.094,-0.166,-0.028,-0.062,-0.069,-0.114,-0.078,-0.074,-0.139,-0.084,-0.084,-0.079,-0.079,-0.061,-0.068,-0.09,-0.057,-0.008,-0.05,-0.002,-0.086,-0.102,-0.103,-0.073,-0.175,0.044,-0.081,0.008,-0.055,-0.098,-0.133,-0.083,-0.074,-0.136,-0.116
"19",19,60001,59050001,711,0.001,0.097,0.04,0.169,0.158,0.007,-0.057,-0.022,0.059,-0.066,0.001,0.002,-0.093,-0.01,-0.058,-0.075,-0.041,-0.021,-0.039,0.021,0.103,0.044,0.067,-0.143,-0.093,-0.019,-0.017,-0.08,-0.059,0.014,-0.009,-0.137,-0.119,0.063,0.008,0.041,0.041,0.017,0.084,-0.023,-0.011,-0.001,0.04,0.04,0.033,0.03,0.031,0.076,-0.092,0.108,0.035,-0.007,0.094,-0.011,-0.016,0.045,-0.025,-0.001,0.06,-0.021,-0.02,0.002,0.047,-0.064,0.081
"20",20,60001,62850001,359,0.023,0.014,0.045,-0.014,-0.076,-0.009,-0.011,-0.027,-0.015,-0.028,-0.031,-0.02,-0.019,-0.001,-0.024,-0.012,-0.033,-0.022,-0.057,-0.089,0.042,-0.015,-0.047,-0.06,-0.026,-0.061,-0.398,-0.008,-0.022,0.011,-0.003,0.005,-0.014,-0.122,-0.006,-0.014,0.023,-0.007,0.045,-0.014,-0.015,-0.014,-0.112,0.002,0.027,0.025,-0.375,-0.151,-0.029,-0.025,0.013,0.011,-0.001,-0.026,-0.009,-0.001,0.005,-0.015,-0.014,-0.008,-0.006,0.004,-0.015,-0.103,-0.086
"21",21,10697897,48050001,157,0.036,0.041,0.052,-0.007,0.142,0.015,0.038,0.024,0.071,0.067,0.043,0.024,0.04,0.027,0.035,0.07,0.033,0.015,0.062,0.063,0.068,0.064,0.047,0.298,0.038,0.009,0.04,0.065,0.028,0.02,0.026,0.03,0.037,0.025,0.016,-0.018,0.018,0.005,0.114,0.013,0.009,0.017,0.002,0.027,0.018,0.01,0.004,0.05,0.026,0.078,-0.01,0.012,0.01,0.039,0.016,0.056,0.052,0.026,0.207,0.061,0.02,0.027,0.015,0.19,0.12
"22",22,16050001,51200001,300,0.013,0.014,0.032,-0.006,-0.019,0.025,0.043,0.039,0.064,0.049,0.043,0.114,0.037,0.064,0.016,-0.01,0.036,0.12,0.051,0.049,0.01,0.064,0.107,-0.081,-0.042,0.005,0.013,-0.012,0.017,0.042,0.037,-0.106,0.042,0.098,0.038,0.09,0.1,0.067,-0.006,0.02,0.027,0.027,0.071,0.063,0.062,0.068,0.082,0.148,-0.012,0.143,0.071,0.051,0.025,0.025,0.019,0.115,-0.026,0.059,0.044,-0.001,-0.037,0.046,0.004,-0.001,-0.023
