"chrom","start.pos","end.pos","n.probes","GSM2402940_6969568004_R02C02","GSM2402942_6969568004_R05C02","GSM2403006_6929718009_R01C01","GSM2403034_6929793061_R01C02","GSM2403037_6929793061_R03C02","GSM2403053_6229017094_R05C01","GSM2403241_7970368141_R02C01","GSM2403251_7970368141_R03C02","GSM2403255_7970376026_R02C01","GSM2403257_7970376067_R03C02","GSM2403258_7970376067_R04C01","GSM2403261_7970368167_R02C01","GSM2403271_7970368167_R03C02","GSM2403278_7970376026_R06C01","GSM2403288_7970376026_R06C02","GSM2403293_7970368168_R05C02","GSM2403314_7970376005_R06C01","GSM2403318_7970376055_R05C01","GSM2403321_7970376067_R06C01","GSM2403326_7990895095_R04C01","GSM2403328_7990895095_R06C01","GSM2403337_7990895095_R06C02","GSM2403341_7990895127_R05C02","GSM2403342_7990895046_R01C02","GSM2403354_7990895093_R01C01","GSM2403362_7990908004_R02C01","GSM2403381_7990895046_R06C02","GSM2403383_7990895127_R03C01","GSM2403389_7990895093_R04C01","GSM2403434_8622007025_R05C02","GSM2403440_8622007026_R03C02","GSM2403523_8622007066_R06C01","GSM2403692_9007217108_R06C01","GSM2403698_9007217016_R06C02","GSM2403700_9007217016_R03C01","GSM2403838_9305216168_R01C01","GSM2403891_9297949147_R01C01","GSM2403918_9305216199_R04C01","GSM2404064_9374341006_R02C01","GSM2404065_9374341006_R04C01","GSM2404066_9374341006_R05C01","GSM2404096_9374342010_R05C02","GSM2404269_9379086089_R05C02","GSM2404520_9444374157_R04C02","GSM2404742_9741950152_R02C02","GSM2404743_9741950152_R06C02","GSM2404744_9761749012_R05C01","GSM2404747_9761749088_R06C01","GSM2404853_9533774072_R01C02","GSM2405062_9969477090_R02C02","GSM2405082_9969477099_R02C02","GSM2405371_3999834063_R04C01","GSM2940748_10006823024_R04C01","GSM2940841_200325530044_R04C02","GSM2940879_200362700196_R06C01","GSM2940925_200406080086_R05C01","GSM2940969_3998523056_R03C01","GSM2941003_3998546129_R05C01","GSM2941095_3998909181_R01C01","GSM2941314_3999875076_R04C01","GSM2941330_9340996003_R03C02","GSM2941429_9444375114_R04C02","GSM2941466_9533774097_R03C02","GSM2941603_9855358035_R06C02","GSM2941815_9969477124_R01C01"
"11",11,60001,134800001,914,0.029,0.033,0.042,-0.019,-0.029,0.008,0.009,-0.019,-0.1,-0.077,-0.062,-0.026,0.013,-0.012,-0.01,-0.103,-0.035,-0.046,-0.105,-0.017,-0.353,-0.068,-0.124,-0.014,0.014,-0.123,-0.074,0.009,0.007,-0.067,0.003,0.062,-0.001,-0.172,-0.012,-0.047,-0.011,-0.022,0.081,0.001,-0.003,-0.017,-0.014,-0.039,-0.003,-0.013,-0.04,-0.034,0.003,-0.083,-0.019,-0.014,-0.004,-0.068,0.008,-0.081,-0.059,-0.041,-0.038,-0.082,-0.025,0.011,0.014,-0.086,0.11
"12",12,145740,133700001,848,0.008,0.009,0.024,-0.033,-0.072,-0.012,-0.023,-0.028,-0.11,-0.073,-0.067,-0.063,-0.018,-0.031,-0.024,-0.021,-0.041,-0.099,-0.113,-0.047,0.024,-0.07,-0.125,-0.021,0.006,-0.131,-0.089,-0.002,-0.015,-0.006,-0.017,0.04,-0.081,-0.027,-0.025,-0.077,-0.035,-0.041,-0.075,-0.015,-0.015,-0.028,-0.03,-0.031,-0.016,-0.035,-0.065,-0.068,-0.031,-0.117,-0.03,-0.032,-0.025,-0.07,-0.025,-0.06,-0.066,-0.046,-0.033,-0.058,-0.043,-0.015,0.002,-0.104,-0.074
"13",13,19020001,115050001,431,-0.018,-0.015,-0.024,-0.073,0.232,-0.063,-0.048,-0.056,-0.1,-0.061,-0.072,-0.156,-0.028,-0.082,-0.023,0.043,-0.046,-0.191,-0.135,-0.118,0.015,-0.097,-0.201,0.01,0.032,-0.143,-0.053,0.008,-0.039,-0.057,-0.06,0.098,-0.149,-0.127,-0.096,-0.21,-0.126,-0.12,-0.004,-0.046,-0.058,-0.047,-0.109,-0.085,-0.093,-0.127,-0.151,-0.221,-0.029,-0.052,-0.122,-0.069,-0.077,-0.055,-0.067,-0.108,0.003,-0.077,-0.073,-0.014,0.005,-0.073,0,0.033,0.063
"14",14,19000001,106950001,528,-0.012,-0.002,0.015,-0.036,-0.066,-0.016,-0.004,-0.006,-0.124,-0.07,-0.069,-0.255,0.009,-0.007,-0.01,-0.043,-0.025,-0.049,-0.091,-0.038,0.009,-0.07,-0.102,-0.026,-0.001,-0.133,-0.133,-0.019,-0.016,0,-0.013,-0.019,-0.025,-0.008,-0.01,-0.041,-0.011,-0.015,-0.053,-0.002,-0.007,-0.018,-0.002,-0.028,-0.011,-0.023,-0.043,-0.051,-0.015,0.048,-0.011,-0.018,-0.024,-0.054,-0.045,-0.033,-0.093,-0.02,-0.022,-0.103,-0.061,0.005,-0.013,-0.08,0.077
"15",15,20000001,102300001,571,-0.005,0.002,0.017,-0.029,-0.057,-0.006,0.01,0.003,-0.078,-0.038,-0.046,-0.002,0.022,0.004,-0.007,-0.042,-0.004,-0.027,-0.039,-0.004,0.031,-0.041,-0.066,-0.021,0.007,0.126,-0.039,-0.008,-0.001,0.005,-0.016,-0.024,-0.009,0.006,-0.003,-0.029,0.005,-0.01,-0.045,0.004,0.003,-0.005,-0.015,-0.013,0.002,-0.004,-0.027,-0.024,-0.021,0.063,-0.001,-0.002,-0.013,-0.053,-0.026,-0.025,-0.066,-0.003,-0.001,-0.083,-0.04,0.012,0.017,0.175,-0.045
"16",16,60001,90150001,624,0.025,0.02,0.05,-0.007,-0.047,0.022,0.024,0.014,0.017,-0.005,0.012,0.043,0.01,0.034,0.007,-0.017,0.005,0.028,-0.011,0.018,0.026,0.028,-0.191,-0.06,-0.021,-0.03,-0.047,-0.003,-0.011,0.035,0.025,-0.043,-0.031,0.058,0.026,0.033,0.054,0.03,-0.247,0.009,0.015,0.017,0.035,0.024,0.036,0.032,0.02,0.043,-0.025,-0.021,0.041,0.026,-0.174,0.013,0.013,0.013,-0.004,0.009,0.015,-0.023,0.022,0.045,-0.001,-0.047,-0.054
"17",17,1,81050001,814,-0.07,-0.07,-0.031,-0.07,-0.101,-0.051,-0.044,-0.034,-0.048,-0.053,-0.045,-0.005,-0.05,-0.028,-0.053,-0.112,-0.047,-0.015,-0.06,-0.052,-0.055,-0.024,0.002,-0.149,-0.092,-0.092,-0.09,-0.079,-0.08,-0.031,-0.034,-0.166,-0.097,-0.003,-0.025,-0.017,0,-0.011,0.042,-0.054,-0.046,-0.046,-0.01,-0.026,-0.013,-0.019,0.003,0.033,-0.067,-0.05,-0.007,-0.047,-0.044,-0.061,-0.1,0.01,-0.105,-0.026,-0.088,-0.098,-0.116,-0.032,-0.046,-0.086,-0.096
"18",18,10001,77950001,243,-0.129,-0.12,-0.093,-0.129,-0.118,-0.127,-0.085,-0.077,-0.114,-0.111,-0.113,-0.125,-0.084,-0.102,-0.083,-0.113,-0.068,-0.139,-0.107,-0.03,-0.061,-0.072,-0.126,-0.11,-0.07,0.056,0.08,-0.079,-0.122,0.046,-0.103,-0.145,-0.08,-0.096,-0.085,-0.161,-0.117,-0.103,-0.158,-0.086,-0.095,-0.092,-0.109,-0.089,-0.088,-0.111,-0.084,-0.068,-0.057,-0.035,-0.112,-0.125,-0.106,-0.124,-0.187,-0.018,-0.132,-0.026,-0.084,-0.161,-0.159,-0.103,-0.075,-0.158,-0.132
"19",19,60001,59050001,711,-0.04,0.05,0,0.133,0.119,-0.025,-0.072,-0.035,-0.022,-0.121,-0.044,-0.02,-0.111,-0.027,-0.077,-0.146,-0.059,-0.041,-0.081,-0.011,0.056,-0.003,0.015,-0.172,-0.114,-0.068,-0.088,-0.124,-0.081,-0.006,-0.034,-0.212,-0.151,0.032,-0.009,0.013,0.021,0.005,0.063,-0.033,-0.025,-0.019,0.023,0.014,0.006,-0.006,0.006,0.017,-0.108,0.086,0.017,-0.029,0.061,-0.057,-0.076,0.02,-0.106,-0.015,0.036,-0.111,-0.081,-0.018,0.025,-0.081,0.058
"20",20,60001,62850001,359,-0.036,-0.045,-0.008,-0.062,-0.113,-0.053,-0.032,-0.038,-0.085,-0.078,-0.071,-0.027,-0.039,-0.024,-0.045,-0.094,-0.047,-0.03,-0.091,-0.123,-0.019,-0.054,-0.078,-0.103,-0.06,-0.111,-0.453,-0.056,-0.06,-0.019,-0.035,-0.101,-0.042,-0.152,-0.023,-0.032,0.003,-0.024,0.029,-0.034,-0.037,-0.041,-0.135,-0.034,-0.013,-0.017,-0.389,-0.176,-0.054,-0.05,-0.007,-0.025,-0.039,-0.078,-0.07,-0.022,-0.094,-0.035,-0.044,-0.106,-0.08,-0.029,-0.048,-0.112,-0.108
"21",21,10697897,48050001,157,0.002,0.005,0.022,-0.035,0.103,-0.009,0.015,0.003,-0.017,0.006,-0.013,-0.017,0.017,0.002,0.009,0.001,0.004,-0.03,0.008,0.018,0.028,0.011,-0.019,0.268,0.016,-0.044,-0.029,0.021,0,-0.003,0.003,-0.03,-0.014,-0.009,-0.007,-0.056,-0.011,-0.016,0.085,0.003,0.002,0.002,-0.024,-0.005,-0.012,-0.031,-0.027,-0.022,0.008,0.052,-0.026,-0.012,-0.014,-0.011,-0.038,0.022,-0.024,0.003,0.178,-0.025,-0.031,-0.001,-0.003,0.158,0.093
"22",22,16050001,51200001,300,-0.016,-0.02,0.009,-0.026,-0.044,0.006,0.027,0.03,-0.018,-0.003,-0.005,0.085,0.023,0.047,0.004,-0.074,0.017,0.089,0.01,0.022,-0.014,0.019,0.053,-0.106,-0.058,-0.036,-0.049,-0.048,-0.007,0.028,0.021,-0.161,0.007,0.07,0.023,0.066,0.078,0.058,-0.019,0.015,0.016,0.015,0.058,0.046,0.044,0.044,0.063,0.067,-0.017,0.127,0.058,0.032,0.007,-0.02,-0.038,0.088,-0.089,0.048,0.022,-0.083,-0.087,0.029,-0.005,-0.018,-0.039
