"chrom","start.pos","end.pos","n.probes","GSM2402884_6969568005_R02C01","GSM2402885_6929689168_R02C02","GSM2402887_6969568005_R04C01","GSM2402888_6969568005_R05C01","GSM2402889_6969568005_R06C01","GSM2402890_6929689168_R03C02","GSM2402891_6969568005_R01C02","GSM2402893_6969568005_R03C02","GSM2402894_6969568005_R04C02","GSM2402896_6969568005_R06C02","GSM2402898_6929689153_R06C01","GSM2402899_6929689153_R01C02","GSM2402900_6929689153_R02C02","GSM2402901_6929689153_R04C02","GSM2402902_6929689153_R05C02","GSM2402903_6929689153_R06C02","GSM2402904_6929689161_R01C01","GSM2402906_6929689161_R05C01","GSM2402907_6929689161_R06C01","GSM2402909_6929689168_R05C02","GSM2402923_6929689136_R03C02","GSM2402924_6929689136_R04C02","GSM2402926_6929689136_R06C02","GSM2402927_6929689152_R01C01","GSM2402931_6929689152_R06C01","GSM2402932_6929689152_R01C02","GSM2402964_6929718017_R06C01","GSM2402965_6929718017_R01C02","GSM2402967_6929718017_R06C02","GSM2402968_6929718017_R02C01","GSM2402969_6929718026_R01C01","GSM2402970_6929718026_R02C01","GSM2402972_6929718017_R04C01","GSM2403029_6929793058_R06C02","GSM2403031_6929793058_R05C02","GSM2403084_6247004024_R03C02","GSM2403086_6247004027_R01C02","GSM2403139_6752625051_R02C02","GSM2403140_6752625051_R03C02","GSM2403141_6752625051_R05C02","GSM2403142_6752625051_R06C02","GSM2403149_6752625095_R05C01","GSM2403150_6752625095_R01C02","GSM2403152_6752625095_R03C02","GSM2403153_6752625095_R04C02","GSM2403154_6752625095_R05C02","GSM2403156_6752625088_R04C01","GSM2403157_6752625088_R05C01","GSM2403158_6752625088_R06C01","GSM2403159_6752625088_R03C02","GSM2403160_6752625088_R04C02","GSM2403161_6752625088_R06C02","GSM2403162_6752625089_R01C01","GSM2403163_6752625089_R03C01","GSM2403164_6752625089_R06C01","GSM2403166_6752625089_R02C02","GSM2403167_6752625089_R04C02","GSM2403168_6752625089_R05C02","GSM2403169_6752625091_R01C01","GSM2403171_6752625091_R03C01","GSM2403172_6752625091_R04C01","GSM2403173_6752625091_R05C01","GSM2403174_6752625091_R06C01","GSM2403175_6752625091_R01C02","GSM2403176_6752625091_R03C02","GSM2403177_6752625091_R05C02","GSM2403178_6752625091_R06C02","GSM2403179_6752625095_R01C01","GSM2403180_6752625095_R03C01","GSM2403181_6752625095_R04C01","GSM2403217_7310440067_R01C01","GSM2403218_7310440067_R02C01","GSM2403220_7310440067_R05C01","GSM2403221_7310440067_R06C01","GSM2403222_7310440067_R01C02","GSM2403224_7310440067_R04C02","GSM2403442_8622007021_R06C02","GSM2403443_8622007022_R01C01","GSM2403444_8622007022_R02C01","GSM2403445_8622007022_R03C01","GSM2403446_8622007022_R04C01","GSM2403447_8622007022_R06C01","GSM2403449_8622007022_R03C02","GSM2403450_8622007022_R04C02","GSM2403452_8622007023_R01C01","GSM2403454_8622007023_R05C01","GSM2403456_8622007023_R03C02","GSM2403457_8622007023_R04C02","GSM2403458_8622007023_R06C02","GSM2403459_8622007021_R03C02","GSM2403461_8622007021_R05C02","GSM2403491_8622007058_R03C02","GSM2403492_8622007058_R04C02","GSM2403493_8622007058_R01C02","GSM2403510_8622007069_R01C02","GSM2403611_8622007119_R02C01","GSM2404000_9305651095_R05C02","GSM2404264_9406921149_R02C01","GSM2404377_9422493151_R02C02","GSM2404439_9420867051_R02C02","GSM2404549_9553932030_R04C01","GSM2404567_9553932098_R05C01","GSM2404786_9533774018_R03C02","GSM2404791_9513149159_R02C02","GSM2404831_9533774041_R04C01","GSM2404873_9534104008_R04C02","GSM2404877_9534104010_R06C01","GSM2404916_9968646167_R04C01","GSM2405119_9855358027_R04C02","GSM2405154_9878820021_R04C02","GSM2405301_3999875055_R05C02","GSM2405459_3999100031_R01C02","GSM2405460_3999100031_R03C02","GSM2405516_3998909026_R03C01","GSM2940731_10003886256_R02C02","GSM2940746_10006823024_R02C02","GSM2940768_10006823123_R03C02","GSM2940789_10006823144_R05C02","GSM2940821_200277210056_R06C01","GSM2940827_200325530023_R04C02","GSM2940864_200362700065_R02C02","GSM2940873_200362700196_R02C01","GSM2940884_200394870010_R04C01","GSM2940887_200394870069_R01C02","GSM2940890_200394870069_R06C01","GSM2940906_200397540001_R04C01","GSM2940946_3998523030_R01C01","GSM2940964_3998523032_R05C01","GSM2941019_3998567087_R03C02","GSM2941025_3998567088_R02C01","GSM2941034_3998568166_R01C02","GSM2941054_3998909027_R05C01","GSM2941175_3999078119_R03C02","GSM2941180_3999078120_R04C02","GSM2941183_3999078120_R06C02","GSM2941195_3999095103_R01C02","GSM2941199_3999095103_R06C01","GSM2941242_3999834002_R04C02","GSM2941341_9373550131_R04C02","GSM2941342_9373550131_R05C01","GSM2941397_9420867051_R03C01","GSM2941404_9420867121_R06C02","GSM2941426_9444375037_R06C02","GSM2941434_9444375150_R06C01","GSM2941477_9534104008_R03C01","GSM2941516_9647455233_R04C02","GSM2941540_9741779119_R03C02","GSM2941600_9855358031_R01C01","GSM2941635_9878820122_R05C02","GSM2941689_9878827240_R01C02","GSM2941692_9968646117_R05C02","GSM2941699_9968646118_R06C01","GSM2941778_9969477086_R06C01","GSM2941797_9969477104_R02C01"
"11",11,60001,134800001,914,0.047,0.019,0.008,0.012,0.008,0.02,0.002,0.121,0.029,0.009,0.005,-0.033,0.002,0.011,0.012,0.011,0.006,0.007,0.014,0.021,-0.03,0.022,0.057,0.023,0.021,0.022,-0.011,0.004,-0.004,-0.006,0.005,0,0.011,0.167,-0.009,-0.002,0.006,0.02,-0.006,0.088,-0.013,-0.004,-0.002,0.001,-0.001,0,-0.001,0.002,-0.004,-0.007,-0.002,0.002,0.002,0.002,0.001,0.077,-0.008,-0.001,-0.006,-0.009,-0.013,-0.008,0.001,-0.004,-0.007,-0.009,-0.009,-0.003,-0.005,-0.005,0.008,-0.014,-0.019,0.103,-0.034,0.052,-0.007,-0.007,0.002,-0.011,-0.013,-0.005,-0.009,-0.01,-0.011,-0.01,-0.005,0,-0.024,-0.013,-0.005,-0.002,-0.012,-0.011,-0.073,-0.001,0.02,-0.143,0.004,-0.126,-0.063,-0.098,-0.011,-0.024,-0.064,0.006,-0.027,-0.008,0.006,-0.009,-0.074,-0.022,-0.029,0.066,-0.108,-0.024,0.012,-0.107,-0.014,-0.003,-0.011,-0.08,-0.062,-0.022,-0.056,-0.015,0.103,-0.006,0.012,0.022,-0.059,-0.038,-0.006,-0.036,-0.054,-0.04,-0.015,-0.003,0.02,-0.063,-0.066,-0.056,-0.045,-0.175,-0.055,-0.001,0.029,0.035,-0.003,-0.043,-0.041,0.041,-0.043,-0.039
"12",12,145740,133700001,848,0.036,-0.005,-0.009,-0.011,-0.008,-0.004,-0.014,-0.042,-0.036,-0.01,-0.01,-0.056,-0.012,-0.007,-0.007,-0.01,-0.012,-0.012,-0.009,-0.004,-0.056,-0.002,-0.017,-0.002,-0.005,-0.003,-0.033,-0.017,-0.025,-0.021,-0.012,-0.011,-0.02,-0.031,-0.008,-0.022,-0.013,0.028,-0.016,-0.077,-0.022,-0.02,-0.014,-0.012,-0.015,-0.019,-0.014,-0.015,-0.026,-0.021,-0.018,-0.016,-0.015,-0.016,-0.014,-0.025,-0.025,-0.013,-0.016,-0.024,-0.023,-0.021,-0.013,-0.014,-0.022,-0.02,-0.027,-0.016,-0.017,-0.016,-0.049,-0.026,-0.027,-0.077,-0.05,0.044,-0.027,-0.029,-0.031,-0.031,-0.033,-0.028,-0.032,-0.029,-0.029,-0.03,-0.022,-0.02,-0.048,-0.028,-0.025,-0.034,-0.033,-0.028,-0.065,-0.025,-0.005,-0.173,-0.02,-0.121,-0.061,-0.097,-0.024,-0.041,0.057,-0.001,-0.036,-0.013,-0.007,-0.017,-0.06,-0.029,-0.048,0.056,-0.114,-0.028,-0.004,0.058,-0.09,-0.01,-0.021,-0.072,-0.047,-0.043,-0.101,-0.014,0.101,-0.024,-0.003,0.031,-0.044,0.084,-0.019,-0.047,-0.056,-0.058,-0.025,-0.005,-0.006,-0.067,-0.074,-0.051,-0.04,-0.151,0.123,-0.009,0.032,-0.135,-0.023,-0.092,-0.051,-0.063,-0.085,-0.038
"13",13,19020001,115050001,431,-0.104,-0.015,-0.04,-0.034,-0.042,-0.026,-0.02,-0.068,-0.071,-0.044,-0.038,-0.098,-0.045,-0.033,-0.029,-0.027,-0.031,-0.033,-0.036,-0.017,-0.077,-0.018,0.067,-0.018,-0.024,-0.026,-0.106,-0.062,-0.066,-0.057,-0.042,-0.044,-0.047,-0.062,-0.016,-0.078,-0.054,-0.131,-0.055,-0.125,-0.087,-0.059,-0.033,-0.03,-0.05,-0.063,-0.037,-0.04,-0.069,-0.054,-0.045,-0.042,-0.036,-0.038,-0.055,-0.09,-0.06,-0.041,-0.05,-0.067,-0.067,-0.064,-0.07,-0.049,-0.053,-0.053,-0.082,-0.044,-0.049,-0.047,-0.103,-0.07,-0.068,-0.137,-0.127,-0.004,-0.075,-0.061,-0.057,-0.071,-0.079,-0.079,-0.085,-0.071,-0.077,-0.081,-0.076,-0.06,-0.106,-0.073,-0.095,-0.09,-0.089,-0.081,-0.054,-0.143,0.001,-0.19,-0.039,-0.115,-0.003,-0.159,-0.05,-0.09,-0.062,0.001,-0.073,-0.02,-0.017,-0.034,-0.095,-0.063,-0.122,-0.087,-0.078,-0.047,-0.024,-0.128,0.028,-0.015,-0.041,-0.063,-0.05,-0.085,-0.269,-0.018,0.012,-0.066,-0.02,-0.089,-0.333,-0.073,-0.046,-0.121,-0.114,-0.13,-0.051,-0.077,-0.036,-0.075,-0.064,-0.073,-0.034,-0.127,-0.092,0.011,-0.109,-0.013,-0.072,-0.15,-0.118,-0.149,-0.13,-0.074
"14",14,19000001,106950001,528,-0.055,-0.019,-0.011,-0.013,-0.011,-0.014,-0.011,-0.036,-0.036,-0.014,-0.01,-0.055,-0.012,-0.013,-0.014,-0.023,-0.017,-0.011,-0.019,-0.014,-0.068,-0.014,-0.015,-0.017,-0.021,-0.018,-0.037,-0.025,-0.029,-0.016,-0.016,-0.013,-0.016,-0.032,-0.003,-0.016,-0.013,-0.038,-0.007,-0.069,-0.012,-0.011,-0.01,-0.009,-0.014,-0.012,-0.014,-0.017,-0.019,-0.012,-0.014,-0.012,-0.016,-0.016,-0.02,-0.049,-0.013,-0.018,-0.008,-0.008,-0.013,-0.009,-0.012,-0.006,-0.01,-0.01,-0.015,-0.011,-0.014,-0.01,-0.034,-0.011,-0.006,-0.062,-0.034,0.059,-0.012,-0.01,-0.013,-0.015,-0.011,-0.014,-0.013,-0.005,-0.008,-0.012,-0.013,-0.011,-0.035,-0.008,-0.009,-0.017,-0.015,-0.012,-0.062,-0.054,-0.008,-0.111,-0.001,-0.107,-0.079,-0.071,-0.009,-0.025,-0.075,0.008,-0.015,0.001,-0.003,0.002,-0.037,-0.013,-0.021,-0.03,-0.107,-0.025,0.003,-0.071,-0.085,-0.009,-0.009,-0.059,-0.051,-0.025,-0.087,-0.011,0.003,-0.017,-0.003,-0.064,-0.051,-0.017,-0.012,-0.015,-0.035,-0.031,-0.022,-0.055,0.005,-0.052,-0.068,-0.021,-0.03,-0.114,-0.045,-0.01,0.034,-0.119,-0.013,-0.034,-0.036,-0.025,-0.058,-0.012
"15",15,20000001,102300001,571,-0.049,-0.01,-0.008,-0.006,-0.009,-0.006,-0.007,-0.031,0.036,-0.008,-0.006,-0.048,-0.002,-0.001,-0.008,-0.015,-0.012,-0.007,-0.011,-0.008,0.096,-0.009,-0.011,-0.013,-0.018,-0.011,-0.033,-0.022,0,-0.014,-0.013,-0.008,-0.011,-0.018,-0.002,-0.008,-0.005,-0.027,0.002,0.084,-0.004,-0.009,-0.009,-0.001,-0.009,-0.005,-0.012,-0.012,-0.016,-0.009,-0.009,-0.009,-0.011,-0.012,-0.011,0.068,-0.011,-0.012,-0.006,-0.01,-0.01,-0.006,-0.007,-0.005,-0.007,-0.011,-0.011,-0.004,-0.006,-0.006,-0.029,-0.004,-0.006,-0.064,-0.027,0.069,-0.008,-0.007,-0.01,-0.007,-0.008,-0.008,-0.008,-0.003,-0.008,-0.01,-0.007,-0.004,-0.027,-0.003,-0.007,-0.005,-0.019,-0.002,-0.041,-0.034,0.002,-0.083,0.005,-0.074,-0.058,-0.05,0.004,-0.009,0.054,0.012,-0.004,0.004,0.009,0.013,-0.027,-0.001,-0.011,0.073,-0.082,-0.007,0.013,-0.052,-0.061,0.006,0.008,-0.038,-0.046,-0.013,-0.05,0.002,0.013,-0.001,0.007,0.053,-0.025,0.013,0.002,-0.003,-0.023,-0.014,-0.006,0.019,0.02,-0.034,-0.046,-0.014,-0.021,-0.096,-0.037,-0.004,-0.092,0.082,-0.001,-0.044,-0.031,-0.018,0.015,-0.003
"16",16,60001,90150001,624,-0.022,0.025,0.028,0.022,0.027,0.026,0.013,-0.01,0.004,0.025,0.023,-0.014,0.017,0.024,0.03,0.03,0.025,0.026,0.029,0.027,-0.021,0.025,-0.048,0.025,0.027,0.024,0.012,0.012,0.022,0.024,0.018,0.018,0.014,-0.029,0.001,0.031,0.031,0.049,0.012,-0.03,0.016,0.02,0.017,0.016,0.019,0.013,0.017,0.021,0.024,0.019,0.017,0.02,0.018,0.019,0.027,-0.021,0.02,0.019,0.011,0.016,0.019,0.019,0.018,0.018,0.019,0.018,0.021,0.017,0.019,0.015,0.004,0.017,0.012,-0.036,0.001,-0.033,0.027,0.015,0.019,0.023,0.024,0.026,0.026,0.016,0.026,0.026,0.025,0.02,0.004,0.021,0.027,0.022,0.006,0.025,0.012,0.048,0.019,0.014,0.034,0.007,-0.002,-0.018,0.021,0.015,-0.029,0.005,0.023,0.005,0.022,0.021,0.001,0.03,0.045,0.007,0.019,0.019,0.02,-0.008,-0.007,0.022,0.031,0.009,-0.085,0.032,0.089,0.021,0.033,0.036,0.017,-0.018,0.018,0.022,0.028,0.043,0.01,0.039,0.012,-0.018,-0.047,0.017,0.013,0.015,0.011,-0.026,-0.026,0.015,-0.034,-0.009,0.042,-0.046,0.002,0.031,-0.011,0.015
"17",17,1,81050001,814,-0.094,-0.07,-0.048,-0.052,-0.054,-0.064,-0.063,-0.085,-0.071,-0.058,-0.055,-0.089,-0.047,-0.055,-0.059,-0.07,-0.058,-0.053,-0.059,-0.067,-0.122,-0.072,-0.199,-0.072,-0.082,-0.071,-0.063,-0.056,-0.064,-0.041,-0.052,-0.054,-0.056,-0.067,-0.054,-0.038,-0.047,-0.049,-0.045,-0.094,-0.037,-0.042,-0.055,-0.058,-0.047,-0.045,-0.058,-0.059,-0.048,-0.045,-0.053,-0.059,-0.054,-0.06,-0.057,-0.088,-0.045,-0.055,-0.048,-0.037,-0.038,-0.037,-0.041,-0.044,-0.045,-0.045,-0.026,-0.052,-0.048,-0.053,-0.058,-0.038,-0.045,-0.096,-0.059,-0.071,-0.033,-0.038,-0.049,-0.046,-0.029,-0.042,-0.03,-0.041,-0.028,-0.033,-0.036,-0.04,-0.064,-0.031,-0.035,-0.032,-0.039,-0.028,-0.047,-0.062,-0.071,-0.042,-0.047,-0.045,-0.097,-0.057,-0.045,-0.032,-0.105,-0.061,-0.042,-0.055,-0.061,-0.05,-0.033,-0.032,-0.026,-0.058,-0.074,-0.033,-0.056,-0.067,-0.087,-0.058,-0.044,-0.056,-0.099,-0.031,0.021,-0.055,-0.061,-0.036,-0.058,0.016,-0.046,-0.043,-0.047,-0.009,-0.047,-0.008,-0.054,-0.105,-0.038,-0.046,-0.059,-0.029,-0.056,-0.024,-0.081,-0.06,-0.109,0.046,-0.029,-0.055,-0.066,-0.028,-0.051,-0.029
"18",18,10001,77950001,243,-0.075,-0.143,-0.122,-0.124,-0.129,-0.144,-0.113,-0.152,-0.097,-0.14,-0.126,-0.163,-0.12,-0.127,-0.134,-0.15,-0.135,-0.127,-0.142,-0.146,-0.196,-0.147,-0.104,-0.146,-0.161,-0.144,-0.136,-0.103,-0.145,-0.118,-0.123,-0.125,-0.116,-0.061,-0.063,-0.125,-0.123,-0.123,-0.105,-0.024,-0.108,-0.12,-0.124,-0.118,-0.125,-0.116,-0.126,-0.128,-0.137,-0.124,-0.132,-0.125,-0.13,-0.133,-0.132,-0.145,-0.126,-0.126,-0.113,-0.105,-0.106,-0.108,-0.111,-0.104,-0.116,-0.116,-0.103,-0.12,-0.118,-0.115,-0.14,-0.107,-0.07,-0.146,-0.141,-0.142,-0.116,-0.113,-0.116,-0.119,-0.121,-0.128,-0.125,-0.122,-0.12,-0.124,-0.117,-0.117,-0.148,-0.108,-0.117,-0.119,-0.106,-0.102,-0.07,-0.147,-0.137,-0.106,-0.108,-0.11,-0.115,-0.1,-0.09,-0.088,-0.147,-0.092,-0.109,-0.089,-0.109,-0.097,-0.067,-0.104,-0.136,-0.136,-0.121,-0.083,-0.112,-0.136,-0.066,-0.108,-0.114,-0.096,-0.116,-0.128,-0.263,-0.092,-0.133,-0.136,-0.114,-0.147,-0.125,-0.089,-0.116,-0.114,-0.117,-0.12,-0.116,-0.051,-0.113,-0.107,-0.135,-0.072,-0.084,-0.016,-0.13,-0.114,-0.023,-0.175,-0.114,-0.047,-0.152,-0.135,-0.033,-0.067
"19",19,60001,59050001,711,-0.057,-0.035,-0.015,-0.017,-0.013,-0.029,-0.022,-0.042,-0.036,-0.015,-0.014,-0.054,-0.012,-0.021,-0.02,-0.03,-0.023,-0.016,-0.023,-0.033,-0.085,-0.039,-0.244,-0.038,-0.045,-0.039,-0.023,-0.003,-0.028,-0.009,-0.02,-0.018,-0.019,-0.076,-0.039,-0.009,-0.018,-0.024,-0.012,-0.056,-0.004,-0.012,-0.022,-0.034,-0.019,-0.016,-0.03,-0.026,-0.018,-0.013,-0.018,-0.024,-0.025,-0.024,-0.027,-0.056,-0.014,-0.027,-0.019,-0.009,-0.01,-0.008,-0.015,-0.009,-0.018,-0.013,-0.006,-0.017,-0.019,-0.027,-0.024,-0.008,-0.031,-0.075,-0.029,-0.058,-0.003,-0.009,-0.025,-0.005,-0.004,-0.01,-0.002,0.003,-0.004,-0.004,-0.011,-0.008,-0.039,-0.001,-0.003,-0.008,-0.03,0,-0.034,-0.032,-0.043,-0.035,-0.031,-0.022,-0.061,-0.03,-0.026,-0.033,0.007,-0.05,-0.014,-0.036,-0.041,-0.021,-0.004,0.005,0.011,-0.039,-0.039,0.001,-0.039,-0.014,-0.057,-0.033,-0.006,-0.032,-0.086,0.003,0.066,-0.019,-0.029,-0.017,-0.04,0.045,-0.016,0.001,-0.029,0.022,-0.014,0.013,-0.021,-0.071,-0.016,-0.02,-0.038,0.009,-0.021,-0.015,-0.065,-0.036,-0.081,-0.063,-0.007,-0.125,-0.039,-0.001,-0.009,0.008
"20",20,60001,62850001,359,-0.001,-0.04,-0.034,-0.037,-0.033,-0.038,-0.029,-0.069,-0.029,-0.034,-0.033,-0.078,-0.03,-0.031,-0.036,-0.043,-0.036,-0.032,-0.038,-0.04,-0.093,-0.044,-0.083,-0.038,-0.047,-0.041,-0.042,-0.016,-0.04,-0.026,-0.028,-0.029,-0.032,-0.079,-0.039,-0.029,-0.028,-0.052,-0.025,-0.077,-0.028,-0.031,-0.031,-0.036,-0.032,-0.026,-0.035,-0.036,-0.033,-0.031,-0.033,-0.036,-0.028,-0.035,-0.038,0.037,-0.03,-0.038,-0.03,-0.028,-0.03,-0.03,-0.029,-0.025,-0.028,-0.034,-0.027,-0.026,-0.034,-0.033,-0.045,-0.023,-0.027,-0.088,0.044,-0.076,-0.024,-0.025,-0.032,-0.023,-0.024,-0.026,-0.023,-0.027,-0.025,-0.029,-0.029,-0.031,-0.059,-0.026,-0.023,-0.023,-0.035,-0.018,-0.064,-0.02,-0.04,-0.07,-0.026,-0.081,-0.088,-0.085,-0.029,-0.03,0.023,-0.025,-0.035,-0.033,-0.028,-0.028,-0.042,-0.026,-0.016,-0.047,-0.097,-0.029,-0.025,-0.073,-0.1,-0.041,-0.021,-0.068,-0.079,-0.022,-0.011,-0.035,-0.044,-0.031,-0.031,-0.068,-0.067,0.061,-0.041,-0.016,-0.057,-0.018,-0.044,-0.067,-0.014,-0.062,-0.07,-0.032,-0.052,-0.052,-0.069,-0.031,0.026,-0.137,-0.024,-0.05,-0.058,-0.027,-0.059,-0.024
"21",21,10697897,48050001,157,-0.05,-0.005,-0.005,-0.009,-0.002,-0.006,-0.015,0.099,-0.008,-0.01,-0.01,-0.042,-0.013,-0.007,-0.005,-0.011,-0.004,-0.008,-0.005,-0.007,-0.055,-0.01,0.013,-0.003,-0.016,-0.01,-0.021,-0.022,-0.026,-0.013,-0.011,-0.017,-0.013,-0.01,-0.001,-0.016,-0.014,-0.041,-0.025,-0.072,-0.016,-0.013,-0.017,-0.008,-0.018,-0.016,-0.019,-0.012,-0.016,-0.017,-0.016,-0.014,-0.014,-0.022,-0.013,0.034,-0.016,-0.019,-0.017,-0.013,-0.015,-0.017,-0.019,-0.013,-0.019,-0.021,-0.006,-0.021,-0.015,-0.016,-0.036,-0.021,-0.011,-0.065,-0.043,-0.065,-0.012,-0.017,-0.01,-0.015,-0.018,-0.009,-0.021,-0.016,-0.013,-0.014,-0.01,-0.01,-0.032,-0.017,-0.014,-0.011,-0.019,-0.017,0.009,-0.002,-0.016,-0.027,-0.01,-0.021,-0.021,-0.032,-0.015,-0.021,-0.05,-0.025,-0.029,0.001,-0.008,-0.002,-0.015,-0.013,-0.039,-0.031,-0.015,-0.003,-0.019,-0.044,-0.04,-0.012,-0.017,-0.008,-0.044,-0.026,-0.083,-0.002,-0.116,-0.024,-0.02,0.04,-0.031,-0.012,-0.017,-0.026,-0.033,-0.028,-0.011,-0.052,-0.008,-0.01,-0.01,-0.002,-0.016,-0.011,-0.061,-0.017,-0.251,-0.086,-0.007,-0.003,-0.047,-0.037,-0.035,-0.002
"22",22,16050001,51200001,300,-0.024,-0.03,0.013,-0.004,0.005,-0.006,-0.001,-0.03,-0.013,-0.004,0.003,-0.027,0.003,0.007,-0.002,-0.01,-0.014,0.009,0.001,-0.011,-0.073,-0.019,-0.145,-0.031,-0.021,-0.017,0.01,0.015,0.005,0.005,0.017,0.014,0.011,-0.026,0.009,0.03,0.025,0.024,0.029,-0.015,0.04,0.025,0.012,0.009,0.017,0.024,0.01,0.012,0.028,0.022,0.014,0.01,0.015,-0.002,0.014,-0.017,0.026,0.006,0.025,0.032,0.032,0.037,0.022,0.028,0.028,0.024,0.041,0.023,0.019,0.01,0.019,0.036,0.028,-0.019,0.011,-0.006,0.037,0.032,0.009,0.034,0.041,0.018,0.038,0.032,0.041,0.039,0.023,0.023,0.01,0.04,0.034,0.041,0.035,0.047,0.01,0.031,-0.011,0.062,0.024,0.014,-0.055,0.032,0.033,0.035,0.053,-0.003,0.04,0.014,0.002,0.017,0.047,0.046,0.076,0.025,-0.006,0.03,0.008,0.014,-0.018,0.005,0.027,0.018,-0.056,0.058,0.099,0.022,0.007,0.037,-0.002,-0.104,0.004,0.038,0.022,0.085,0.026,0.078,0.027,-0.043,0.039,0.032,0,0.056,-0.005,0.043,-0.027,0.002,-0.203,-0.02,0.041,0.026,0.02,0.07,0.042,0.058
