"chrom","start.pos","end.pos","n.probes","GSM2402866_5684819013_R02C01","GSM2402916_6929689168_R01C02","GSM2402917_6164621144_R04C02","GSM2402955_6164621144_R06C01","GSM2402957_6969568004_R02C01","GSM2402959_6929718027_R01C01","GSM2402962_6929718027_R06C01","GSM2402977_6929718027_R04C02","GSM2403026_6929718049_R06C01","GSM2403027_6929718049_R03C01","GSM2403063_6229017023_R05C01","GSM2403068_6229017022_R02C02","GSM2403072_6247004023_R03C02","GSM2403073_6247004023_R04C02","GSM2403076_6247004024_R03C01","GSM2403496_8622007061_R03C01","GSM2403619_8622007130_R04C01","GSM2404046_9373550131_R02C02","GSM2404100_9376538156_R03C02","GSM2404123_9379086124_R05C01","GSM2404125_9379086129_R06C01","GSM2404126_9379086129_R01C02","GSM2404152_9407201022_R03C01","GSM2404157_9407201021_R06C01","GSM2404158_9407201021_R04C02","GSM2404159_9407201022_R01C01","GSM2404161_9407201022_R02C02","GSM2404164_9407201021_R03C01","GSM2404167_9407201021_R05C01","GSM2404519_9444374147_R03C01","GSM2404833_9533774082_R01C01","GSM2404834_9533774082_R03C01","GSM2404837_9533774082_R06C01","GSM2404839_9533774082_R04C02","GSM2404840_9533774082_R06C02","GSM2404843_9533774084_R04C01","GSM2404844_9533774084_R06C01","GSM2404854_9534104010_R06C02","GSM2404881_9534104026_R02C01","GSM2404927_9969477003_R02C01","GSM2405010_9969477043_R06C02","GSM2405011_9969477044_R01C01","GSM2405015_9969477044_R02C01","GSM2405043_9969477079_R06C02","GSM2405438_3999875073_R01C01","GSM2405521_3998909027_R03C02","GSM2940901_200394970104_R03C01","GSM2941168_3999078079_R03C02","GSM2941217_3999100101_R06C01","GSM2941254_3999834068_R01C01","GSM2941324_9305651060_R04C02"
"11",11,60001,134800001,914,0.051,0.082,0.082,0.073,0.083,0.052,0.044,0.029,0.039,0.04,0.056,-0.117,0.037,0.032,0.043,0.038,0.107,0.06,-0.001,0.022,0.01,-0.009,0.017,0.081,0.026,0.061,0.056,0,0.036,0.002,-0.004,0.021,0.009,0.026,0.026,0.03,-0.009,0.028,0.018,0.006,0.006,0.03,0.033,0.007,0.025,0.033,-0.018,0.046,0.041,0.015,0.022
"12",12,145740,133700001,848,0.048,0.066,0.043,0.046,0.059,0.037,0.034,0.022,0.033,0.035,0.047,-0.134,0.029,0.022,0.032,0.014,0.076,0.047,0.005,0.017,0.032,0,0.011,0.074,0.021,0.038,0.048,0.004,0.021,0.016,0.021,0.061,0.016,0.04,0.042,0.059,0.017,0.05,0.015,-0.014,-0.002,0.022,0.008,0.017,0.029,0.04,0.009,0.03,-0.017,0.044,0.025
"13",13,19020001,115050001,431,0.024,0.046,0.09,0.047,0.064,0.043,0.02,0.004,0.006,0.012,0.033,0.254,-0.012,-0.009,-0.021,-0.019,0.26,0.065,-0.064,-0.004,-0.102,-0.046,-0.052,0.164,0.038,0.079,0.087,-0.004,0.084,0.023,0.175,0.076,0.015,0.085,0.016,0.113,-0.058,0.15,-0.024,-0.071,-0.102,-0.076,-0.068,-0.039,0.028,0.037,0.025,0.084,0.017,0.093,0.017
"14",14,19000001,106950001,528,0.041,0.243,0.034,0.047,0.05,0.031,0.035,0.027,0.037,0.049,0.044,0.111,0.032,0.029,0.045,0.031,0.002,0.042,0.033,0.026,0.079,0.025,0.045,0.048,0.025,0.038,0.037,0.022,0.036,0.009,0.041,0.042,0.028,0.027,0.056,0.033,0.049,0.034,0.039,0.023,0.039,0.051,0.051,0.044,0.032,0.036,0.011,0.05,0.035,0.029,0.036
"15",15,20000001,102300001,571,0.049,0.064,0.035,0.048,0.057,0.038,0.035,0.029,0.042,0.05,0.047,0.275,0.034,0.038,0.052,0.034,0.019,0.054,0.043,0.031,0.081,0.032,0.053,0.047,0.027,0.044,0.039,0.03,0.026,0.011,0.05,0.04,0.034,0.026,0.063,0.03,0.058,0.027,0.046,0.033,0.047,0.064,0.053,0.056,0.04,0.054,0.012,0.048,-0.069,0.046,0.048
"16",16,60001,90150001,624,0.048,0.058,0.035,0.063,0.075,0.059,0.043,0.03,0.039,0.034,0.059,0.112,0.051,0.039,0.061,0.053,0.106,0.052,0.019,0.039,0.014,0.017,0.05,0.023,0.027,0.04,0.038,0.03,0.001,0.03,0.018,0.031,0.047,0.02,0.017,-0.005,0.004,-0.233,0.014,0.026,0.009,0.05,0.032,0.051,0.05,0.046,0.025,0.005,0.205,0.055,0.041
"17",17,1,81050001,814,-0.04,-0.034,-0.103,-0.053,-0.04,-0.033,-0.046,-0.034,-0.029,-0.038,-0.046,-0.163,-0.03,-0.032,-0.015,-0.017,-0.117,-0.056,-0.003,-0.02,0.013,0.005,0,-0.116,-0.053,-0.063,-0.059,-0.026,-0.077,-0.029,-0.028,-0.04,-0.022,-0.055,-0.049,-0.077,0,-0.072,-0.004,-0.004,-0.003,0.016,-0.01,0,-0.048,-0.023,-0.031,-0.066,-0.026,0,-0.037
"18",18,10001,77950001,243,-0.091,-0.375,-0.13,-0.092,-0.111,-0.096,-0.113,-0.086,-0.07,-0.072,-0.098,0.176,-0.092,-0.082,-0.086,-0.072,-0.158,-0.095,-0.037,-0.088,0.001,-0.047,-0.052,-0.085,-0.093,-0.097,-0.096,-0.066,-0.062,-0.048,-0.045,-0.058,-0.053,-0.067,-0.062,-0.051,-0.003,-0.06,-0.015,-0.045,-0.032,-0.037,-0.048,-0.052,-0.097,-0.053,-0.05,-0.019,-0.342,-0.007,-0.064
"19",19,60001,59050001,711,0.029,-0.007,-0.091,-0.014,0.007,-0.023,-0.002,0.004,0.01,0.008,0.002,0.209,0.006,0.003,0.027,0,-0.065,-0.013,0.012,0.017,0.009,0.03,0.014,-0.092,-0.027,-0.047,-0.017,-0.009,-0.094,0.013,0.004,0.013,0.002,-0.014,-0.023,-0.038,0.009,-0.022,-0.002,-0.019,-0.018,0.018,-0.024,0.035,-0.005,0.006,-0.014,-0.083,-0.091,0.05,0.01
"20",20,60001,62850001,359,0.017,0.023,-0.016,0.012,0.019,0.02,-0.003,0,0.002,0.002,0.006,0.079,0.006,0.005,0.009,0.01,-0.019,0.009,-0.003,0.004,-0.043,-0.009,0.004,-0.014,-0.014,0.008,0.001,-0.033,-0.021,-0.024,-0.044,-0.01,-0.043,-0.032,-0.052,-0.014,-0.053,-0.007,-0.001,0.002,-0.015,0.004,0,0.007,-0.006,0.003,-0.046,0.005,-0.216,0.016,-0.006
"21",21,10697897,48050001,157,0.013,0.039,0.03,0.044,0.037,0.019,0.009,0.002,0.015,0.023,0.022,0.086,-0.003,-0.002,0.012,0.014,0.08,0.022,-0.01,0.005,0.006,0.007,0.015,0.016,0.017,0.018,0.014,0.016,0.024,0.016,0.012,0.012,0.033,0.009,0.029,-0.002,0.018,0.033,0.013,0.006,0,0.009,0.009,0.018,0.011,0.029,0.028,0.039,0.218,0.187,0.014
"22",22,16050001,51200001,300,0.049,-0.255,-0.027,-0.428,-0.514,-0.329,0.027,0.018,-0.259,-0.421,-0.377,-0.13,0.024,0.045,-0.32,0.043,-0.717,-0.273,-0.216,-0.265,-0.197,0.036,0.061,-0.066,0.002,-0.035,-0.006,0.029,-0.016,-0.039,-0.221,-0.346,0.034,-0.014,0.026,-0.24,0.044,-0.512,-0.298,0.065,0.067,0.066,-0.2,-0.184,0.033,-0.24,0.016,0.004,-0.03,-0.326,0.007
