"chrom","start.pos","end.pos","n.probes","GSM2402866_5684819013_R02C01","GSM2402916_6929689168_R01C02","GSM2402917_6164621144_R04C02","GSM2402955_6164621144_R06C01","GSM2402957_6969568004_R02C01","GSM2402959_6929718027_R01C01","GSM2402962_6929718027_R06C01","GSM2402977_6929718027_R04C02","GSM2403026_6929718049_R06C01","GSM2403027_6929718049_R03C01","GSM2403063_6229017023_R05C01","GSM2403068_6229017022_R02C02","GSM2403072_6247004023_R03C02","GSM2403073_6247004023_R04C02","GSM2403076_6247004024_R03C01","GSM2403496_8622007061_R03C01","GSM2403619_8622007130_R04C01","GSM2404046_9373550131_R02C02","GSM2404100_9376538156_R03C02","GSM2404123_9379086124_R05C01","GSM2404125_9379086129_R06C01","GSM2404126_9379086129_R01C02","GSM2404152_9407201022_R03C01","GSM2404157_9407201021_R06C01","GSM2404158_9407201021_R04C02","GSM2404159_9407201022_R01C01","GSM2404161_9407201022_R02C02","GSM2404164_9407201021_R03C01","GSM2404167_9407201021_R05C01","GSM2404519_9444374147_R03C01","GSM2404833_9533774082_R01C01","GSM2404834_9533774082_R03C01","GSM2404837_9533774082_R06C01","GSM2404839_9533774082_R04C02","GSM2404840_9533774082_R06C02","GSM2404843_9533774084_R04C01","GSM2404844_9533774084_R06C01","GSM2404854_9534104010_R06C02","GSM2404881_9534104026_R02C01","GSM2404927_9969477003_R02C01","GSM2405010_9969477043_R06C02","GSM2405011_9969477044_R01C01","GSM2405015_9969477044_R02C01","GSM2405043_9969477079_R06C02","GSM2405438_3999875073_R01C01","GSM2405521_3998909027_R03C02","GSM2940901_200394970104_R03C01","GSM2941168_3999078079_R03C02","GSM2941217_3999100101_R06C01","GSM2941254_3999834068_R01C01","GSM2941324_9305651060_R04C02"
"11",11,60001,134800001,914,-0.002,0.029,0.016,0.008,0.026,0.01,-0.006,-0.008,-0.007,-0.001,0.009,-0.164,-0.007,-0.008,0.002,-0.006,-0.088,0.019,-0.035,-0.012,-0.048,-0.039,-0.02,0.025,-0.006,0.023,0.017,-0.032,-0.003,-0.038,-0.042,-0.035,-0.065,-0.036,-0.03,-0.014,-0.058,-0.058,-0.019,-0.033,-0.03,-0.022,-0.01,-0.035,-0.012,-0.007,-0.061,0.005,-0.02,-0.053,-0.026
"12",12,145740,133700001,848,-0.01,0.02,-0.019,-0.019,0.005,-0.003,-0.016,-0.013,-0.011,0,-0.003,-0.176,-0.015,-0.017,-0.008,-0.023,-0.11,0.009,-0.03,-0.017,-0.052,-0.036,-0.032,0.023,-0.013,0.001,0.016,-0.032,-0.018,-0.024,-0.029,-0.001,-0.064,-0.026,-0.024,0.018,-0.051,-0.038,-0.021,-0.057,-0.052,-0.036,-0.043,-0.033,-0.012,-0.002,-0.04,-0.009,-0.111,-0.017,-0.024
"13",13,19020001,115050001,431,-0.076,-0.038,-0.028,-0.07,-0.033,-0.036,-0.069,-0.06,-0.066,-0.057,-0.055,0.162,-0.086,-0.081,-0.084,-0.085,0.026,-0.013,-0.102,-0.062,-0.142,-0.096,-0.094,0.059,-0.017,0,0.002,-0.05,0.011,-0.043,0.124,0.006,-0.063,0.011,-0.035,0.043,-0.087,0.023,-0.084,-0.116,-0.141,-0.13,-0.118,-0.094,-0.035,-0.032,-0.038,0,-0.008,-0.007,-0.052
"14",14,19000001,106950001,528,-0.011,0.198,-0.021,-0.016,0.008,0.003,-0.012,0.002,0.005,0.017,0.004,0.068,-0.005,-0.005,0.012,-0.004,-0.179,0.01,0.005,-0.001,-0.014,-0.009,0.002,0.014,-0.002,0.011,0.013,-0.006,0.004,-0.023,-0.006,-0.007,-0.05,-0.03,-0.005,0.008,-0.02,-0.046,0.009,-0.017,-0.011,-0.006,-0.003,-0.004,-0.006,0,-0.032,0.022,-0.082,-0.024,-0.003
"15",15,20000001,102300001,571,-0.005,0.025,-0.018,-0.013,0.011,0.007,-0.012,-0.002,0.01,0.015,0.004,0.223,-0.003,0.003,0.017,-0.001,-0.165,0.023,0.014,0.004,-0.014,-0.005,0.011,0.013,0.001,0.015,0.012,-0.002,0.003,-0.018,0.004,-0.007,-0.041,-0.03,0.001,0.004,-0.002,-0.046,0.015,-0.01,-0.004,0.006,0.002,0.006,0.004,0.018,-0.029,0.019,-0.186,-0.009,0.008
"16",16,60001,90150001,624,0.014,0.014,-0.022,0.007,0.026,0.023,0.006,0.005,0.01,0.008,0.021,0.075,0.019,0.015,0.03,0.02,-0.087,0.017,0.001,0.02,-0.015,0.001,0.026,-0.022,0.004,0.01,0.01,0.011,-0.025,0.006,-0.005,-0.012,-0.002,-0.022,-0.013,-0.038,-0.015,-0.304,-0.008,0.005,-0.004,0.021,0.006,0.024,0.026,0.015,-0.004,-0.023,0.172,-0.002,0.004
"17",17,1,81050001,814,-0.034,-0.045,-0.115,-0.07,-0.048,-0.039,-0.048,-0.038,-0.03,-0.037,-0.047,-0.168,-0.031,-0.031,-0.012,-0.029,-0.246,-0.06,-0.014,-0.028,-0.018,-0.01,-0.022,-0.105,-0.059,-0.06,-0.059,-0.039,-0.083,-0.038,-0.044,-0.058,-0.05,-0.074,-0.059,-0.08,-0.025,-0.108,-0.016,-0.032,-0.019,-0.013,-0.031,-0.021,-0.054,-0.041,-0.055,-0.073,-0.097,-0.033,-0.053
"18",18,10001,77950001,243,-0.091,-0.371,-0.14,-0.115,-0.115,-0.099,-0.118,-0.092,-0.075,-0.078,-0.102,0.15,-0.096,-0.086,-0.086,-0.085,-0.266,-0.095,-0.053,-0.101,-0.051,-0.07,-0.09,-0.069,-0.102,-0.092,-0.092,-0.085,-0.072,-0.061,-0.074,-0.08,-0.09,-0.088,-0.077,-0.05,-0.046,-0.095,-0.038,-0.086,-0.068,-0.081,-0.083,-0.084,-0.104,-0.072,-0.084,-0.027,-0.452,-0.04,-0.084
"19",19,60001,59050001,711,-0.002,-0.043,-0.143,-0.066,-0.034,-0.051,-0.034,-0.016,-0.015,-0.015,-0.031,0.177,-0.018,-0.018,0.003,-0.023,-0.255,-0.044,-0.003,0.001,-0.019,0.016,-0.006,-0.13,-0.044,-0.071,-0.039,-0.023,-0.115,-0.007,-0.017,-0.021,-0.042,-0.053,-0.047,-0.063,-0.008,-0.087,-0.017,-0.031,-0.024,-0.006,-0.042,0.012,-0.028,-0.022,-0.04,-0.104,-0.121,-0.002,-0.02
"20",20,60001,62850001,359,-0.029,-0.028,-0.087,-0.054,-0.044,-0.029,-0.05,-0.034,-0.039,-0.036,-0.042,0.035,-0.035,-0.031,-0.026,-0.029,-0.21,-0.038,-0.027,-0.026,-0.048,-0.03,-0.021,-0.072,-0.044,-0.034,-0.044,-0.053,-0.059,-0.054,-0.066,-0.053,-0.079,-0.077,-0.067,-0.057,-0.052,-0.088,-0.032,-0.018,-0.027,-0.021,-0.024,-0.025,-0.035,-0.038,-0.077,-0.044,-0.213,-0.054,-0.05
"21",21,10697897,48050001,157,-0.016,0.011,-0.014,0.004,0.002,-0.008,-0.016,-0.012,-0.003,0.007,-0.003,0.057,-0.021,-0.016,-0.006,-0.01,-0.098,-0.003,-0.022,-0.008,-0.041,-0.015,-0.012,-0.01,-0.002,-0.005,-0.001,0,0.004,0,-0.011,-0.021,-0.012,-0.025,-0.006,-0.024,-0.008,-0.025,-0.008,-0.018,-0.027,-0.024,-0.017,-0.014,-0.012,0,0,0.02,0.15,0.14,-0.014
"22",22,16050001,51200001,300,0.02,-0.268,-0.066,-0.454,-0.53,-0.332,0,0.005,-0.254,-0.413,-0.381,-0.14,0.013,0.036,-0.314,0.029,-0.897,-0.281,-0.211,-0.271,-0.239,0.027,0.044,-0.085,-0.005,-0.045,-0.017,0.024,-0.024,-0.049,-0.233,-0.372,-0.005,-0.046,0.004,-0.25,0.035,-0.562,-0.292,0.052,0.057,0.046,-0.212,-0.192,0.019,-0.251,-0.004,-0.004,-0.083,-0.359,-0.013
