"chrom","start.pos","end.pos","n.probes","GSM2402996_6929689149_R04C02","GSM2403127_6285641010_R03C01","GSM2403128_6285641010_R02C01","GSM2403226_6752625135_R01C01","GSM2403227_6752625133_R06C02","GSM2403229_6969568124_R02C01","GSM2403232_7310440009_R03C01","GSM2403854_9305651005_R03C02","GSM2403861_9305651013_R01C02","GSM2403867_9305651003_R04C01","GSM2403971_6026818091_R03C01","GSM2403973_6026818091_R05C01","GSM2403977_6026818094_R03C01","GSM2403979_6026818094_R04C01","GSM2403980_6026818094_R04C02","GSM2403982_6026818101_R06C01","GSM2404054_9373550018_R06C01","GSM2404179_9407201032_R04C02","GSM2404388_9426020061_R06C02","GSM2404393_9426020064_R05C01","GSM2404396_9426020065_R06C01","GSM2404402_9426020065_R03C01","GSM2404462_9420867124_R01C02","GSM2404540_9553932012_R04C02","GSM2404759_9829119072_R04C01","GSM2404760_9769100071_R04C02","GSM2404817_9533774046_R03C02","GSM2404818_9533774046_R05C02","GSM2404855_9533774101_R03C02","GSM2404856_9533774102_R04C02","GSM2404859_9533774106_R05C02","GSM2404860_9533774102_R02C02","GSM2404861_9533774101_R01C01","GSM2404863_9533774101_R03C01","GSM2404865_9533774102_R05C01","GSM2404866_9533774102_R06C01","GSM2404892_9968646139_R02C02","GSM2404897_9968646155_R06C02","GSM2404898_9968646156_R02C02","GSM2404900_9968646155_R05C01","GSM2404901_9968646156_R03C02","GSM2404902_9968646156_R03C01","GSM2404928_9968646098_R06C01","GSM2404929_9968646096_R04C02","GSM2404930_9968646096_R05C02","GSM2404931_9968646098_R03C02","GSM2404932_9968646096_R06C02","GSM2405021_9969477055_R02C02","GSM2405023_9969477057_R01C02","GSM2405024_9969477057_R02C02","GSM2405201_9878820138_R03C01","GSM2940854_200325530166_R04C02","GSM2941062_3998909051_R04C02","GSM2941205_3999095104_R05C02","GSM2941223_3999543050_R02C01","GSM2941237_3999547142_R06C02","GSM2941408_9422493151_R05C02","GSM2941523_9721366138_R06C02","GSM2941723_9969477014_R03C01"
"11",9,10001,141000001,383,0.189,0.006,0.065,0.124,0.15,0.165,0.05,0.032,0.053,0.162,0.015,0.251,0.158,0.23,0.169,0.26,0.146,0.275,0.157,0.059,0.171,0.127,0.087,0.079,0.16,0.122,0.196,0.128,0.183,0.321,0.181,0.167,0.209,0.246,0.152,0.253,0.064,0.119,0.179,0.184,0.172,0.189,0.09,0.239,0.03,0.15,0.143,0.098,0.129,-0.01,0.217,0.137,0.065,0.049,0.196,0.216,0.016,0.082,0.149
"12",10,60001,135400001,840,-0.175,-0.204,-0.15,0.057,-0.017,-0.129,0.037,0.045,0.063,-0.01,-0.034,-0.162,-0.275,0.229,-0.071,-0.129,-0.195,0.048,0.113,-0.215,-0.013,-0.098,0.055,-0.148,-0.095,-0.118,-0.165,0.153,-0.273,-0.122,-0.088,-0.281,-0.014,-0.055,0.132,0.011,-0.206,-0.306,-0.015,-0.074,-0.087,-0.221,-0.164,-0.17,-0.185,-0.068,-0.262,-0.141,0.127,0.022,-0.153,-0.099,-0.146,-0.184,0.049,0.11,-0.204,-0.311,0.055
"13",11,60001,134800001,914,0.202,0.152,0.175,0.099,0.148,0.093,0.187,0.183,0.138,0.005,0.124,0.258,0.157,0.079,0.177,0.098,-0.003,0.064,-0.033,0.16,-0.032,0.089,-0.176,0.238,0.167,0.108,0.051,-0.079,0.187,0.143,-0.072,0.188,0.271,0.285,-0.117,0.026,0.11,0.086,-0.077,-0.084,-0.12,-0.016,0.035,0.063,0.18,0.134,0.126,0.117,-0.111,0.182,0.237,0.13,0.01,0.048,0.06,0.101,0.024,-0.065,0.133
"14",12,145740,133700001,848,0.211,0.192,0.071,0.114,0.152,0.088,0.038,0.198,0.04,0.183,0.221,0.253,-0.021,0.066,0.185,0.282,0.166,0.063,0.095,0.013,0.135,0.257,0.212,0.26,0.183,0.103,0.213,0.312,0.193,0.123,0.162,0.187,0.259,0.232,0.124,0.153,0.043,0.095,0.125,0.157,0.139,0.161,0.036,0.069,0.194,0.16,0.142,0.105,0.281,0.202,0.075,0.165,0.055,0.038,0.175,0.105,0.017,0.086,0.144
"15",13,19020001,115050001,431,0.191,0.05,-0.115,-0.017,0.249,0.002,0.08,0.254,-0.046,0.075,0.191,-0.171,0.002,0.045,-0.085,-0.22,-0.158,0.257,-0.261,-0.109,-0.054,-0.267,-0.036,0.145,0.267,-0.04,0.176,0.449,0.143,0.587,0.07,0.14,0.375,0.524,0.008,-0.022,-0.181,-0.138,-0.196,-0.21,-0.277,0.007,-0.356,-0.043,-0.014,0.052,-0.07,0.243,0.24,-0.043,0.21,-0.115,0.019,0.057,0.058,0.093,0.103,-0.317,0.118
"16",14,19000001,106950001,528,-0.174,0.047,-0.15,-0.176,0.124,0.023,0.035,0.031,0.127,0.147,-0.013,0.094,0.15,-0.189,-0.05,-0.099,0.013,-0.059,0.171,0.236,0.039,0.171,0.074,0.243,-0.152,0.086,-0.214,-0.218,-0.062,0.257,-0.141,0.146,-0.137,0.349,-0.195,-0.036,-0.023,0.132,0.1,0.193,-0.033,0.066,0.118,0.12,-0.169,-0.021,0.014,0.206,-0.086,-0.006,0.081,-0.122,0.058,0.05,0.034,-0.039,-0.004,0.092,0.031
"17",15,20000001,102300001,571,0.222,0.053,0.233,0.099,0.129,0.127,0.178,-0.218,0.135,0.007,0.002,0.267,0.163,0.234,-0.036,0.152,0.171,0.244,0.186,0.087,0.213,-0.025,0.086,0.097,-0.14,0.074,0.209,0.265,0.169,0.071,0.277,0.172,0.24,0.147,0.253,0.295,0.184,0.14,0.297,0.209,0.38,0.241,0.135,0.132,0.22,0.217,0.188,0.075,0.088,0.108,0.238,0.057,0.213,0.225,0.177,0.123,0.013,0.102,0.038
"18",16,60001,90150001,624,-0.163,0.167,-0.152,-0.059,-0.258,-0.083,-0.122,0.033,0.141,0.034,-0.077,-0.127,-0.006,0.074,-0.044,-0.109,0.025,-0.021,-0.113,-0.163,0.042,-0.057,-0.134,-0.122,-0.061,-0.097,0.105,-0.008,0.048,0.143,-0.051,0.039,0.005,0.018,-0.085,-0.119,-0.044,-0.03,0.012,-0.049,-0.056,0.035,-0.111,-0.108,0.036,-0.069,-0.026,-0.092,-0.076,0.023,-0.145,-0.1,-0.106,0.061,-0.095,0.002,0.046,0.079,0.015
"19",17,1,81050001,814,0.088,-0.016,0.014,-0.159,-0.081,-0.148,-0.175,-0.277,-0.103,-0.076,-0.198,0.039,0.109,-0.186,-0.083,-0.081,0.106,-0.272,0.123,0.096,-0.074,-0.015,-0.114,0.082,-0.18,0.029,-0.253,-0.225,-0.088,-0.299,-0.18,0.09,-0.232,-0.259,-0.215,-0.236,-0.122,0.139,0.255,0.005,0.05,0.117,-0.008,0.134,-0.161,-0.033,0.006,-0.244,-0.199,-0.171,-0.195,-0.148,-0.121,-0.001,-0.184,-0.055,-0.062,-0.127,-0.174
"20",18,10001,77950001,243,-0.324,0.114,0.01,0.008,0.061,0.05,-0.041,0.109,0.204,0.079,0.15,0.151,0.068,0.174,0.265,-0.087,0.054,0.205,0.016,0.208,0.011,0.253,0.05,0.234,0.297,0.128,0.117,-0.239,0.093,0.192,0.197,0.07,0.069,-0.017,0.003,0.022,-0.068,0.112,0.38,0.231,0.014,0.21,0.139,0.062,0.138,0.167,0.007,0.126,0.036,0.057,0.161,0.117,0.179,0.101,0.051,0.167,-0.088,-0.009,-0.24
"21",19,60001,59050001,711,0.099,-0.012,0.041,0.148,0.094,0.119,0.018,0.121,0.108,-0.018,0.183,0.059,0.111,0.18,0.142,0.239,0.134,-0.037,0.061,0.05,0.198,0.141,0.158,0.085,0.313,-0.175,0.165,0.085,-0.03,0.061,0.066,-0.069,0.181,-0.21,0.057,0.156,0.194,-0.021,0.206,-0.036,0.181,0.048,0.198,-0.109,0.15,0.126,-0.018,0.054,-0.153,0.144,0.028,0.116,0.066,0.135,0.044,0.182,0.15,0.213,0.112
"22",20,60001,62850001,359,0.131,0.123,0.031,0.103,0.119,0.153,0.049,0.136,-0.024,0.139,0.275,0.233,0.143,0.06,0.156,0.228,0.139,0.011,0.126,0.166,0.147,0.104,0.076,0.061,0.282,0.06,0.029,0.08,-0.018,0.052,-0.094,0.145,0.35,-0.148,0.143,0.216,0.13,0.112,0.105,-0.058,-0.052,0.01,0.064,0.086,0.148,0.111,-0.022,0.089,0.119,0.159,0.181,0.105,0.044,0.166,0.187,0.082,-0.022,0.065,0.112
"23",21,10697897,48050001,157,0.163,0.169,-0.144,-0.11,0.143,0.136,0.03,-0.207,-0.152,-0.211,-0.027,0.212,0.136,-0.175,0.155,-0.095,-0.191,0.004,0.094,-0.188,0.127,0.105,-0.387,0.136,-0.064,-0.502,-0.149,-0.106,0.01,0.18,-0.09,0.015,-0.042,-0.067,-0.119,-0.153,0.036,0.1,0.173,-0.037,-0.063,0.024,-0.141,-0.153,0.018,0.13,-0.015,-0.125,0.114,-0.284,0.051,0.053,0.063,0.033,0.021,-0.026,0.038,0.054,0.002
"24",22,16050001,51200001,300,-0.157,-0.175,0.085,-0.142,-0.062,-0.115,-0.136,-0.226,-0.042,-0.286,-0.136,-0.106,0.133,-0.155,-0.413,-0.033,0.138,-0.092,0.155,0.135,0.154,-0.267,-0.246,-0.143,-0.177,0.061,-0.036,-0.187,0.114,0.177,-0.172,-0.078,-0.225,-0.278,-0.19,-0.081,-0.07,0.172,0.057,0.027,0.074,0.141,0.021,-0.019,0.033,0.019,0.179,-0.224,-0.157,-0.142,0.067,-0.099,0.086,-0.15,-0.105,-0.028,-0.035,0.066,-0.119
