"chrom","start.pos","end.pos","n.probes","GSM2402996_6929689149_R04C02","GSM2403127_6285641010_R03C01","GSM2403128_6285641010_R02C01","GSM2403226_6752625135_R01C01","GSM2403227_6752625133_R06C02","GSM2403229_6969568124_R02C01","GSM2403232_7310440009_R03C01","GSM2403854_9305651005_R03C02","GSM2403861_9305651013_R01C02","GSM2403867_9305651003_R04C01","GSM2403971_6026818091_R03C01","GSM2403973_6026818091_R05C01","GSM2403977_6026818094_R03C01","GSM2403979_6026818094_R04C01","GSM2403980_6026818094_R04C02","GSM2403982_6026818101_R06C01","GSM2404054_9373550018_R06C01","GSM2404179_9407201032_R04C02","GSM2404388_9426020061_R06C02","GSM2404393_9426020064_R05C01","GSM2404396_9426020065_R06C01","GSM2404402_9426020065_R03C01","GSM2404462_9420867124_R01C02","GSM2404540_9553932012_R04C02","GSM2404759_9829119072_R04C01","GSM2404760_9769100071_R04C02","GSM2404817_9533774046_R03C02","GSM2404818_9533774046_R05C02","GSM2404855_9533774101_R03C02","GSM2404856_9533774102_R04C02","GSM2404859_9533774106_R05C02","GSM2404860_9533774102_R02C02","GSM2404861_9533774101_R01C01","GSM2404863_9533774101_R03C01","GSM2404865_9533774102_R05C01","GSM2404866_9533774102_R06C01","GSM2404892_9968646139_R02C02","GSM2404897_9968646155_R06C02","GSM2404898_9968646156_R02C02","GSM2404900_9968646155_R05C01","GSM2404901_9968646156_R03C02","GSM2404902_9968646156_R03C01","GSM2404928_9968646098_R06C01","GSM2404929_9968646096_R04C02","GSM2404930_9968646096_R05C02","GSM2404931_9968646098_R03C02","GSM2404932_9968646096_R06C02","GSM2405021_9969477055_R02C02","GSM2405023_9969477057_R01C02","GSM2405024_9969477057_R02C02","GSM2405201_9878820138_R03C01","GSM2940854_200325530166_R04C02","GSM2941062_3998909051_R04C02","GSM2941205_3999095104_R05C02","GSM2941223_3999543050_R02C01","GSM2941237_3999547142_R06C02","GSM2941408_9422493151_R05C02","GSM2941523_9721366138_R06C02","GSM2941723_9969477014_R03C01"
"11",9,10001,141000001,383,0.131,-0.034,0.027,0.053,0.089,0.131,0.02,-0.02,0.019,0.086,-0.027,0.201,0.114,0.182,0.129,0.208,0.1,0.078,0.093,0.014,0.116,0.09,0.039,-0.027,-0.052,0.069,0.093,-0.032,0.088,0.011,0.098,0.055,-0.036,-0.05,0.079,0.151,0.039,0.083,0.088,0.134,0.112,0.132,0.025,0.198,0.002,0.12,0.11,-0.009,0.073,-0.062,0.175,0.102,0.036,0.013,0.149,0.168,-0.054,0.036,0.119
"12",10,60001,135400001,840,-0.23,-0.267,-0.205,-0.009,-0.079,-0.154,0.003,-0.014,-0.036,-0.094,-0.088,-0.214,-0.318,0.168,-0.115,-0.194,-0.253,-0.15,-0.007,-0.301,-0.098,-0.17,-0.014,-0.289,-0.33,-0.17,-0.278,-0.013,-0.375,-0.44,-0.171,-0.4,-0.259,-0.341,0.065,-0.092,-0.248,-0.358,-0.212,-0.151,-0.202,-0.317,-0.29,-0.229,-0.225,-0.12,-0.321,-0.246,0.075,-0.043,-0.198,-0.146,-0.191,-0.228,0,0.051,-0.273,-0.355,0.013
"13",11,60001,134800001,914,0.138,0.098,0.127,0.029,0.082,0.055,0.142,0.121,0.074,-0.082,0.065,0.198,0.107,0.026,0.128,0.039,-0.055,-0.144,-0.127,0.086,-0.101,0.031,-0.237,0.115,-0.055,0.049,-0.061,-0.25,0.086,-0.171,-0.163,0.071,0.03,-0.013,-0.2,-0.089,0.066,0.036,-0.222,-0.147,-0.206,-0.086,-0.065,0.011,0.132,0.09,0.075,0.006,-0.17,0.122,0.182,0.087,-0.035,0.004,0.008,0.048,-0.055,-0.117,0.095
"14",12,145740,133700001,848,0.143,0.124,0.011,0.042,0.087,0.055,0.005,0.131,-0.059,0.092,0.159,0.191,-0.071,0.012,0.13,0.205,0.101,-0.14,-0.027,-0.085,0.038,0.169,0.13,0.126,-0.053,0.044,0.098,0.149,0.091,-0.196,0.075,0.065,0.013,-0.063,0.05,0.045,-0.009,0.032,-0.082,0.065,0.015,0.054,-0.099,0.003,0.139,0.099,0.076,-0.003,0.221,0.134,0.024,0.111,0.003,-0.016,0.123,0.044,-0.057,0.028,0.1
"15",13,19020001,115050001,431,0.096,-0.031,-0.202,-0.137,0.135,-0.072,-0.007,0.156,-0.095,-0.05,0.094,-0.267,-0.091,-0.031,-0.159,-0.285,-0.247,-0.001,-0.324,-0.162,-0.099,-0.315,-0.1,0.019,0.028,-0.135,0.014,0.225,0,0.241,-0.074,-0.031,0.087,0.159,-0.124,-0.176,-0.214,-0.185,-0.253,-0.246,-0.338,-0.046,-0.421,-0.097,-0.058,0.016,-0.118,0.081,0.122,-0.146,0.135,-0.168,-0.032,-0.033,-0.037,0.013,-0.007,-0.398,0.057
"16",14,19000001,106950001,528,-0.231,-0.023,-0.206,-0.242,0.071,-0.003,0.007,-0.025,0.01,0.069,-0.064,0.036,0.095,-0.229,-0.096,-0.162,-0.041,-0.244,0.038,0.126,-0.057,0.083,0.012,0.116,-0.392,0.043,-0.323,-0.366,-0.156,-0.062,-0.207,0.029,-0.395,0.078,-0.247,-0.131,-0.067,0.071,-0.146,0.104,-0.159,-0.045,-0.034,0.052,-0.213,-0.082,-0.049,0.112,-0.127,-0.069,0.031,-0.17,0.009,0,-0.004,-0.088,-0.065,0.044,-0.01
"17",15,20000001,102300001,571,0.15,-0.009,0.168,0.037,0.075,0.096,0.143,-0.263,0.015,-0.067,-0.049,0.202,0.107,0.178,-0.083,0.078,0.117,0.068,0.06,-0.01,0.111,-0.103,0.02,-0.028,-0.372,0.035,0.104,0.121,0.079,-0.235,0.212,0.061,-0.01,-0.124,0.203,0.205,0.125,0.078,0.064,0.122,0.233,0.125,-0.006,0.06,0.165,0.146,0.117,-0.012,0.048,0.05,0.182,0.013,0.154,0.164,0.134,0.065,-0.044,0.054,-0.004
"18",16,60001,90150001,624,-0.205,0.128,-0.179,-0.12,-0.308,-0.103,-0.14,-0.016,0.111,-0.041,-0.114,-0.166,-0.041,0.037,-0.075,-0.141,-0.01,-0.211,-0.154,-0.189,0.011,-0.079,-0.164,-0.221,-0.265,-0.141,0.009,-0.165,-0.04,-0.164,-0.127,-0.067,-0.232,-0.273,-0.151,-0.215,-0.058,-0.05,-0.059,-0.074,-0.095,0.005,-0.158,-0.127,0.015,-0.084,-0.045,-0.19,-0.124,-0.025,-0.17,-0.126,-0.123,0.032,-0.129,-0.033,-0.017,0.042,-0.007
"19",17,1,81050001,814,0.066,-0.032,0.001,-0.192,-0.104,-0.153,-0.186,-0.3,-0.179,-0.126,-0.224,0.01,0.079,-0.211,-0.102,-0.115,0.073,-0.423,0.02,0.02,-0.141,-0.064,-0.152,-0.008,-0.369,0.013,-0.327,-0.342,-0.154,-0.569,-0.225,0.015,-0.426,-0.489,-0.245,-0.304,-0.152,0.097,0.046,-0.054,-0.041,0.033,-0.13,0.077,-0.189,-0.076,-0.034,-0.313,-0.219,-0.212,-0.21,-0.178,-0.16,-0.023,-0.194,-0.072,-0.09,-0.137,-0.195
"20",18,10001,77950001,243,-0.336,0.083,-0.01,-0.029,0.038,0.037,-0.06,0.074,0.093,0.027,0.106,0.111,0.033,0.125,0.226,-0.144,0.013,0.075,-0.11,0.098,-0.092,0.164,-0.003,0.14,0.097,0.119,0.043,-0.337,0.038,-0.069,0.168,0,-0.131,-0.212,-0.017,-0.038,-0.117,0.053,0.111,0.131,-0.112,0.091,-0.016,-0.013,0.089,0.084,-0.053,0.067,0.019,0.012,0.125,0.068,0.115,0.061,0.037,0.135,-0.112,-0.023,-0.272
"21",19,60001,59050001,711,0.052,-0.046,0.012,0.093,0.048,0.095,-0.003,0.075,0.086,-0.081,0.142,0.016,0.077,0.144,0.11,0.204,0.102,-0.22,0.031,0.025,0.172,0.117,0.13,-0.002,0.116,-0.211,0.076,-0.056,-0.113,-0.243,-0.004,-0.174,-0.056,-0.492,-0.003,0.064,0.18,-0.035,0.146,-0.049,0.14,0.024,0.157,-0.129,0.128,0.106,-0.034,-0.038,-0.19,0.099,0,0.087,0.05,0.104,0.014,0.153,0.095,0.178,0.091
"22",20,60001,62850001,359,0.075,0.09,-0.001,0.035,0.062,0.11,0.006,0.08,-0.03,0.058,0.215,0.173,0.094,0.014,0.109,0.186,0.096,-0.182,0.108,0.141,0.129,0.089,0.043,-0.024,0.084,0.009,-0.077,-0.086,-0.117,-0.245,-0.182,0.03,0.11,-0.435,0.066,0.113,0.113,0.087,0.093,-0.058,-0.06,0.005,0.035,0.057,0.122,0.094,-0.036,-0.017,0.056,0.102,0.14,0.074,0.02,0.119,0.134,0.049,-0.09,0.019,0.077
"23",21,10697897,48050001,157,0.115,0.136,-0.175,-0.166,0.094,0.118,0.012,-0.242,-0.206,-0.274,-0.065,0.167,0.097,-0.201,0.121,-0.133,-0.226,-0.169,0.013,-0.242,0.066,0.051,-0.425,0.044,-0.272,-0.536,-0.236,-0.237,-0.071,-0.115,-0.152,-0.086,-0.253,-0.336,-0.172,-0.241,0.007,0.058,0.045,-0.089,-0.126,-0.042,-0.218,-0.193,-0.01,0.087,-0.049,-0.212,0.077,-0.335,0.022,0.019,0.029,-0.003,-0.008,-0.055,-0.013,0.023,-0.027
"24",22,16050001,51200001,300,-0.195,-0.206,0.056,-0.185,-0.09,-0.12,-0.138,-0.252,-0.078,-0.331,-0.157,-0.133,0.105,-0.173,-0.425,-0.055,0.118,-0.254,0.107,0.099,0.119,-0.277,-0.252,-0.227,-0.365,0.038,-0.113,-0.318,0.037,-0.113,-0.219,-0.167,-0.46,-0.545,-0.228,-0.156,-0.073,0.155,-0.032,0.016,0.037,0.103,-0.026,-0.037,0.017,0,0.158,-0.294,-0.184,-0.178,0.046,-0.12,0.075,-0.171,-0.117,-0.044,-0.077,0.049,-0.132
