"chrom","start.pos","end.pos","n.probes","GSM2404191_9376538153_R06C01","GSM2404192_9376538153_R01C02","GSM2404203_9376561024_R02C02","GSM2404624_9741950023_R03C02","GSM2404933_9704031078_R01C01","GSM2404934_9704031008_R03C02","GSM2404935_9704031078_R02C02","GSM2404936_9704031075_R06C02","GSM2404937_9704031075_R06C01","GSM2404939_9704031078_R03C01","GSM2404942_9704031075_R05C02","GSM2404943_9704031008_R03C01","GSM2404944_9704031019_R01C01","GSM2404946_9704031078_R06C01","GSM2404947_9704031078_R05C02","GSM2404948_9704031075_R05C01","GSM2404951_9704031008_R02C02","GSM2404953_9704031019_R02C01","GSM2404955_9704031078_R04C02","GSM2404956_9704031008_R01C01","GSM2404957_9704031008_R05C02","GSM2404958_9704031008_R04C01","GSM2404959_9704031078_R05C01","GSM2404960_9704031019_R03C02","GSM2404964_9704031014_R02C02","GSM2404965_9704031014_R03C01","GSM2404967_9704031019_R03C01","GSM2404968_9769100123_R06C02","GSM2404969_9704031078_R02C01","GSM2404970_9704031078_R04C01","GSM2404971_9769100123_R03C01","GSM2404972_9704031075_R02C02","GSM2404973_9704031019_R02C02","GSM2404974_9704031008_R02C01","GSM2404977_9704031008_R04C02","GSM2404978_9704031075_R04C01","GSM2404980_9704031019_R04C01","GSM2404981_9769100123_R05C01","GSM2404984_9769100123_R05C02","GSM2404986_9704031014_R01C02","GSM2404987_9704031008_R01C02","GSM2404988_9704031075_R04C02","GSM2404989_9704031014_R05C01","GSM2404991_9769100123_R04C01","GSM2404993_9769100123_R06C01","GSM2404994_9704031019_R04C02","GSM2940790_10006823155_R01C01","GSM2940871_200362700194_R06C01","GSM2941453_9533774024_R05C01"
"11",8,10001,8050001,62,0.389,0.071,-0.036,-0.006,0.131,0.376,-0.078,0.036,0.811,0.479,0.362,0.345,0.033,0.918,0.001,0.414,0.684,-0.018,0.219,0.141,0.336,0.17,0.486,0.217,0.605,0.404,-0.203,0.355,0.634,0.397,0.576,0.179,0.007,0.179,0.665,0.027,0.31,0.082,0.161,-0.045,0.254,0.627,0.056,0.436,0.076,0.507,-0.051,0.329,0.112
"12",8,8150001,146250001,664,0.15,-0.159,-0.165,-0.253,-0.271,0.104,0.064,-0.178,0.135,0.087,0.003,0.193,-0.162,0.236,-0.193,0.197,0.439,0.123,-0.277,-0.106,0.145,-0.087,0.206,-0.13,0.46,-0.239,-0.41,0.3,0.2,0.172,0.324,0.072,-0.188,-0.081,0.235,-0.17,-0.33,-0.066,-0.082,-0.241,-0.007,0.072,-0.194,0.208,-0.115,0.269,-0.106,0.24,0.005
"13",9,10001,141000001,383,0.01,-0.051,-0.081,-0.216,-0.183,-0.061,-0.301,-0.101,-0.075,-0.182,0.049,-0.08,-0.105,0.447,-0.162,-0.199,0.221,0.231,-0.172,-0.057,0.199,-0.075,0.006,-0.178,-0.05,-0.168,0.046,0.25,-0.202,0.244,0.183,-0.145,-0.088,-0.041,-0.286,-0.112,-0.297,0.002,-0.148,-0.157,0.471,0.054,-0.033,0.213,-0.055,0.266,0.02,0.27,0.047
"14",10,60001,135400001,840,-0.091,0.218,0.206,0.204,0.508,-0.117,0.129,-0.094,-0.07,0.221,-0.187,-0.049,0.304,0.246,-0.122,0.327,-0.093,-0.083,0.282,0.047,-0.053,0.291,0.284,0.284,0.517,-0.089,0.061,0.036,0.302,-0.002,-0.068,0.103,-0.108,-0.028,0.216,0.251,-0.185,0.035,-0.144,0.377,-0.505,-0.039,0.103,-0.066,-0.046,-0.065,0.105,0.125,0.047
"15",11,60001,134800001,914,-0.207,-0.148,-0.105,-0.228,-0.126,-0.135,0.025,-0.112,0.165,-0.167,0.013,-0.057,-0.098,0.219,-0.171,-0.143,0.222,-0.048,-0.141,-0.027,-0.063,-0.068,0.012,-0.19,-0.006,-0.132,-0.051,0.068,-0.093,0.001,-0.061,0.037,-0.095,-0.015,-0.246,-0.108,-0.265,0.007,0.012,0.159,0,-0.049,0.011,-0.08,-0.055,-0.04,-0.035,-0.073,0.035
"16",12,145740,133700001,848,0.19,0.209,0.201,0.19,0.451,0.371,0.065,0.377,0.034,0.16,0.356,0.232,0.281,0.431,0.367,0.306,0.511,0.332,0.203,0.271,0.198,0.264,0.242,0.158,-0.033,0.49,0.218,0.518,0.154,0.224,0.386,0.094,0.334,0.34,0.329,0.226,0.391,0.271,0.22,0.353,0.296,0.086,0.265,0.21,0.358,0.331,-0.061,0.108,0.026
"17",13,19020001,115050001,431,-0.224,0.219,-0.076,0.083,0.057,0.136,0.006,-0.126,0.151,0.197,0.124,-0.018,0.01,0.128,0.305,0.029,0.384,0.04,0.28,0.089,-0.017,0.045,0.088,0.358,0.086,-0.057,-0.048,0.324,-0.104,-0.051,0.473,0.006,-0.067,0.15,-0.021,-0.06,0.294,0.059,0.05,-0.021,0.034,0.293,-0.057,0.311,0.2,-0.007,0.037,-0.112,-0.002
"18",14,19000001,106950001,528,0.178,-0.034,0.15,-0.004,0.413,0.294,0.155,-0.141,0.358,0.085,0.155,0.199,-0.184,0.288,-0.151,0.205,0.174,0.315,0.168,-0.132,0.164,0.207,0.184,0.134,0.452,0.114,0.296,0.246,0.058,0.256,0.315,0.069,0.289,-0.135,0.243,0.18,-0.288,-0.067,0.207,0.201,0.286,-0.026,0.239,0.331,0.316,0.139,-0.066,0.107,0.026
"19",15,20000001,102300001,571,0.211,-0.142,0.142,-0.227,-0.245,0.106,-0.235,0.344,-0.258,-0.237,0.178,-0.091,0.077,0.107,0.356,-0.311,-0.193,-0.031,0.184,0.195,-0.093,-0.093,-0.05,0.021,-0.08,0.16,-0.059,-0.071,0.05,0.123,0.141,0.076,-0.162,0.255,0.265,0.164,0.402,-0.056,0.025,0.225,0.022,-0.189,0.062,-0.157,-0.096,-0.108,-0.062,0.121,0.041
"20",16,60001,90150001,624,-0.078,-0.076,-0.057,0.064,-0.175,-0.089,-0.229,-0.073,-0.04,-0.1,0.036,-0.066,-0.061,0.333,-0.141,-0.146,-0.072,-0.046,0.357,0.001,-0.007,-0.012,-0.288,-0.042,-0.013,0.006,0.034,-0.098,-0.085,0.053,-0.063,-0.118,-0.059,0.025,0.354,0.138,-0.139,0.022,0.025,-0.119,0.053,-0.012,-0.11,0,-0.015,-0.054,-0.026,-0.024,0.059
"21",17,1,81050001,814,-0.039,-0.052,-0.147,0.011,-0.271,0.034,0.079,0.257,-0.293,0.078,-0.123,-0.147,-0.206,0.082,0.22,-0.388,-0.3,-0.113,-0.169,-0.208,-0.092,-0.149,-0.071,-0.256,-0.168,-0.158,0.023,-0.318,-0.213,-0.132,-0.303,-0.049,-0.009,-0.158,-0.093,-0.226,0.407,-0.147,0.036,-0.355,-0.05,-0.287,-0.046,-0.138,-0.161,-0.155,-0.132,-0.087,-0.023
"22",18,10001,77950001,243,-0.014,-0.187,0.051,-0.241,0.193,-0.008,0.006,-0.205,-0.258,0.047,-0.083,-0.148,-0.232,0.201,-0.189,-0.414,0.095,-0.304,-0.237,-0.256,-0.143,-0.176,-0.412,0.064,-0.21,-0.213,-0.305,-0.173,-0.327,-0.458,-0.365,0.001,-0.272,-0.195,-0.608,-0.312,0.326,-0.056,-0.046,-0.397,-0.063,0.053,0.173,0.113,-0.225,0.234,0.074,-0.209,-0.074
"23",19,60001,59050001,711,-0.049,-0.125,-0.095,0.038,-0.396,0.263,-0.324,-0.145,-0.273,-0.259,0.247,-0.154,-0.141,0.184,0.301,-0.35,0.069,0.023,-0.188,-0.132,-0.072,-0.13,0.162,-0.156,-0.129,-0.15,-0.131,-0.378,-0.137,-0.105,0.04,0.149,-0.152,-0.125,-0.336,-0.178,0.44,-0.096,-0.2,-0.316,0.253,-0.196,-0.204,-0.122,-0.1,-0.186,-0.094,0.087,0.001
"24",20,60001,62850001,359,-0.122,0.167,0.221,0.218,0.433,0.323,0.054,0.261,0.32,0.312,0.463,0.23,0.28,0.529,0.22,0.27,0.107,0.246,0.175,0.215,0.135,0.419,0.162,0.327,0.416,0.184,0.251,0.167,0.349,0.177,0.272,0.153,0.288,-0.044,0.457,0.222,0.293,-0.042,0.142,0.325,0.22,-0.002,0.191,-0.07,0.297,0.305,0.198,0.122,0.005
"25",21,10697897,48050001,157,0.225,0.207,0.17,0.197,0.482,0.167,-0.166,0.354,-0.1,-0.14,0.386,0.204,0.301,0.521,0.321,0.307,-0.061,0.248,0.329,0.249,-0.006,0.298,0.303,0.006,-0.03,-0.056,-0.358,0.273,0.3,0.235,0.188,0.094,0.292,0.315,0.358,0.196,-0.111,-0.036,0.212,0.298,0.294,-0.023,0.117,0.005,0.309,0.291,0.19,0.094,0.017
"26",22,16050001,51200001,300,-0.071,-0.096,-0.1,0.149,-0.273,-0.261,-0.292,-0.164,-0.438,-0.266,-0.694,-0.164,-0.184,0.034,-0.169,-0.394,0.08,-0.165,0.204,-0.176,-0.081,-0.174,-0.075,-0.298,-0.148,-0.198,-0.07,-0.309,-0.266,-0.132,0.046,-0.196,-0.14,-0.137,-0.412,-0.061,-0.219,-0.086,-0.001,-0.314,0.015,-0.261,-0.206,-0.14,-0.229,-0.219,-0.051,0.129,0.054
