"chrom","start.pos","end.pos","n.probes","GSM2403626_8622007189_R04C01","GSM2403815_9297949098_R05C01","GSM2404323_9422492035_R03C02","GSM2404324_9422492075_R03C01","GSM2404325_9422492026_R04C02","GSM2404327_9422492075_R04C01","GSM2404331_9422492035_R04C01","GSM2404332_9422492074_R05C02","GSM2404334_9422492075_R06C02","GSM2404336_9422492035_R06C02","GSM2404337_9422492035_R02C01","GSM2404338_9422492035_R02C02","GSM2404339_9422492075_R06C01","GSM2404340_9422492075_R01C02","GSM2404341_9422492026_R02C02","GSM2404405_9426021175_R05C02","GSM2404477_9444374133_R05C02","GSM2405387_3999834093_R04C02","GSM2405530_3998909063_R03C01","GSM2405532_3998909063_R05C01","GSM2405541_3998909071_R02C02","GSM2940853_200325530166_R04C01","GSM2941047_3998909026_R03C02","GSM2941155_3999002044_R06C01","GSM2941390_9407201029_R02C02","GSM2941497_9553932054_R01C02"
"11",11,60001,134800001,914,0.092,0.09,0.027,-0.011,-0.014,-0.009,-0.007,0.009,0.026,-0.01,0.026,0.035,0.007,0.038,0.019,0.032,0.021,-0.036,-0.009,-0.002,-0.048,-0.017,-0.006,0.012,0.049,0.027
"12",12,145740,133700001,848,0.106,0.094,0.033,0.018,0.102,-0.003,0.005,0.037,0.046,0.093,0.026,0.063,0.027,0.046,0.036,0.03,0.015,-0.009,0.01,0.015,-0.03,0.001,0.012,0.021,0.055,0.025
"13",13,19020001,115050001,431,0.027,-0.185,0.04,-0.119,-0.04,-0.103,-0.028,-0.127,0.027,0.022,-0.014,0.032,-0.071,0.049,-0.043,0.107,-0.032,-0.086,0.032,0.029,-0.024,0.016,-0.002,0.026,0.018,0.011
"14",14,19000001,106950001,528,-0.034,-0.042,0.048,0.078,0.068,0.054,0.038,0.114,-0.007,0.016,0.059,0.074,0.07,-0.013,0.07,-0.005,0.004,0.027,0.005,0.014,-0.031,0.003,0.012,0.012,0.075,0.029
"15",15,20000001,102300001,571,-0.018,0.101,0.054,0.11,0.042,0.126,0.053,0.134,0.116,0.001,0.072,0.096,0.097,0.048,0.085,0.033,0.042,0.041,0.022,0.027,-0.016,0.015,0.022,0.029,0.01,0.039
"16",16,60001,90150001,624,0.005,-0.005,0.032,0.059,-0.013,0.021,0.059,0.035,0.073,0.046,0.016,0.136,0.049,0.096,0.025,0.093,0.049,0.026,0.032,0.034,0.008,0.031,0.039,0.047,0,0.038
"17",17,1,81050001,814,-0.062,-0.084,-0.034,0.088,-0.058,0.023,0.02,0.098,0.022,-0.051,-0.025,0.089,0.048,-0.035,0.011,-0.012,-0.021,0.002,-0.045,-0.041,-0.041,-0.022,-0.005,-0.042,-0.045,-0.039
"18",18,10001,77950001,243,0.068,-0.12,-0.062,0.043,-0.082,-0.01,-0.017,0.075,0.079,-0.004,-0.045,0.025,0.021,-0.069,-0.008,-0.069,-0.079,-0.039,-0.063,-0.055,0.035,-0.042,-0.044,-0.09,-0.013,-0.101
"19",19,60001,59050001,711,0.093,0.052,-0.033,0.041,0.013,0.023,0.02,0.031,0.067,0.016,-0.048,0.094,0.028,0.013,-0.016,0.03,0.015,0.028,0,0.007,0.073,0.01,0.031,0.004,0.02,0.019
"20",20,60001,62850001,359,0.066,0.149,-0.028,-0.04,0.043,-0.006,-0.03,-0.029,0.034,0.003,-0.029,0.006,-0.027,0.011,-0.035,0.005,0,-0.026,-0.023,-0.02,0.045,-0.029,-0.014,-0.019,0.077,-0.002
"21",21,10697897,48050001,157,0.007,-0.027,0.027,0.025,0.024,-0.031,0.039,0.05,0.025,0.019,0.003,0.101,0.036,0.058,0.006,0.047,0.008,0.003,0.01,0.023,-0.007,0.019,0.028,0.019,-0.025,0.003
"22",22,16050001,51200001,300,-0.018,-0.037,0.025,0.13,0,0.035,0.061,0.153,-0.002,-0.01,0.045,0.111,0.092,0.021,0.067,-0.016,0.049,0.068,0.029,0.032,-0.004,0.035,-0.016,0.028,0.008,0.047
