"chrom","start.pos","end.pos","n.probes","GSM2403727_9221197132_R01C02","GSM2403851_9305651037_R01C02","GSM2403997_9305651095_R04C01","GSM2404038_9373550164_R02C02","GSM2404039_9373550164_R03C02","GSM2404437_9420867053_R03C02","GSM2404441_9420867097_R02C01","GSM2404442_9420867097_R03C01","GSM2404443_9420867087_R01C01","GSM2404444_9420867087_R02C01","GSM2405022_9969477057_R02C01","GSM2405430_3999834115_R06C01","GSM2405431_3999834115_R01C02","GSM2405432_3999834115_R02C02","GSM2405471_3999112130_R04C01","GSM2405475_3999112131_R06C02","GSM2405493_3999308203_R02C01","GSM2405494_3999308203_R03C01","GSM2405495_3999308203_R04C01","GSM2405496_3999308203_R05C01","GSM2405526_3998909051_R02C02","GSM2405527_3998909051_R03C02","GSM2405546_3998909182_R04C01","GSM2405558_3998920094_R03C01","GSM2405562_3998920147_R01C01","GSM2405563_3998920147_R03C01","GSM2405564_3998920147_R05C01","GSM2405565_3998920147_R06C01","GSM2405577_3999002043_R05C02","GSM2941806_9969477122_R03C01"
"11",11,60001,134800001,914,0.029,-0.019,0.006,0.025,0,0.007,0.03,-0.002,0.006,0.025,0.012,-0.07,0.068,-0.03,-0.007,0.045,-0.019,0.009,0.017,0.013,0.066,0.016,0.038,-0.039,0.077,0.018,0.052,-0.002,0.001,0.031
"12",12,145740,133700001,848,0.08,0.005,-0.001,0.019,0.021,0.001,0.029,0.016,0.015,0.03,0.018,-0.01,0.028,0.012,0.008,-0.064,-0.007,0.02,0.029,0.024,0.058,0.04,0.047,0.004,0.102,0.028,0.05,0.006,0.006,0.043
"13",13,19020001,115050001,431,0.174,0.009,0.045,0.042,0.029,0.015,0.134,0.026,0.045,0.084,0,-0.372,0.006,-0.06,0.035,-0.071,-0.015,0.031,0.007,0.008,0.223,0.072,0.053,-0.077,0.191,0.084,0.159,0.027,0,0.045
"14",14,19000001,106950001,528,0.054,0.016,-0.001,0.019,0.019,0.004,0.002,0.022,0.014,-0.003,0.033,0.025,0.033,0.03,0.01,0.047,-0.006,0.011,0.02,0.027,0.005,0.014,-0.154,0.019,0.042,0.001,-0.012,0.01,0.02,-0.194
"15",15,20000001,102300001,571,0.076,0.031,0.005,0.035,-0.059,0.011,0.012,0.015,0.02,0.01,0.047,0.035,0.04,0.046,0.034,-0.045,0.007,0.025,0.049,0.034,0.034,0.045,0.039,0.041,0.055,0.014,0.017,0.024,0.034,0.019
"16",16,60001,90150001,624,0.126,0.036,0.051,0.046,0.045,0.035,0.069,0.027,0.031,0.058,0.021,-0.075,0.047,0.051,0.089,0.148,0.153,0.046,0.047,0.048,0.22,0.206,0.079,0.054,0.215,0.061,0.065,0.042,0.05,0.048
"17",17,1,81050001,814,0.014,-0.019,-0.048,-0.05,-0.013,-0.042,-0.074,-0.038,-0.043,-0.057,-0.033,0.121,-0.026,0.011,-0.003,-0.039,-0.035,-0.015,-0.02,-0.013,-0.012,0.113,-0.025,0.03,0.075,-0.066,-0.085,-0.05,-0.015,-0.025
"18",18,10001,77950001,243,-0.015,-0.036,-0.068,-0.084,-0.062,-0.077,-0.098,-0.058,-0.075,-0.094,-0.061,-0.033,-0.078,-0.047,-0.025,-0.114,-0.067,-0.07,-0.055,-0.055,-0.061,0.095,-0.125,-0.044,-0.009,-0.102,-0.106,-0.067,-0.053,-0.066
"19",19,60001,59050001,711,0.085,0.015,0.002,-0.004,0.013,-0.004,-0.015,-0.007,0.004,0,-0.023,0.098,0.004,0.053,0.046,0.008,0.003,0.032,0.015,0.025,0.044,0.12,0.014,0.033,0.135,-0.006,-0.025,-0.001,0.016,0.009
"20",20,60001,62850001,359,0.073,-0.036,-0.024,-0.008,-0.02,-0.016,-0.009,-0.012,-0.011,-0.01,-0.012,-0.005,-0.015,-0.017,-0.017,0.059,-0.024,-0.003,0.004,0,0.017,0.035,-0.014,-0.054,0.031,-0.036,0.006,-0.038,-0.006,-0.01
"21",21,10697897,48050001,157,0.095,0.029,0.031,0.014,-0.055,0.009,0.036,-0.003,0.006,0.028,0.01,0.035,0.006,-0.005,0.048,-0.081,0.008,0.018,0.019,0.026,0.138,0.162,-0.001,0.032,0.145,0.021,0.005,0.013,0.028,0.026
"22",22,16050001,51200001,300,0.055,0.038,0.008,0.022,0.039,0.013,-0.06,0.013,0.022,-0.012,0.038,0.143,0.052,0.055,0.053,0.036,0.032,0.044,0.059,0.045,0.011,0.113,0.033,0.087,0.078,0,-0.055,0.024,0.062,0.021
