"chrom","start.pos","end.pos","n.probes","GSM2403646_8942351007_R03C02","GSM2404014_9340996008_R02C02","GSM2404459_9420867122_R05C02","GSM2404460_9420867122_R06C02","GSM2404530_9553932010_R03C01","GSM2405175_9878820078_R03C01","GSM2405411_9741950038_R06C01","GSM2405417_9741950074_R05C02","GSM2405419_9741950159_R05C01","GSM2405420_9741950159_R06C01","GSM2405421_9741950159_R01C02","GSM2405422_9741950159_R03C02","GSM2405425_9741950158_R06C01","GSM2405464_3999100033_R02C02","GSM2405593_3999078080_R04C01","GSM2405594_3999078080_R02C02","GSM2405595_3999078120_R02C01","GSM2405596_9993943074_R01C01","GSM2405598_9993943074_R05C01","GSM2405600_9993943074_R02C02","GSM2405601_9993943074_R04C02","GSM2405643_101178130118_R06C01"
"13",13,19020001,115050001,431,-0.118,0.102,-0.114,-0.032,0.033,-0.03,-0.156,0.012,-0.08,-0.127,-0.025,-0.057,0.008,-0.112,-0.113,-0.039,-0.121,-0.405,-0.289,-0.066,-0.27,-0.028
"14",14,19000001,106950001,528,-0.095,-0.025,0.045,-0.085,0.097,0.088,0.012,0.051,0.115,-0.004,0.152,0.029,-0.043,-0.023,-0.054,0.037,0.046,-0.025,0.07,0.167,-0.488,-0.366
"15",15,20000001,102300001,571,0.098,0.101,0.073,-0.046,-0.07,0.029,-0.041,0.058,-0.012,0.004,-0.034,-0.056,-0.019,-0.021,-0.037,-0.039,0.057,-0.468,-0.124,-0.073,-0.176,0.044
"16",16,60001,90150001,624,0.112,0.008,0.002,-0.029,-0.029,-0.053,0.151,0.114,0.004,-0.086,0.004,-0.025,0.026,-0.006,0.009,-0.033,-0.038,-0.326,-0.091,-0.07,-0.352,-0.193
"17",17,1,81050001,814,0.066,-0.063,0.04,-0.104,0.062,0.069,0.033,0.045,0.059,0.049,-0.058,0.079,-0.027,-0.042,0.093,0.101,0.038,-0.043,0.016,-0.061,0.044,0.044
"18",18,10001,77950001,243,0.035,0.013,0.016,-0.141,0.011,0.036,-0.162,-0.035,-0.102,-0.078,-0.114,-0.174,-0.134,-0.119,0.024,-0.113,0.006,-0.417,-0.129,-0.106,-0.233,0.283
"19",19,60001,59050001,711,0.031,-0.057,0.064,-0.033,-0.01,-0.003,-0.013,0.053,-0.001,-0.032,-0.041,0.099,-0.038,-0.045,0.11,0.089,0.048,-0.078,0.02,-0.096,-0.206,0.035
"20",20,60001,62850001,359,0.057,-0.237,-0.093,-0.199,-0.079,0.036,-0.15,-0.085,-0.059,-0.036,-0.375,-0.097,-0.069,-0.059,-0.071,-0.045,-0.099,-0.446,-0.168,-0.099,-0.438,0.048
"21",21,10697897,48050001,157,-0.047,0.093,0.071,-0.061,-0.05,0.006,-0.174,-0.084,-0.079,-0.013,-0.037,-0.066,-0.018,-0.039,0.11,0.069,-0.06,-0.467,-0.407,-0.113,-0.144,0.06
"22",22,16050001,51200001,300,0.073,0.1,-0.045,-0.229,-0.052,0.058,-0.222,0.098,0.019,0.014,-0.015,-0.064,-0.058,0.013,0.12,0.032,0.242,-0.39,-0.449,-0.101,-0.74,0.064
