"chrom","start.pos","end.pos","n.probes","GSM2402870_5684819026_R01C02","GSM2403896_9297949146_R06C02","GSM2404026_9340996014_R02C01","GSM2404486_9444375019_R04C01","GSM2404487_9444375019_R05C01","GSM2404493_9444375014_R03C01","GSM2404613_9741950008_R06C02","GSM2404666_9741950099_R01C02","GSM2404670_9741950100_R06C01","GSM2404815_9533774046_R05C01","GSM2405006_9969477031_R04C01","GSM2405007_9969477029_R03C02","GSM2405311_10003886258_R06C01","GSM2405505_3999547085_R02C01","GSM2405544_3998909073_R04C01","GSM2405642_101231000030_R03C02","GSM2940729_10003886253_R04C02","GSM2940818_200277210056_R04C02","GSM2940876_200362700196_R04C01","GSM2940986_3998546128_R01C02","GSM2941076_3998909072_R03C02","GSM2941128_3998998159_R03C01","GSM2941193_3999078159_R06C01","GSM2941233_3999547142_R01C02","GSM2941257_3999834068_R04C01","GSM2941368_9379086132_R02C01","GSM2941424_9444375037_R01C01","GSM2941457_9533774033_R04C02","GSM2941478_9534104008_R03C02","GSM2941496_9553932030_R06C01","GSM2941538_9741779119_R02C02","GSM2941703_9968646164_R02C02","GSM2941707_9968646165_R02C02"
"11",10,60001,135400001,840,-0.294,0.016,0.007,-0.154,0.04,-0.08,-0.066,-0.13,-0.072,0.041,-0.083,0.01,-0.018,-0.179,-0.033,-0.221,-0.075,-0.296,0.06,0.027,-0.206,-0.424,-0.014,-0.056,-0.028,-0.052,-0.016,0.189,-0.3,0.034,0.031,0.009,-0.095
"12",11,60001,134800001,914,-0.001,-0.064,0.157,0.307,0.014,0.027,-0.08,0.033,-0.117,-0.036,-0.002,-0.239,0.127,0.005,-0.327,0.039,-0.043,-0.11,0.037,0.006,-0.108,0.131,-0.089,-0.1,-0.075,-0.08,0.028,-0.013,0.016,0.027,0.019,0.033,-0.194
"13",12,145740,42900001,236,0.088,-0.016,0.229,0.967,0.076,0.026,0.161,0.185,-0.098,-0.009,0.01,0.001,0.078,-0.069,0.061,0.026,0.224,0.016,0.054,0.001,0.016,0.151,-0.081,-0.11,-0.036,-0.051,-0.007,0.218,-0.019,0.029,-0.021,-0.133,0.208
"14",12,43000001,133700001,612,-0.158,0.01,0.073,-0.089,0.001,0.032,-0.057,-0.166,-0.064,0.012,0.026,0.036,0.097,0.021,0.059,0.036,-0.077,0.014,0.031,0.015,0.035,0.141,-0.015,-0.056,-0.032,0.02,-0.028,0.07,0.026,0.023,0.036,0.043,-0.045
"15",13,19020001,115050001,431,0.387,-0.41,0.251,-0.112,0.134,-0.072,0.105,0.082,-0.006,-0.022,-0.034,-0.075,-0.292,-0.196,0.078,0.009,-0.042,-0.066,0.094,-0.009,0.104,-0.089,-0.13,-0.192,-0.217,-0.13,-0.032,0.026,-0.223,0.028,-0.038,-0.13,-0.213
"16",14,19000001,106950001,528,-0.122,-0.081,-0.168,-0.191,-0.034,0.049,-0.365,-0.11,0.113,0.019,0.047,0.237,-0.219,0.048,0.043,0.04,0.141,-0.001,0.028,0.008,-0.041,0.265,0.019,-0.04,-0.046,0.041,-0.017,-0.155,0.037,0.021,0.041,-0.079,-0.048
"17",15,20000001,102300001,571,0.175,0.03,0.003,-0.167,-0.015,0.052,-0.039,0.217,-0.126,0.041,0.049,0.074,0.113,0.071,-0.058,0.048,-0.08,0.025,0.044,0.027,-0.014,-0.211,0.032,-0.029,0.215,-0.058,0.059,0.092,0.048,0.027,0.044,-0.037,0.078
"18",16,60001,90150001,624,0.099,0.11,0.03,0.314,0.052,0.041,-0.006,0.19,0.127,0.025,0.012,0.221,-0.034,0.067,-0.027,0.059,-0.013,-0.04,0.059,0.051,-0.083,0.081,-0.002,0.259,0.004,-0.051,-0.005,0.062,0.057,-0.178,0.069,0.063,0.006
"19",17,1,81050001,814,-0.175,-0.113,-0.219,-0.224,-0.102,-0.033,-0.178,-0.055,-0.083,-0.013,-0.184,-0.151,-0.07,-0.051,-0.022,-0.004,-0.108,0.004,-0.058,-0.002,0.061,-0.063,0.02,0.048,-0.048,-0.004,-0.027,0.031,0.011,-0.061,-0.007,-0.015,0.006
"20",18,10001,77950001,243,-0.257,0.038,-0.263,-0.211,-0.101,-0.043,-0.045,-0.017,-0.231,-0.026,0.103,-0.17,-0.076,-0.068,-0.075,-0.059,0.01,-0.155,-0.084,-0.068,0.239,-0.238,0.006,-0.159,-0.141,-0.205,-0.05,-0.061,-0.057,-0.097,-0.074,0.016,-0.12
"21",19,60001,59050001,711,0.061,0.064,0.054,0.151,-0.078,-0.016,0.072,0.154,0.063,0,-0.018,-0.01,-0.099,0.051,0.03,0.002,0.122,0.022,-0.059,0.019,0.164,-0.054,0.002,0.058,-0.04,0.029,-0.047,0.011,0.019,-0.012,0.019,-0.083,0.089
"22",20,60001,62850001,359,0.171,0.002,0.109,0.234,-0.053,-0.004,0.227,0.094,0.146,-0.053,-0.025,0.123,0.034,0.007,0.035,0.007,0.155,0.045,-0.012,-0.009,-0.035,0.082,0.129,0.172,-0.023,-0.045,-0.005,0.02,0.007,-0.012,0.007,0,0.048
"23",21,10697897,48050001,157,0.092,0.066,0.174,0.311,0.029,0.024,-0.07,-0.022,0.228,0.021,0.03,0.206,-0.075,-0.032,0.036,0.031,-0.064,0.232,-0.08,0.012,0.242,0.097,-0.002,0.227,-0.001,0.029,-0.022,0.054,0.015,0.003,0.017,0.047,0.061
"24",22,16050001,51200001,300,0.116,0.053,-0.223,-0.255,-0.097,0.041,0.269,-0.105,-0.325,0.037,0.068,-0.12,0.017,0.15,0.03,0.198,0.134,0.188,0.004,0.057,-0.16,-0.153,0.088,-0.028,0.103,0.098,0.158,0.077,0.072,0.015,0.066,0.002,-0.05
