"chrom","start.pos","end.pos","n.probes","GSM2402870_5684819026_R01C02","GSM2403896_9297949146_R06C02","GSM2404026_9340996014_R02C01","GSM2404486_9444375019_R04C01","GSM2404487_9444375019_R05C01","GSM2404493_9444375014_R03C01","GSM2404613_9741950008_R06C02","GSM2404666_9741950099_R01C02","GSM2404670_9741950100_R06C01","GSM2404815_9533774046_R05C01","GSM2405006_9969477031_R04C01","GSM2405007_9969477029_R03C02","GSM2405311_10003886258_R06C01","GSM2405505_3999547085_R02C01","GSM2405544_3998909073_R04C01","GSM2405642_101231000030_R03C02","GSM2940729_10003886253_R04C02","GSM2940818_200277210056_R04C02","GSM2940876_200362700196_R04C01","GSM2940986_3998546128_R01C02","GSM2941076_3998909072_R03C02","GSM2941128_3998998159_R03C01","GSM2941193_3999078159_R06C01","GSM2941233_3999547142_R01C02","GSM2941257_3999834068_R04C01","GSM2941368_9379086132_R02C01","GSM2941424_9444375037_R01C01","GSM2941457_9533774033_R04C02","GSM2941478_9534104008_R03C02","GSM2941496_9553932030_R06C01","GSM2941538_9741779119_R02C02","GSM2941703_9968646164_R02C02","GSM2941707_9968646165_R02C02"
"14",12,145740,42900001,236,0,-0.081,0.134,0.787,-0.053,-0.024,0.074,0.092,-0.188,-0.08,-0.066,-0.105,-0.017,-0.143,0.003,-0.018,0.152,-0.051,-0.01,-0.071,-0.092,0.071,-0.148,-0.196,-0.107,-0.125,-0.055,0.162,-0.075,-0.013,-0.073,-0.173,0.136
"15",12,43000001,133700001,612,-0.235,-0.044,-0.017,-0.28,-0.125,-0.009,-0.131,-0.25,-0.144,-0.051,-0.042,-0.043,0.016,-0.05,0.014,-0.01,-0.13,-0.044,-0.025,-0.048,-0.065,0.066,-0.079,-0.133,-0.09,-0.046,-0.07,0.025,-0.023,-0.016,-0.013,-0.001,-0.086
"16",13,19020001,115050001,431,0.299,-0.464,0.142,-0.294,-0.027,-0.118,0.02,0.009,-0.071,-0.065,-0.074,-0.132,-0.405,-0.222,0.003,-0.061,-0.147,-0.15,0.001,-0.081,0.036,-0.151,-0.135,-0.254,-0.305,-0.161,-0.073,-0.032,-0.284,-0.042,-0.102,-0.163,-0.247
"17",14,19000001,106950001,528,-0.209,-0.132,-0.252,-0.388,-0.146,0.01,-0.433,-0.206,0.039,-0.046,-0.021,0.153,-0.289,-0.032,0.005,-0.002,0.093,-0.047,-0.026,-0.054,-0.15,0.18,-0.062,-0.119,-0.099,-0.032,-0.059,-0.195,-0.011,-0.014,-0.009,-0.119,-0.082
"18",15,20000001,102300001,571,0.075,-0.027,-0.079,-0.358,-0.127,0.012,-0.112,0.129,-0.201,-0.024,-0.018,-0.005,0.028,-0.005,-0.095,0.004,-0.123,-0.022,-0.008,-0.031,-0.118,-0.288,-0.045,-0.109,0.16,-0.139,0.014,0.041,0.001,-0.007,-0.009,-0.075,0.038
"19",16,60001,90150001,624,0.055,0.078,-0.045,0.163,-0.059,0.023,-0.059,0.134,0.069,0.003,-0.024,0.168,-0.087,0.047,-0.062,0.027,-0.057,-0.081,0.015,0.009,-0.141,0.036,-0.016,0.21,-0.038,-0.066,-0.024,0.038,0.028,-0.192,0.04,0.045,-0.013
"20",17,1,81050001,814,-0.207,-0.144,-0.267,-0.371,-0.173,-0.04,-0.205,-0.113,-0.128,-0.054,-0.233,-0.221,-0.095,-0.098,-0.035,-0.027,-0.123,-0.042,-0.076,-0.036,-0.02,-0.109,-0.038,0.013,-0.082,-0.054,-0.044,0.007,-0.019,-0.055,-0.032,-0.037,-0.021
"21",18,10001,77950001,243,-0.316,-0.017,-0.318,-0.373,-0.171,-0.058,-0.086,-0.096,-0.288,-0.086,0.038,-0.258,-0.11,-0.145,-0.084,-0.086,-0.011,-0.2,-0.1,-0.113,0.134,-0.304,-0.077,-0.213,-0.175,-0.281,-0.079,-0.097,-0.098,-0.097,-0.109,-0.03,-0.152
"22",19,60001,59050001,711,0.016,0.037,-0.016,0.008,-0.182,-0.031,0.021,0.097,0.015,-0.022,-0.051,-0.046,-0.146,0.034,-0.001,-0.026,0.077,-0.014,-0.1,-0.018,0.109,-0.092,-0.006,0.02,-0.073,0.019,-0.06,-0.01,-0.005,-0.026,-0.005,-0.093,0.072
"23",20,60001,62850001,359,0.133,-0.034,0.033,0.093,-0.172,-0.025,0.169,0.047,0.104,-0.067,-0.047,0.084,-0.03,0.001,-0.013,-0.032,0.098,-0.017,-0.063,-0.055,-0.079,0.046,0.128,0.137,-0.069,-0.048,-0.027,-0.006,-0.031,-0.039,-0.028,-0.018,0.026
"24",21,10697897,48050001,157,0.033,0.026,0.1,0.145,-0.065,0,-0.121,-0.079,0.177,-0.014,-0.014,0.145,-0.126,-0.073,0.007,0.004,-0.101,0.19,-0.111,-0.031,0.17,0.051,-0.038,0.18,-0.039,-0.007,-0.045,0.028,-0.019,-0.013,-0.011,0.023,0.035
"25",22,16050001,51200001,300,0.061,0.026,-0.279,-0.407,-0.191,0.034,0.219,-0.155,-0.361,0.016,0.037,-0.148,-0.023,0.125,0.016,0.173,0.112,0.166,-0.032,0.026,-0.217,-0.192,0.064,-0.065,0.081,0.079,0.14,0.059,0.048,-0.002,0.043,-0.005,-0.05
