"chrom","start.pos","end.pos","n.probes","GSM2402910_6929689168_R01C01","GSM2402911_6929689152_R06C02","GSM2402912_6929689168_R05C01","GSM2402913_6929689168_R02C01","GSM2402914_6929689168_R03C01","GSM2402933_6929689161_R03C02","GSM2402934_6929689161_R04C02","GSM2402935_6929689161_R05C02","GSM2402936_6929689161_R06C02","GSM2402937_6929689161_R02C02","GSM2402947_6929689136_R04C01","GSM2403003_6929689149_R06C02","GSM2403009_6929718009_R04C01","GSM2403132_6752625054_R06C01","GSM2403135_6752625054_R03C02","GSM2403136_6752625054_R04C02","GSM2403143_6752625079_R05C01","GSM2403147_6752625079_R03C02","GSM2403148_6752625079_R04C02","GSM2403244_7970376005_R06C02","GSM2403256_7970376026_R03C01","GSM2403283_7970376029_R01C02","GSM2403300_7970376005_R03C01","GSM2403312_7970376005_R04C02","GSM2403319_7970376055_R06C01","GSM2403322_7970376067_R06C02","GSM2403335_7990895095_R04C02","GSM2403336_7990895095_R05C02","GSM2403349_7990908004_R01C01","GSM2403351_7990895159_R03C02","GSM2403357_7990895046_R04C01","GSM2403365_7990895142_R05C02","GSM2403374_7990908004_R03C02","GSM2403432_8622007025_R03C02","GSM2404095_9374342010_R04C02","GSM2404376_9422493151_R01C02","GSM2404699_9741950149_R02C02","GSM2404917_9968646167_R05C01","GSM2405319_10003886258_R02C01","GSM2941129_3998998159_R03C02","GSM2941130_3998998159_R04C01","GSM2941170_3999078079_R06C02","GSM2941279_3999834105_R06C02","GSM2941392_9407201030_R04C01","GSM2941416_9444374134_R06C01","GSM2941431_9444375150_R01C01","GSM2941502_9553932054_R05C01","GSM2941520_9721366135_R02C01"
"11",11,60001,134800001,914,-0.09,0.045,0.005,-0.054,0.001,0.038,-0.117,0.031,0.039,0.023,0.04,0.048,0.029,0.026,0.022,0.015,0.024,0.022,0.012,-0.15,-0.013,0.009,-0.006,-0.052,-0.015,-0.163,0.147,-0.219,0.006,-0.008,0.002,0.037,-0.028,0.005,-0.013,0.108,-0.001,-0.037,0.012,0.007,-0.163,-0.032,-0.011,-0.071,-0.103,-0.024,0.05,0.023
"12",12,145740,133700001,848,0.111,0.021,-0.007,-0.014,-0.014,0.02,0.082,0.018,0.017,0.011,0.019,0.028,0.021,-0.001,0.014,0.015,0.018,0.02,0.013,-0.133,-0.017,0.005,-0.025,-0.055,-0.055,-0.029,-0.073,-0.2,-0.002,-0.019,0.011,0.039,-0.025,-0.006,-0.013,-0.087,0,-0.034,-0.003,0.002,0.096,-0.034,-0.004,-0.06,-0.02,-0.022,0.045,0.014
"13",13,19020001,115050001,431,-0.209,0.008,-0.048,-0.082,-0.037,0.022,-0.133,0.008,0.003,-0.009,0.01,0.024,-0.195,-0.062,-0.027,-0.029,-0.002,-0.004,-0.001,-0.136,0.007,0.009,-0.045,-0.052,-0.103,-0.369,-0.128,-0.289,-0.014,-0.051,0.004,0.07,0,-0.034,-0.013,-0.03,-0.01,-0.057,-0.035,0.043,-0.17,-0.118,-0.02,-0.255,-0.095,-0.022,-0.165,0.013
"14",14,19000001,106950001,528,0.083,0.005,-0.011,0.027,-0.022,0.012,0.068,0.016,0.003,0.02,0.008,0.008,0.017,0.013,0.022,0.022,0.019,0.022,0.012,-0.13,-0.005,0.02,0,-0.053,-0.015,0.022,-0.052,-0.188,0.006,-0.001,0.018,0.031,-0.037,0.01,0,0.115,0.006,-0.026,0.009,-0.032,0.107,-0.003,0.002,0.021,-0.003,-0.018,0.055,0.024
"15",15,20000001,102300001,571,-0.047,0.028,-0.003,-0.028,-0.007,0.014,0.073,0.025,0.016,0.022,0.009,0.016,0.02,0.036,0.027,0.03,0.018,0.026,0.013,-0.094,0.001,0.036,0.009,-0.029,0.001,0.031,-0.034,-0.126,0.017,0.009,0.029,0.033,-0.008,0.016,0.018,-0.006,0.018,-0.011,0.015,-0.011,-0.081,0.016,0.015,-0.07,0.004,-0.002,-0.083,0.026
"16",16,60001,90150001,624,0.02,0.055,0.006,0.055,0.01,0.043,-0.032,0.037,0.045,0.038,0.04,0.043,0.001,0.035,0.04,0.031,0.033,0.034,0.026,-0.008,0.009,0.031,0.029,0.002,0.041,0.096,-0.032,0.044,0.007,0.027,0.006,-0.005,0.019,0.024,0.028,-0.052,0.034,-0.009,0.102,0.026,-0.02,0.059,0.033,-0.038,-0.028,0.023,0.061,0.037
"17",17,1,81050001,814,-0.074,-0.019,-0.06,-0.025,-0.059,-0.027,-0.093,-0.012,-0.017,-0.008,-0.035,-0.034,-0.03,0.021,0,0.009,-0.018,-0.013,-0.026,-0.034,-0.015,-0.012,-0.015,0,0.015,0.005,-0.063,0.086,0.004,0.004,-0.012,-0.048,-0.017,-0.008,-0.011,-0.093,0.002,-0.055,-0.037,-0.067,-0.048,0.027,-0.01,-0.059,-0.13,-0.024,-0.081,-0.024
"18",18,10001,77950001,243,-0.115,-0.12,-0.113,-0.068,-0.134,-0.088,-0.069,-0.064,-0.08,-0.07,-0.097,-0.08,-0.082,-0.053,-0.049,-0.036,-0.069,-0.062,-0.077,-0.08,-0.034,-0.04,-0.084,-0.091,-0.09,-0.086,-0.134,-0.119,-0.079,-0.059,-0.025,-0.021,-0.056,-0.057,-0.043,-0.14,-0.027,-0.089,-0.18,-0.122,-0.072,-0.048,-0.052,-0.076,-0.095,-0.055,-0.367,-0.06
"19",19,60001,59050001,711,0.068,-0.016,-0.045,0.009,0.123,-0.013,0.056,-0.007,-0.02,0.001,-0.009,-0.02,0.004,0.036,0.012,0.016,-0.005,0.001,0.076,-0.074,-0.066,-0.036,-0.046,-0.093,-0.034,0.093,0.226,0.145,0.072,0.014,-0.029,-0.03,-0.036,0.174,-0.002,0.067,0.008,0.101,0.046,-0.085,0.005,0.041,0.005,-0.073,-0.009,-0.008,0.038,-0.011
"20",20,60001,62850001,359,0.066,-0.006,-0.055,-0.042,-0.048,-0.022,0.029,-0.003,-0.011,0.002,-0.012,0.003,-0.013,0.008,0.005,0.009,-0.012,-0.007,-0.02,-0.115,-0.02,-0.008,-0.032,-0.051,-0.008,0.06,-0.087,-0.061,-0.032,-0.015,-0.008,-0.015,-0.033,-0.013,-0.007,-0.106,-0.008,-0.07,0.046,-0.034,-0.082,0,-0.012,-0.072,-0.108,-0.025,0.013,-0.002
"21",21,10697897,48050001,157,0.068,0.023,-0.01,0.032,-0.007,0.019,0.079,0.021,0.031,0.018,0.011,0.025,0.006,-0.028,0.01,0.006,0.017,0.016,0.011,-0.02,0.021,0.024,0.009,-0.009,0.001,0.05,-0.053,-0.029,0.005,0.026,0.025,0.032,0.011,0.004,0.017,-0.051,0.026,-0.016,0.001,-0.022,-0.023,0.008,0.011,-0.072,0.021,0.007,0.041,0.016
"22",22,16050001,51200001,300,0.041,0.003,-0.007,0.023,-0.037,0.006,0.051,0.021,0.011,0.031,0.003,-0.002,-0.093,0.064,0.03,0.051,0.025,0.03,0.013,-0.005,0.018,0.034,0.04,0.006,0.087,0.175,-0.017,0.13,0.011,0.06,0.032,-0.027,-0.003,0.031,0.048,-0.048,0.05,-0.014,0.095,-0.038,0.032,0.089,0.04,-0.08,-0.022,0.018,0.076,0.023
