"chrom","start.pos","end.pos","n.probes","GSM2402910_6929689168_R01C01","GSM2402911_6929689152_R06C02","GSM2402912_6929689168_R05C01","GSM2402913_6929689168_R02C01","GSM2402914_6929689168_R03C01","GSM2402933_6929689161_R03C02","GSM2402934_6929689161_R04C02","GSM2402935_6929689161_R05C02","GSM2402936_6929689161_R06C02","GSM2402937_6929689161_R02C02","GSM2402947_6929689136_R04C01","GSM2403003_6929689149_R06C02","GSM2403009_6929718009_R04C01","GSM2403132_6752625054_R06C01","GSM2403135_6752625054_R03C02","GSM2403136_6752625054_R04C02","GSM2403143_6752625079_R05C01","GSM2403147_6752625079_R03C02","GSM2403148_6752625079_R04C02","GSM2403244_7970376005_R06C02","GSM2403256_7970376026_R03C01","GSM2403283_7970376029_R01C02","GSM2403300_7970376005_R03C01","GSM2403312_7970376005_R04C02","GSM2403319_7970376055_R06C01","GSM2403322_7970376067_R06C02","GSM2403335_7990895095_R04C02","GSM2403336_7990895095_R05C02","GSM2403349_7990908004_R01C01","GSM2403351_7990895159_R03C02","GSM2403357_7990895046_R04C01","GSM2403365_7990895142_R05C02","GSM2403374_7990908004_R03C02","GSM2403432_8622007025_R03C02","GSM2404095_9374342010_R04C02","GSM2404376_9422493151_R01C02","GSM2404699_9741950149_R02C02","GSM2404917_9968646167_R05C01","GSM2405319_10003886258_R02C01","GSM2941129_3998998159_R03C02","GSM2941130_3998998159_R04C01","GSM2941170_3999078079_R06C02","GSM2941279_3999834105_R06C02","GSM2941392_9407201030_R04C01","GSM2941416_9444374134_R06C01","GSM2941431_9444375150_R01C01","GSM2941502_9553932054_R05C01","GSM2941520_9721366135_R02C01"
"11",11,60001,134800001,914,-0.033,0.132,0.061,-0.001,0.06,0.089,-0.067,0.077,0.101,0.067,0.104,0.125,0.085,0.081,0.065,0.054,0.068,0.066,0.057,-0.028,0.033,0.053,0.038,0.043,0.04,-0.085,0.196,-0.067,0.047,0.03,0.043,0.082,0.047,0.046,0.025,0.151,0.042,-0.001,0.06,0.085,-0.089,0.025,0.03,-0.026,-0.061,0.023,0.092,0.062
"12",12,145740,133700001,848,0.169,0.097,0.046,0.035,0.042,0.067,0.131,0.063,0.078,0.054,0.076,0.099,0.073,0.055,0.053,0.055,0.058,0.056,0.051,0.003,0.033,0.052,0.026,0.052,0.013,0.076,-0.021,-0.018,0.041,0.026,0.052,0.084,0.05,0.034,0.025,-0.047,0.045,0.004,0.048,0.075,0.191,0.046,0.043,-0.018,0.04,0.029,0.096,0.051
"13",13,19020001,115050001,431,-0.094,0.159,0.05,0.028,0.068,0.127,-0.038,0.099,0.118,0.077,0.131,0.178,-0.089,0.036,0.065,0.06,0.095,0.09,0.099,-0.043,0.087,0.084,0.006,0.045,-0.048,-0.299,-0.078,-0.188,0.06,0.01,0.078,0.165,0.113,0.048,0.054,0.031,0.07,0,0.059,0.189,-0.114,-0.067,0.052,-0.182,-0.049,0.057,-0.103,0.102
"14",14,19000001,106950001,528,0.131,0.072,0.036,0.071,0.023,0.044,0.101,0.052,0.055,0.054,0.051,0.071,0.056,0.071,0.06,0.059,0.05,0.051,0.044,0.012,0.033,0.06,0.053,0.046,0.059,0.124,0.008,-0.003,0.044,0.043,0.05,0.065,0.031,0.042,0.035,0.154,0.05,0.01,0.06,0.032,0.198,0.081,0.041,0.055,0.063,0.023,0.099,0.048
"15",15,20000001,102300001,571,-0.003,0.1,0.048,0.014,0.042,0.052,0.108,0.064,0.072,0.061,0.055,0.081,0.062,0.09,0.069,0.072,0.056,0.061,0.046,0.039,0.041,0.076,0.063,0.072,0.08,0.139,0.028,0.052,0.057,0.057,0.06,0.066,0.057,0.052,0.049,0.029,0.061,0.023,0.067,0.052,0.005,0.105,0.056,-0.039,0.075,0.034,-0.04,0.058
"16",16,60001,90150001,624,0.068,0.13,0.052,0.102,0.058,0.086,0.007,0.072,0.097,0.069,0.094,0.105,0.042,0.066,0.067,0.054,0.065,0.064,0.061,0.078,0.038,0.056,0.053,0.074,0.07,0.144,-0.006,0.152,0.034,0.05,0.034,0.026,0.083,0.05,0.051,-0.025,0.063,0.014,0.135,0.094,0.02,0.088,0.058,-0.004,-0.006,0.055,0.09,0.066
"17",17,1,81050001,814,-0.049,0.011,-0.043,-0.003,-0.043,-0.01,-0.076,0.001,0.006,0.006,-0.016,-0.01,-0.021,0.05,0.021,0.03,-0.005,0,-0.008,0.067,0.006,0.012,0.011,0.072,0.061,0.084,-0.045,0.233,0.017,0.019,-0.001,-0.045,0.025,0.005,0.014,-0.076,0.03,-0.045,-0.019,-0.033,0.026,0.088,0.005,-0.046,-0.101,0.001,-0.068,-0.015
"18",18,10001,77950001,243,-0.094,-0.093,-0.104,-0.055,-0.125,-0.075,-0.055,-0.045,-0.064,-0.05,-0.085,-0.058,-0.08,-0.011,-0.024,-0.005,-0.052,-0.047,-0.063,0.038,-0.006,-0.01,-0.044,-0.001,-0.027,0.014,-0.098,0.073,-0.057,-0.028,-0.011,-0.017,-0.013,-0.04,-0.01,-0.112,0.009,-0.072,-0.16,-0.103,0.024,0.038,-0.028,-0.059,-0.049,-0.028,-0.356,-0.053
"19",19,60001,59050001,711,0.117,0.048,-0.006,0.049,0.168,0.022,0.091,0.021,0.025,0.025,0.035,0.039,0.043,0.063,0.036,0.037,0.02,0.023,0.106,0.009,-0.046,-0.015,-0.028,-0.034,-0.009,0.124,0.256,0.243,0.098,0.032,-0.01,-0.002,0.015,0.199,0.016,0.092,0.032,0.119,0.076,-0.026,0.038,0.065,0.025,-0.048,0.01,0.018,0.063,0.012
"20",20,60001,62850001,359,0.137,0.085,0.003,0.022,0.014,0.041,0.087,0.044,0.057,0.044,0.061,0.087,0.05,0.051,0.048,0.05,0.036,0.037,0.033,-0.053,0.014,0.025,-0.013,0.012,0.013,0.089,-0.068,0.014,0.004,0.01,0.028,0.028,0.03,0.026,0.029,-0.076,0.032,-0.045,0.092,0.051,-0.059,0.018,0.015,-0.035,-0.097,0.017,0.045,0.044
"21",21,10697897,48050001,157,0.112,0.081,0.029,0.067,0.03,0.053,0.112,0.046,0.072,0.041,0.051,0.076,0.042,-0.003,0.028,0.035,0.038,0.036,0.034,0.088,0.043,0.05,0.03,0.068,0.044,0.113,-0.019,0.096,0.03,0.051,0.044,0.06,0.067,0.023,0.039,-0.026,0.055,0.008,0.031,0.034,0.032,0.057,0.036,-0.051,0.057,0.031,0.07,0.034
"22",22,16050001,51200001,300,0.07,0.055,0.024,0.047,-0.006,0.028,0.064,0.038,0.043,0.046,0.031,0.041,-0.078,0.085,0.043,0.061,0.036,0.039,0.025,0.076,0.029,0.043,0.057,0.061,0.112,0.21,0.008,0.232,0.027,0.076,0.043,-0.013,0.034,0.039,0.055,-0.034,0.063,-0.003,0.12,0.008,0.065,0.12,0.056,-0.068,0.01,0.036,0.094,0.035
