"chrom","start.pos","end.pos","n.probes","GSM2403681_8959312010_R02C02","GSM2404568_9611518113_R01C01","GSM2404572_9611518110_R03C01","GSM2404575_9611518110_R06C01","GSM2404576_9611518099_R03C01","GSM2404578_9611518099_R02C02","GSM2404581_9611518109_R04C01","GSM2404594_9611518117_R05C02","GSM2404595_9611518117_R02C02","GSM2404596_9611518115_R06C02","GSM2404599_9611518117_R03C01","GSM2404601_9611518166_R03C01","GSM2404630_9721365095_R01C02","GSM2404638_9721365105_R04C01","GSM2404639_9721365104_R03C02","GSM2404643_9721365104_R04C01","GSM2404644_9721365105_R02C02","GSM2404646_9721365104_R06C02","GSM2405137_9855358066_R01C02","GSM2405139_9855358068_R06C01","GSM2405178_9878820106_R05C02","GSM2405191_9878820119_R02C01","GSM2405192_9878820119_R03C01","GSM2405223_9980102032_R05C01"
"11",11,60001,134800001,914,-0.04,-0.044,-0.084,-0.056,-0.062,-0.037,-0.064,-0.067,-0.055,-0.093,-0.042,-0.061,-0.059,-0.038,-0.056,-0.058,-0.057,-0.056,-0.029,-0.024,-0.018,0.01,0.009,-0.065
"12",12,145740,133700001,848,-0.046,-0.032,-0.066,-0.046,-0.048,-0.04,-0.058,-0.052,-0.06,-0.117,-0.041,-0.073,-0.06,-0.039,-0.046,-0.063,-0.063,-0.071,-0.025,-0.028,-0.013,-0.051,-0.005,-0.009
"13",13,19020001,115050001,431,-0.134,-0.065,-0.164,-0.09,-0.087,-0.129,-0.124,-0.136,-0.11,-0.21,-0.111,-0.147,-0.136,-0.076,-0.083,-0.157,-0.107,-0.127,-0.104,-0.114,-0.059,-0.115,-0.04,-0.115
"14",14,19000001,106950001,528,-0.018,-0.058,-0.06,-0.016,-0.021,-0.057,-0.016,-0.021,-0.023,-0.053,-0.018,-0.064,-0.071,-0.008,-0.022,-0.018,-0.023,-0.026,-0.06,0,-0.007,-0.074,-0.045,-0.063
"15",15,20000001,102300001,571,-0.035,-0.004,-0.018,-0.012,-0.015,-0.002,-0.024,-0.013,-0.016,-0.039,-0.008,-0.022,-0.017,-0.001,-0.019,-0.04,-0.017,-0.024,-0.012,-0.001,0.006,-0.048,0.014,0.014
"16",16,60001,90150001,624,-0.005,-0.027,-0.018,-0.027,-0.026,-0.037,-0.015,-0.01,-0.021,-0.034,-0.021,-0.037,-0.038,-0.011,-0.036,-0.029,-0.027,-0.039,-0.03,0,0.013,-0.037,-0.025,0.056
"17",17,1,81050001,814,-0.033,-0.07,-0.04,-0.056,-0.029,-0.04,-0.023,-0.02,-0.059,-0.035,-0.046,-0.047,-0.02,-0.037,-0.047,-0.027,-0.035,-0.034,-0.027,-0.039,-0.036,-0.045,-0.049,-0.062
"18",18,10001,77950001,243,-0.072,-0.076,-0.081,-0.058,-0.043,-0.072,-0.078,-0.049,-0.077,-0.073,-0.079,-0.071,-0.061,-0.057,-0.059,-0.045,-0.046,-0.067,-0.077,-0.162,-0.073,-0.079,-0.069,-0.077
"19",19,60001,59050001,711,-0.008,-0.046,0.02,0.012,0.024,-0.023,0.004,0.016,0.022,0.025,-0.005,-0.001,-0.021,-0.012,-0.028,-0.043,-0.025,-0.041,-0.033,-0.018,-0.006,-0.083,-0.07,0.028
"20",20,60001,62850001,359,-0.023,-0.011,-0.016,-0.04,-0.003,-0.02,0.002,-0.009,0.032,0.037,0.007,0.015,0.008,-0.022,-0.033,-0.033,-0.032,-0.034,-0.007,0.032,-0.023,-0.018,-0.018,-0.005
"21",21,10697897,48050001,157,-0.025,-0.017,-0.021,-0.021,-0.025,-0.024,-0.03,-0.033,-0.042,-0.072,-0.026,-0.023,0,-0.018,-0.015,-0.02,-0.014,-0.036,-0.008,0.051,-0.005,0.031,0.014,0.008
"22",22,16050001,51200001,300,0.042,-0.017,0.045,0.033,0.044,0.002,0.062,0.06,0.028,0.052,0.029,0.013,0.008,0.029,0.02,0.009,0.047,0.039,0.062,-0.033,0.029,0.008,-0.051,0.069
