"chrom","start.pos","end.pos","n.probes","GSM2402918_6969568004_R01C01","GSM2402919_6164621144_R04C01","GSM2402920_6164621144_R05C01","GSM2402953_6164621144_R03C02","GSM2402954_6164621144_R02C02","GSM2402956_6164621144_R01C02","GSM2402958_6929718017_R01C01","GSM2402960_6929718027_R02C01","GSM2402961_6929718026_R05C02","GSM2402963_6929718027_R04C01","GSM2403893_9297949147_R02C02","GSM2404097_9376538156_R01C02","GSM2404098_9376538156_R02C01","GSM2404099_9376538156_R03C01","GSM2404127_9379086124_R01C02","GSM2404150_9407201022_R06C02","GSM2404151_9407201021_R02C02","GSM2404154_9407201022_R01C02","GSM2404160_9407201022_R05C01","GSM2404163_9407201025_R01C01","GSM2404165_9407201021_R01C02","GSM2404166_9407201021_R05C02","GSM2404483_9444374134_R02C02","GSM2404775_9769100007_R02C02","GSM2404835_9533774082_R04C01","GSM2404838_9533774082_R01C02","GSM2404841_9533774084_R02C01","GSM2404926_9969477003_R01C01","GSM2405012_9969477044_R02C02","GSM2405014_9969477044_R06C01","GSM2405017_9969477044_R01C02","GSM2405081_9969477098_R04C01","GSM2405211_9878820127_R05C01","GSM2405372_3999834063_R02C02","GSM2405448_3999875052_R05C01","GSM2405520_3998909027_R02C02","GSM2405522_3998909027_R04C02","GSM2941400_9420867051_R06C01","GSM2941535_9721366150_R05C01"
"11",11,60001,134800001,914,0.063,0.086,0.102,0.076,0.078,0.086,0.039,0.036,0.031,0.039,0.013,0.014,0.002,0.021,0.011,0.122,0.016,0.061,0.061,0.044,-0.037,-0.01,-0.026,-0.009,0.039,0.012,0.002,0.012,0.036,0.021,0.018,0.026,0.103,0.037,-0.011,-0.025,0.021,0.003,0.019
"12",12,145740,133700001,848,0.046,0.053,0.061,0.038,0.057,0.054,0.03,0.025,0.025,0.029,0.008,0.007,-0.017,0.01,0.005,0.139,0.018,0.045,0.052,0.026,-0.004,0.011,0.023,-0.005,0.054,0.026,0.023,0.002,0.004,0.01,0.013,0.024,0.089,0.034,0.026,0.016,0.022,0.011,0.015
"13",13,19020001,115050001,431,0.045,0.117,0.116,0.089,0.091,0.125,0.045,0.015,0.034,0.029,-0.06,0.002,-0.03,0.027,0.006,-0.03,-0.007,0.137,0.115,0.042,-0.054,0.056,0.002,-0.139,0.165,0.022,0.083,-0.037,-0.055,-0.077,-0.113,-0.025,0.188,0.14,0.03,0.043,0.083,-0.035,-0.004
"14",14,19000001,106950001,528,0.046,0.032,0.049,0.03,0.039,0.043,0.024,-0.031,0.027,0.028,0.036,0.019,0.022,0.012,0.016,0.153,0.036,0.051,0.039,0.044,0.018,0.004,0.044,0.034,0.021,0.034,0.019,0.031,0.044,0.044,0.053,0.041,0.078,0.005,0.026,0.008,0.011,0.018,0.037
"15",15,20000001,102300001,571,0.057,0.037,0.055,0.032,0.051,0.048,0.03,0.024,0.037,0.042,0.043,0.026,0.037,0.017,0.027,0.029,0.046,0.053,0.048,0.047,0.03,0.01,0.046,0.049,0.021,0.038,0.028,0.039,0.054,0.06,0.063,0.053,0.076,0.012,0.035,0.023,0.02,0.037,0.043
"16",16,60001,90150001,624,0.063,0.048,0.054,0.045,0.063,0.037,0.037,0.038,0.034,0.051,0.044,0.038,0.021,0.034,0.021,-0.003,0.024,0.014,0.037,0.041,0.019,0.043,0.043,0.034,0.028,0.009,0.043,0.017,0.014,0.046,0.054,0.037,0.019,0.052,0.035,0.053,0.07,0.021,0.045
"17",17,1,81050001,814,-0.029,-0.092,-0.088,-0.076,-0.057,-0.093,-0.047,-0.044,-0.04,-0.031,-0.006,-0.03,-0.02,-0.035,-0.031,-0.038,-0.03,-0.099,-0.077,-0.046,0.011,-0.051,0.037,0.049,-0.085,-0.027,-0.04,-0.011,-0.014,0.013,0.042,-0.004,-0.132,-0.089,-0.037,0.028,-0.038,-0.035,-0.011
"18",18,10001,77950001,243,-0.103,-0.112,-0.105,-0.11,-0.102,-0.103,-0.082,-0.08,-0.076,-0.102,-0.083,-0.072,-0.042,-0.073,-0.078,-0.057,-0.059,-0.063,-0.096,-0.079,-0.012,-0.088,0.056,-0.007,-0.096,-0.043,-0.052,-0.026,-0.045,-0.035,-0.038,-0.045,-0.072,-0.104,-0.078,0.062,-0.066,-0.1,-0.056
"19",19,60001,59050001,711,0.019,-0.052,-0.062,-0.052,-0.006,-0.056,0.008,-0.006,0.003,0.013,0.025,-0.002,-0.002,-0.013,0.005,-0.027,-0.01,-0.098,-0.043,-0.028,0.038,-0.034,0.062,0.046,0.054,-0.007,-0.005,-0.014,-0.034,0.01,0.051,0.019,-0.116,-0.053,0.016,0.047,-0.019,-0.013,0.007
"20",20,60001,62850001,359,0.015,0.019,0.019,0.009,0.023,0.013,0.001,0,0.001,0.01,-0.002,-0.005,-0.006,-0.004,0.002,-0.049,-0.024,-0.003,0,0.008,-0.03,-0.057,-0.009,0.005,-0.027,-0.027,-0.034,0.007,-0.001,-0.006,0.023,0.009,0.007,-0.046,-0.022,-0.004,-0.019,-0.04,0.008
"21",21,10697897,48050001,157,0.025,0.029,0.041,0.025,0.026,0.035,0.007,0.008,0.01,0.016,0.005,0.006,0.014,0.016,-0.002,-0.001,0.009,0.037,0.018,0.024,0.022,0.026,-0.34,-0.004,0.045,0.018,0.041,0.01,0.024,0.02,-0.001,0.008,0.04,0.011,0.012,0.068,0.044,-0.002,0.02
"22",22,16050001,51200001,300,-0.319,-0.009,-0.352,-0.126,-0.383,-0.369,-0.204,-0.081,-0.261,-0.259,-0.202,-0.253,-0.25,0.018,-0.193,-0.297,-0.189,-0.247,-0.316,-0.217,-0.174,0.101,-0.299,-0.236,-0.058,0.028,-0.31,-0.227,-0.293,-0.343,-0.194,-0.268,-0.397,-0.295,-0.285,-0.207,-0.328,-0.274,-0.236
