"chrom","start.pos","end.pos","n.probes","GSM2402918_6969568004_R01C01","GSM2402919_6164621144_R04C01","GSM2402920_6164621144_R05C01","GSM2402953_6164621144_R03C02","GSM2402954_6164621144_R02C02","GSM2402956_6164621144_R01C02","GSM2402958_6929718017_R01C01","GSM2402960_6929718027_R02C01","GSM2402961_6929718026_R05C02","GSM2402963_6929718027_R04C01","GSM2403893_9297949147_R02C02","GSM2404097_9376538156_R01C02","GSM2404098_9376538156_R02C01","GSM2404099_9376538156_R03C01","GSM2404127_9379086124_R01C02","GSM2404150_9407201022_R06C02","GSM2404151_9407201021_R02C02","GSM2404154_9407201022_R01C02","GSM2404160_9407201022_R05C01","GSM2404163_9407201025_R01C01","GSM2404165_9407201021_R01C02","GSM2404166_9407201021_R05C02","GSM2404483_9444374134_R02C02","GSM2404775_9769100007_R02C02","GSM2404835_9533774082_R04C01","GSM2404838_9533774082_R01C02","GSM2404841_9533774084_R02C01","GSM2404926_9969477003_R01C01","GSM2405012_9969477044_R02C02","GSM2405014_9969477044_R06C01","GSM2405017_9969477044_R01C02","GSM2405081_9969477098_R04C01","GSM2405211_9878820127_R05C01","GSM2405372_3999834063_R02C02","GSM2405448_3999875052_R05C01","GSM2405520_3998909027_R02C02","GSM2405522_3998909027_R04C02","GSM2941400_9420867051_R06C01","GSM2941535_9721366150_R05C01"
"11",11,60001,134800001,914,0.016,0.025,0.038,0.018,0.023,0.031,0.001,-0.002,-0.006,-0.002,-0.024,-0.02,-0.03,-0.015,-0.018,0.079,-0.015,0.021,0.018,0.006,-0.072,-0.078,-0.1,-0.053,-0.05,-0.026,-0.065,-0.019,-0.013,-0.022,-0.026,-0.012,0.05,-0.033,-0.054,-0.107,-0.04,-0.042,-0.013
"12",12,145740,133700001,848,0.003,-0.001,0.002,-0.013,0.008,0.005,-0.006,-0.01,-0.01,-0.008,-0.033,-0.028,-0.048,-0.021,-0.021,0.09,-0.017,0.01,0.014,-0.009,-0.046,-0.065,-0.069,-0.061,-0.031,-0.015,-0.051,-0.032,-0.051,-0.04,-0.041,-0.015,0.045,-0.036,-0.026,-0.066,-0.035,-0.037,-0.02
"13",13,19020001,115050001,431,-0.038,0.001,-0.002,-0.019,-0.016,0.017,-0.024,-0.048,-0.036,-0.043,-0.104,-0.052,-0.075,-0.027,-0.047,-0.074,-0.043,0.055,0.03,-0.021,-0.083,-0.029,-0.066,-0.175,0.046,-0.021,0.003,-0.079,-0.111,-0.131,-0.159,-0.081,0.088,0.025,-0.04,-0.054,-0.023,-0.085,-0.05
"14",14,19000001,106950001,528,0.005,-0.012,-0.002,-0.016,0,0.004,-0.002,-0.058,0.003,-0.001,-0.002,-0.008,0.002,-0.011,-0.001,0.11,0.007,0.027,0.014,0.014,-0.021,-0.07,-0.042,-0.014,-0.054,0.001,-0.048,0.003,-0.005,-0.002,-0.002,0.005,0.046,-0.061,-0.017,-0.066,-0.045,-0.026,0.009
"15",15,20000001,102300001,571,0.017,-0.009,0.005,-0.013,0.008,0.006,0.002,-0.005,0.008,0.01,0.005,-0.002,0.015,-0.003,0.007,-0.009,0.012,0.029,0.024,0.016,-0.006,-0.062,-0.035,-0.003,-0.049,0.006,-0.03,0.008,0.005,0.011,0.008,0.012,0.044,-0.048,-0.008,-0.048,-0.029,-0.008,0.011
"16",16,60001,90150001,624,0.025,-0.004,-0.005,-0.008,0.012,-0.008,0.01,0.011,0.007,0.021,0.021,0.014,0,0.011,0.004,-0.021,0.008,-0.017,0.003,0.016,0.002,-0.008,-0.009,0.011,-0.048,-0.014,-0.008,0.003,-0.016,0.017,0.029,0.016,-0.023,-0.009,0.006,-0.01,0.018,-0.005,0.025
"17",17,1,81050001,814,-0.038,-0.101,-0.098,-0.09,-0.066,-0.1,-0.05,-0.047,-0.047,-0.037,-0.024,-0.041,-0.029,-0.043,-0.037,-0.052,-0.042,-0.098,-0.074,-0.052,-0.018,-0.101,-0.016,0.028,-0.128,-0.035,-0.08,-0.029,-0.036,-0.003,0.014,-0.014,-0.115,-0.12,-0.048,-0.047,-0.065,-0.055,-0.023
"18",18,10001,77950001,243,-0.114,-0.119,-0.11,-0.12,-0.108,-0.104,-0.086,-0.084,-0.086,-0.111,-0.112,-0.083,-0.059,-0.084,-0.088,-0.084,-0.079,-0.057,-0.086,-0.086,-0.056,-0.148,-0.016,-0.048,-0.131,-0.056,-0.1,-0.053,-0.083,-0.063,-0.084,-0.066,-0.048,-0.13,-0.094,-0.02,-0.093,-0.124,-0.071
"19",19,60001,59050001,711,-0.015,-0.098,-0.114,-0.095,-0.048,-0.097,-0.016,-0.027,-0.02,-0.016,0.008,-0.022,-0.018,-0.034,-0.008,-0.042,-0.023,-0.122,-0.069,-0.052,0.027,-0.078,0.018,0.035,-0.011,-0.023,-0.05,-0.022,-0.058,-0.014,0.034,0,-0.149,-0.108,-0.012,-0.013,-0.07,-0.035,-0.01
"20",20,60001,62850001,359,-0.035,-0.049,-0.053,-0.057,-0.04,-0.052,-0.035,-0.036,-0.037,-0.032,-0.024,-0.039,-0.034,-0.04,-0.028,-0.067,-0.039,-0.054,-0.047,-0.029,-0.042,-0.11,-0.046,-0.009,-0.108,-0.046,-0.089,-0.016,-0.027,-0.035,0.002,-0.017,-0.048,-0.121,-0.057,-0.074,-0.083,-0.066,-0.018
"21",21,10697897,48050001,157,-0.003,-0.005,0,-0.006,-0.006,0,-0.011,-0.013,-0.008,-0.011,-0.02,-0.015,0,-0.001,-0.015,-0.026,-0.008,0.016,-0.003,0.002,0.002,-0.037,-0.405,-0.026,-0.022,-0.003,-0.008,-0.006,-0.008,-0.01,-0.028,-0.012,0.021,-0.041,-0.016,0.005,0,-0.026,0.005
"22",22,16050001,51200001,300,-0.33,-0.04,-0.378,-0.152,-0.395,-0.384,-0.206,-0.09,-0.258,-0.263,-0.209,-0.257,-0.242,0.007,-0.191,-0.297,-0.19,-0.251,-0.32,-0.22,-0.176,0.06,-0.337,-0.234,-0.112,0.021,-0.346,-0.223,-0.306,-0.351,-0.202,-0.268,-0.405,-0.34,-0.298,-0.252,-0.354,-0.29,-0.239
