"chrom","start.pos","end.pos","n.probes","GSM2403904_9305216209_R05C02","GSM2404122_9379086132_R06C01","GSM2404144_9406922161_R05C01","GSM2404274_9422491130_R02C02","GSM2404275_9422491130_R03C02","GSM2404277_9422491130_R06C02","GSM2404288_9407201027_R02C01","GSM2404289_9407201027_R03C01","GSM2404291_9407201027_R05C01","GSM2404294_9407201028_R06C02","GSM2404298_9407201029_R06C01","GSM2404380_9426020065_R03C02","GSM2404381_9426020065_R04C02","GSM2404382_9426020065_R05C02","GSM2404383_9426020065_R06C02","GSM2404384_9422493152_R02C01","GSM2404385_9422493152_R03C01","GSM2404386_9422493152_R04C01","GSM2404450_9420867087_R04C02","GSM2404463_9420867124_R04C02","GSM2404690_9647455233_R02C01","GSM2404832_9533774041_R05C01","GSM2404851_9533774097_R01C02","GSM2404996_9969477017_R02C01","GSM2405039_9969477079_R05C01","GSM2405103_9855358001_R05C01","GSM2405108_9855358001_R02C01","GSM2940862_200360420062_R04C01","GSM2941102_3998909182_R02C01","GSM2941315_3999875076_R05C01","GSM2941449_9533774021_R03C02","GSM2941676_9878827227_R02C02","GSM2941679_9878827227_R05C01","GSM2941680_9878827227_R06C01"
"11",9,10001,141000001,383,0.025,0.003,-0.035,0.092,-0.074,-0.006,0.116,0.087,0.13,0.077,0.18,0.087,0.235,0.041,-0.013,0.053,0.099,0.152,0.012,-0.053,0.089,0.098,0.093,-0.044,-0.064,0.095,0.115,-0.042,0.019,-0.004,0.009,0.113,0.002,0.002
"12",10,60001,135400001,840,0.01,-0.034,-0.011,0.091,-0.074,-0.004,-0.117,-0.073,-0.081,0.056,0.025,-0.122,0.038,-0.169,-0.114,0.003,-0.214,-0.083,-0.106,-0.057,-0.012,-0.235,0,-0.069,-0.086,-0.06,-0.06,-0.096,0.016,0.048,0.061,-0.021,-0.02,0.021
"13",11,60001,134800001,914,0.005,-0.058,-0.037,-0.061,-0.1,-0.029,-0.052,0.033,-0.1,0.033,-0.231,-0.123,-0.182,-0.074,-0.103,-0.004,-0.2,-0.084,-0.012,-0.051,-0.017,-0.061,-0.005,-0.091,-0.099,-0.079,0.079,-0.086,-0.03,0.04,0.036,-0.018,-0.214,-0.001
"14",12,145740,133700001,848,-0.001,-0.041,-0.029,0.081,0.171,0.112,0.104,0.057,0.125,0.178,0.182,-0.017,0.022,-0.044,-0.102,-0.001,-0.006,0.105,0.106,0.059,0.079,0.08,0.156,0.108,0.013,0.056,0.064,0.117,0.135,0.038,0.03,0.095,0.1,0.15
"15",13,19020001,115050001,431,-0.331,-0.179,-0.356,-0.262,-0.094,0,0.097,-0.095,-0.116,-0.205,-0.235,-0.289,-0.344,-0.597,-0.338,-0.593,-0.218,-0.241,-0.009,-0.327,-0.167,-0.299,-0.287,-0.14,-0.229,-0.139,-0.876,-0.046,-0.056,-0.023,-0.156,-0.257,-0.083,-0.093
"16",14,19000001,106950001,528,0,-0.075,-0.204,-0.269,-0.101,-0.216,-0.17,-0.32,-0.064,-0.165,-0.257,-0.258,-0.129,-0.306,-0.055,-0.349,-0.16,-0.044,-0.326,-0.179,-0.153,-0.259,-0.136,-0.077,-0.266,-0.26,-0.272,-0.087,-0.222,-0.199,-0.241,-0.207,-0.213,-0.066
"17",15,20000001,102300001,571,0.011,-0.007,-0.029,0.095,0.073,-0.005,0.106,0.08,-0.056,0.061,0.18,0.067,0.106,0.047,-0.009,0.074,0.084,-0.03,0.051,0.076,0.094,0.109,0.106,0.142,0.077,0.099,-0.027,0.126,0.157,0.054,0.032,0.107,-0.014,0.013
"18",16,60001,90150001,624,0.029,0.026,0.027,-0.021,-0.037,-0.16,-0.074,-0.227,-0.039,-0.092,-0.167,-0.014,-0.073,0.003,0.003,0.074,-0.063,-0.003,0.044,0.035,-0.003,0,-0.014,-0.025,0.024,-0.014,0.007,-0.017,-0.117,-0.035,-0.071,0.007,0.13,-0.01
"19",17,1,81050001,814,-0.041,-0.025,-0.094,-0.076,-0.105,-0.033,-0.148,-0.093,-0.054,-0.136,-0.019,0,-0.044,0.031,0.028,0.093,0.155,0.009,-0.004,0.04,-0.068,-0.045,-0.046,0.105,0.021,-0.056,0.088,-0.078,-0.011,-0.092,-0.076,-0.067,-0.055,-0.052
"20",18,10001,77950001,243,-0.078,-0.076,-0.11,-0.099,0.009,-0.059,0.051,0.03,-0.067,0.013,-0.05,0.013,-0.105,-0.077,-0.059,-0.005,0.153,-0.094,-0.132,-0.074,-0.102,-0.087,-0.036,-0.126,-0.079,-0.103,-0.157,-0.183,0.045,-0.007,0.002,-0.118,-0.117,-0.105
"21",19,60001,59050001,711,-0.01,0.017,-0.061,-0.061,-0.088,-0.029,-0.134,-0.055,-0.035,-0.112,0.003,0.026,-0.015,0.101,0.035,0.099,-0.008,0.022,-0.014,-0.003,0.046,-0.037,-0.088,-0.042,0.019,-0.017,0.104,-0.044,-0.135,-0.149,-0.148,-0.031,-0.014,-0.053
"22",20,60001,62850001,359,-0.02,-0.025,-0.073,-0.069,0.035,0.081,-0.165,0.05,-0.076,-0.135,0.004,-0.023,-0.076,0.043,-0.009,0.045,0.094,-0.026,-0.012,0.02,-0.039,0.058,0.015,-0.081,0.023,-0.061,0.095,-0.057,0.109,-0.022,-0.014,-0.027,-0.027,-0.035
"23",21,10697897,48050001,157,0.01,0,0.003,-0.028,-0.05,-0.168,-0.095,-0.049,-0.035,-0.122,-0.199,-0.224,-0.113,-0.012,-0.065,-0.321,-0.152,-0.063,0.036,-0.195,-0.155,-0.198,-0.012,-0.037,-0.022,-0.049,-0.073,-0.095,-0.17,0.028,0.047,-0.207,-0.212,-0.008
"24",22,16050001,51200001,300,-0.262,-0.268,-0.445,-0.206,-0.339,-0.021,-0.54,-0.211,-0.315,-0.06,-0.207,-0.025,-0.253,-0.056,-0.143,-0.122,-0.217,-0.205,-0.197,-0.096,-0.126,-0.158,-0.222,-0.326,-0.142,-0.12,-0.119,-0.145,-0.122,-0.357,-0.293,-0.146,-0.135,-0.365
