"chrom","start.pos","end.pos","n.probes","GSM2404142_9406922158_R03C02","GSM2404143_9406922161_R04C01","GSM2404375_9422493151_R04C01","GSM2404407_9426021086_R02C01","GSM2404408_9426021086_R03C01","GSM2404409_9426021086_R04C01","GSM2404410_9426021086_R05C01","GSM2404411_9426021103_R01C01","GSM2404412_9426021103_R02C01","GSM2404413_9426021103_R03C01","GSM2404414_9426021103_R04C01","GSM2404415_9426021103_R05C01","GSM2404416_9426021103_R06C01","GSM2404417_9426021103_R01C02","GSM2404418_9426021103_R02C02","GSM2404419_9426021103_R03C02","GSM2405585_3999078084_R05C02","GSM2405586_3999078088_R01C01","GSM2405587_3999078088_R03C01","GSM2405588_3999078088_R05C01","GSM2405589_3999078088_R01C02","GSM2940730_10003886256_R01C01","GSM2941634_9878820121_R03C01"
"11",11,60001,134800001,914,-0.013,0,0.045,-0.009,0.015,0.028,0.1,0.023,0.033,0.066,0.071,0.022,0.055,0.069,0.02,0.009,0.036,-0.013,-0.012,-0.023,0.018,0.024,0.099
"12",12,145740,133700001,848,-0.009,-0.005,0.038,0.007,0.022,0.036,0.099,0.024,0.038,0.053,0.06,0.022,0.052,0.077,0.017,0.015,0.04,0.01,0.01,0.008,0.007,0.023,0.074
"13",13,19020001,115050001,431,0.037,0.014,0.1,0.017,0.067,0.119,0.292,0.082,0.112,0.165,0.202,0.088,0.156,0.271,0.088,0.073,0.123,-0.002,-0.005,-0.049,0.134,-0.014,0.256
"14",14,19000001,106950001,528,-0.009,-0.007,-0.005,0.011,0.003,-0.003,0.008,-0.003,0,-0.006,-0.011,-0.013,-0.006,0.029,-0.008,-0.006,0.023,0.014,0.009,0.025,0.218,0.04,-0.006
"15",15,20000001,102300001,571,0.003,0.011,0.013,0.008,0.01,0.003,0.008,0.008,0.021,0.019,0.006,0.002,0.014,0.008,-0.002,-0.003,0.028,0.03,0.02,0.039,-0.03,0.05,0.006
"16",16,60001,90150001,624,0.06,0.071,0.07,0.02,0.053,0.059,0.096,0.046,0.087,0.086,0.107,0.039,0.094,0.053,0.047,0.034,0.048,0.028,0.039,0.019,0.067,0.065,0.138
"17",17,1,81050001,814,-0.024,-0.006,-0.046,-0.025,-0.028,-0.032,-0.119,-0.029,-0.031,-0.061,-0.063,-0.057,-0.054,-0.121,-0.041,-0.049,-0.069,-0.012,-0.017,0.006,0.134,-0.011,-0.104
"18",18,10001,77950001,243,-0.048,-0.086,-0.118,-0.02,-0.052,-0.027,-0.06,-0.061,-0.055,-0.106,-0.103,-0.073,-0.077,-0.025,-0.077,-0.051,-0.084,-0.043,-0.112,-0.01,-0.22,-0.072,-0.084
"19",19,60001,59050001,711,0.003,0.021,0,-0.015,0.008,-0.005,-0.06,0.01,0.004,-0.019,-0.01,-0.023,0,-0.054,-0.008,-0.014,-0.019,0.007,0.005,0.023,-0.011,0.029,-0.044
"20",20,60001,62850001,359,-0.023,-0.014,-0.01,-0.023,-0.022,-0.01,-0.01,-0.011,-0.009,-0.009,-0.02,-0.026,-0.01,-0.006,-0.024,-0.019,-0.012,-0.02,-0.016,-0.027,-0.026,0.005,-0.017
"21",21,10697897,48050001,157,0.039,0.034,0.026,0.033,0.036,0.032,0.008,0.02,0.025,0.041,0.015,0.013,0.052,0.061,0.042,0.038,0.016,0.025,0.029,0.019,-0.021,0.017,0.096
"22",22,16050001,51200001,300,0.024,0.027,-0.018,-0.001,-0.011,-0.034,-0.14,-0.013,-0.019,-0.048,-0.056,-0.031,-0.039,-0.122,-0.036,-0.026,-0.026,0.022,0.035,0.068,-0.058,0.069,-0.082
