"chrom","start.pos","end.pos","n.probes","GSM2402976_6929718027_R03C02","GSM2402979_6929689149_R01C01","GSM2402980_6929689149_R03C01","GSM2402998_6929718001_R03C02","GSM2403064_6229017057_R01C01","GSM2403126_6285641012_R03C02","GSM2403182_6752625107_R05C02","GSM2403183_6752625106_R01C02","GSM2403184_6752625107_R01C02","GSM2403185_6752625107_R04C02","GSM2403191_6929806024_R04C02","GSM2403192_6929806024_R06C02","GSM2403193_6929806038_R01C01","GSM2403194_6929806038_R02C01","GSM2403195_6929806038_R03C01","GSM2403197_6929806038_R05C01","GSM2403200_6929806038_R06C02","GSM2403201_6929806046_R01C01","GSM2403202_6929806046_R02C01","GSM2403204_6929806046_R04C01","GSM2403206_6929806046_R03C02","GSM2403208_6929806046_R05C02","GSM2403210_6929806048_R05C01","GSM2403212_6929806048_R01C02","GSM2403213_6929806048_R02C02","GSM2403214_6929806048_R04C02","GSM2403215_6929806048_R05C02","GSM2403216_6929806048_R06C02","GSM2403228_6752625135_R06C02","GSM2403231_7310440009_R06C01","GSM2403497_8622007061_R04C01","GSM2403601_8622007106_R05C02","GSM2403791_9296930089_R02C02","GSM2403792_9296930089_R03C02","GSM2403793_9296930047_R04C02","GSM2403794_9296930047_R05C02","GSM2403795_9296930052_R01C01","GSM2403796_9296930052_R04C01","GSM2403797_9296930052_R05C01","GSM2403799_9296930052_R01C02","GSM2403800_9296930066_R01C01","GSM2403801_9296930066_R02C01","GSM2403802_9296930066_R03C01","GSM2403803_9296930066_R01C02","GSM2403804_9296930066_R02C02","GSM2403805_9296930066_R03C02","GSM2403808_9296930076_R01C02","GSM2403809_9296930076_R02C02","GSM2403810_9296930089_R01C01","GSM2403811_9296930089_R03C01","GSM2403812_9296930089_R04C01","GSM2403813_9296930089_R06C01","GSM2403853_9305651003_R06C02","GSM2403856_9305651003_R02C01","GSM2403868_9305651013_R01C01","GSM2403869_9305651027_R05C01","GSM2403940_9305651053_R01C02","GSM2403981_6026818094_R05C02","GSM2404035_9340996050_R04C02","GSM2404049_9373550018_R01C02","GSM2404051_9373550034_R05C02","GSM2404052_9373550035_R06C01","GSM2404053_9373550035_R01C02","GSM2404055_9373550018_R01C01","GSM2404093_9374342010_R01C01","GSM2404283_9422491056_R01C01","GSM2404400_9426020061_R01C02","GSM2404404_9426020061_R01C01","GSM2404431_9426021175_R06C01","GSM2405080_9969477098_R01C01","GSM2940754_10006823069_R02C02","GSM2940825_200325530023_R01C02","GSM2940907_200397540001_R04C02","GSM2940982_3998523057_R06C02","GSM2940993_3998546128_R05C01","GSM2941084_3998909073_R02C01","GSM2941182_3999078120_R05C02","GSM2941198_3999095103_R05C01","GSM2941204_3999095104_R04C02","GSM2941236_3999547142_R05C02","GSM2941280_3999834115_R01C01","GSM2941334_9340996058_R06C01","GSM2941355_9376561024_R04C01","GSM2941388_9407201028_R04C02","GSM2941530_9721366149_R05C02","GSM2941534_9721366150_R03C01","GSM2941642_9878820140_R01C02","GSM2941747_9969477055_R05C01","GSM2941766_9969477074_R04C02","GSM2941798_9969477107_R03C01"
"11",10,60001,135400001,840,-0.03,-0.031,-0.005,-0.008,0.009,-0.06,0.056,0.01,-0.02,-0.168,-0.025,-0.01,0.003,-0.225,-0.015,-0.008,-0.027,-0.255,-0.059,-0.02,-0.016,-0.003,-0.083,0.042,-0.047,0.004,-0.01,-0.014,-0.352,0.011,0.009,-0.412,-0.055,-0.141,-0.016,-0.032,-0.045,0.008,-0.021,-0.039,-0.18,-0.074,-0.323,-0.033,-0.025,-0.412,-0.117,-0.055,-0.065,-0.057,-0.053,-0.064,-0.067,-0.025,-0.441,-0.086,-0.109,-0.027,-0.042,-0.281,-0.188,-0.114,-0.077,-0.583,-0.051,-0.402,-0.068,-0.086,-0.206,-0.046,0.028,-0.136,0.01,-0.031,-0.114,-0.027,0.03,-0.028,0.049,-0.036,-0.024,-0.124,-0.019,0.017,-0.093,-0.019,0.009,0.034,0.04,-0.008
"12",11,60001,49450001,322,-0.054,-0.025,0.003,-0.004,0.042,-0.234,0.112,-0.209,-0.001,-0.173,-0.02,-0.008,-0.011,-0.116,-0.016,-0.008,-0.061,-0.14,-0.277,-0.014,-0.015,-0.051,-0.076,-0.356,-0.045,-0.195,-0.004,-0.025,-0.003,0.011,-0.043,-0.182,-0.081,-0.036,-0.047,-0.097,-0.084,-0.473,-0.054,-0.251,0.016,-0.595,-0.148,-0.088,-0.175,-0.462,-0.15,-0.097,-0.491,-0.093,-0.065,-0.102,-0.103,-0.043,-0.216,-0.323,-0.04,-0.113,-0.071,-0.233,-0.247,-0.784,-0.101,-0.111,-0.272,-0.342,-0.051,-0.098,-0.771,0.005,-0.041,-0.271,0.01,-0.113,0.003,-0.046,-0.021,-0.036,-0.113,-0.035,-0.187,-0.19,0.003,0.002,-0.131,-0.097,-0.022,0.028,-0.137,-0.035
"13",11,49800001,134800001,592,-0.016,-0.012,0.012,-0.001,0.008,-0.183,0.104,0.139,0.016,-0.163,-0.038,-0.015,0.04,-0.115,-0.02,-0.002,-0.061,0.011,-0.088,-0.034,-0.008,-0.004,-0.057,0.008,-0.053,-0.081,0.007,-0.01,0.044,0.01,0.009,0.108,-0.042,-0.009,-0.024,-0.058,0.086,-0.22,-0.032,-0.017,0.06,0.094,-0.106,-0.127,0.027,0.033,-0.12,-0.053,-0.164,-0.136,-0.045,-0.027,-0.081,-0.042,-0.155,-0.201,-0.08,-0.035,-0.039,-0.175,-0.202,-0.222,-0.074,-0.062,-0.107,-0.183,-0.074,-0.134,-0.194,0.093,0.003,-0.241,-0.016,0.019,0.004,-0.051,0.031,-0.036,-0.029,-0.017,-0.124,0.021,0,0.019,-0.223,-0.018,-0.065,0.015,0.015,-0.031
"14",12,145740,133700001,848,-0.015,-0.024,-0.005,-0.008,-0.025,-0.033,-0.074,0.01,-0.023,-0.183,-0.025,-0.014,-0.003,-0.008,-0.025,-0.018,-0.035,-0.01,-0.066,-0.028,-0.023,-0.011,-0.09,0.044,-0.066,0.002,-0.016,-0.021,0.008,0.006,-0.039,-0.036,-0.068,-0.021,-0.041,-0.048,-0.054,-0.022,-0.035,-0.056,-0.217,-0.084,-0.011,0.034,-0.058,-0.163,-0.175,-0.09,-0.094,-0.038,-0.076,-0.086,-0.101,-0.045,-0.157,-0.017,0.009,-0.022,-0.074,-0.262,-0.204,-0.186,-0.076,-0.091,0.069,-0.041,-0.08,-0.106,-0.178,-0.004,0.02,-0.194,0.002,0.1,0.011,0.068,0.04,-0.046,-0.009,0.095,-0.041,-0.179,0.04,0.001,-0.109,-0.013,-0.017,-0.071,0.023,-0.034
"15",13,19020001,115050001,431,-0.065,-0.039,-0.032,-0.043,0.006,-0.076,0.024,-0.033,-0.053,0.053,-0.076,-0.081,-0.054,0.006,-0.078,-0.062,-0.121,-0.05,-0.084,-0.09,-0.069,-0.061,-0.131,0.009,-0.177,-0.067,-0.075,-0.08,-0.208,-0.05,-0.082,-0.117,0.022,0.065,0.016,0.002,-0.27,0.071,-0.031,0.043,-0.116,0.017,0.048,-0.109,0.036,0.141,0.134,0.019,0.039,0.062,0.036,0.041,-0.05,-0.083,-0.431,0.02,-0.008,-0.086,0.03,-0.2,-0.021,-0.042,0.017,0.038,-0.001,-0.253,-0.212,-0.206,0.018,-0.056,-0.03,-0.095,-0.021,-0.043,-0.033,-0.065,0.01,-0.109,-0.019,0.085,-0.036,-0.198,-0.219,-0.001,-0.049,-0.025,-0.002,-0.025,-0.05,-0.061
"16",14,19000001,106950001,528,-0.016,-0.033,-0.015,-0.011,-0.017,-0.036,0.059,0.018,-0.084,0.112,-0.025,-0.006,0.006,0,-0.01,-0.016,-0.013,0.027,-0.045,-0.011,-0.01,-0.003,0.033,0.031,-0.031,0.012,-0.006,-0.016,-0.037,0.012,0.004,-0.014,-0.093,-0.077,-0.057,-0.061,-0.192,-0.038,-0.041,-0.105,-0.277,-0.147,-0.21,-0.182,-0.11,-0.02,-0.211,-0.148,-0.161,-0.091,-0.128,-0.327,-0.11,-0.025,-0.208,-0.023,-0.12,-0.008,-0.115,-0.138,-0.289,-0.24,-0.352,-0.178,-0.127,-0.023,-0.031,-0.048,-0.255,-0.1,0.011,-0.237,0.002,-0.065,0.023,-0.029,0.036,-0.026,-0.013,-0.054,-0.041,-0.156,-0.227,-0.006,0.016,0.005,0.012,0.037,0.014,-0.021
"17",15,20000001,102300001,571,-0.011,0.165,-0.006,-0.008,-0.011,-0.014,-0.064,0.019,-0.02,0.015,-0.008,0.002,0.017,0.147,-0.005,-0.006,-0.009,0.036,-0.039,-0.008,-0.008,0.004,0.039,0.038,-0.02,0.019,0.001,-0.011,-0.06,0.018,0.013,0.003,-0.083,-0.048,-0.041,-0.05,-0.051,-0.221,-0.025,-0.091,-0.244,-0.105,-0.183,-0.091,-0.078,0.002,-0.15,-0.109,-0.127,-0.072,-0.108,-0.123,-0.095,-0.005,-0.194,-0.014,0.024,0.006,-0.098,-0.272,-0.266,-0.186,-0.105,-0.165,0.097,0.004,-0.016,-0.034,-0.217,0.002,0.033,-0.197,0.007,0.098,0.035,-0.007,-0.016,-0.011,-0.001,0.097,-0.029,-0.122,-0.012,0.012,-0.073,0.015,0.014,-0.269,-0.044,-0.003
"18",16,60001,90150001,624,0.018,-0.007,0.017,0.016,-0.049,-0.192,-0.05,0.032,0.009,-0.067,0.009,0.019,0.028,0.015,0.016,0.02,0.024,0.053,0.11,0.018,0.019,0.026,0.071,0.063,0.022,0.04,0.025,0.022,0.025,0.038,0.039,0.033,-0.036,0.015,-0.002,-0.015,-0.041,0.019,-0.002,-0.019,-0.168,-0.046,-0.067,-0.006,-0.012,-0.1,0.057,-0.029,-0.052,0.008,-0.036,-0.042,-0.027,0.031,-0.039,0.007,0.03,0.015,-0.018,-0.064,-0.159,-0.04,-0.087,-0.071,-0.067,0.064,0.011,-0.034,-0.149,0,0.06,-0.044,0.029,-0.008,0.039,0.009,0.048,0.029,0.016,0.106,0.011,-0.028,-0.013,0.028,-0.046,0.013,-0.03,0.04,0.053,0.016
"19",17,1,81050001,814,-0.048,-0.091,-0.068,-0.048,-0.144,-0.007,-0.098,-0.024,-0.064,-0.027,-0.036,-0.06,-0.023,0.003,-0.044,-0.042,-0.017,0,-0.011,-0.032,-0.033,-0.034,0,-0.008,0.043,-0.017,-0.029,-0.041,-0.067,-0.017,-0.019,-0.028,-0.135,-0.127,-0.117,-0.114,-0.09,-0.094,-0.091,-0.157,-0.164,-0.183,-0.243,-0.239,-0.147,-0.059,-0.253,-0.184,-0.218,-0.132,-0.178,-0.201,-0.114,-0.022,-0.119,-0.066,-0.038,-0.017,-0.161,-0.156,-0.338,-0.07,-0.152,-0.227,0.042,0.032,0.021,0.014,-0.274,-0.031,0.012,-0.161,-0.049,-0.087,-0.001,-0.05,0.018,-0.016,-0.067,0.018,-0.045,0.124,-0.046,-0.064,-0.084,-0.039,-0.055,-0.027,-0.01,-0.036
"20",18,10001,77950001,243,-0.11,-0.143,-0.126,-0.107,-0.05,-0.052,-0.151,-0.074,-0.12,-0.067,-0.102,-0.104,-0.084,-0.295,-0.106,-0.113,-0.105,-0.071,-0.133,-0.104,-0.102,-0.098,-0.057,-0.06,-0.107,-0.088,-0.105,-0.112,-0.092,-0.088,-0.112,-0.103,-0.175,-0.495,-0.151,-0.141,-0.118,-0.334,-0.13,-0.218,-0.356,-0.21,-0.474,-0.257,-0.172,-0.305,-0.287,-0.211,-0.239,-0.517,-0.222,-0.25,-0.153,-0.101,-0.609,-0.085,-0.079,-0.072,-0.179,-0.169,-0.38,-0.282,-0.179,-0.262,-0.3,-0.169,-0.052,-0.003,-0.249,-0.081,-0.42,-0.185,-0.095,-0.177,-0.127,-0.077,-0.025,-0.106,-0.111,-0.02,-0.07,-0.163,-0.065,-0.107,-0.125,-0.07,-0.341,-0.066,-0.1,-0.077
"21",19,60001,59050001,711,-0.022,-0.046,-0.035,-0.019,-0.193,0.027,-0.078,0.003,-0.034,0.036,-0.015,-0.052,0,0.043,-0.015,-0.018,0.004,0.027,0.012,-0.01,-0.011,-0.008,0.021,0.025,0.012,0.011,-0.004,-0.033,-0.014,0.003,-0.008,0,-0.149,-0.101,-0.098,-0.099,-0.115,-0.094,-0.068,-0.14,-0.207,-0.18,-0.075,-0.184,0.031,-0.068,-0.068,-0.007,-0.184,-0.11,-0.178,-0.202,-0.107,0.032,-0.156,-0.042,-0.002,0.005,-0.149,-0.218,-0.331,-0.216,-0.164,-0.211,0.08,0.007,0.029,0.015,-0.278,-0.013,0.038,-0.131,-0.035,-0.086,0.014,-0.027,0.035,0.002,-0.056,-0.121,-0.001,-0.048,0.08,-0.157,0.127,-0.015,-0.105,-0.007,-0.001,-0.008
"22",20,60001,62850001,359,-0.034,0.096,-0.037,-0.03,-0.058,-0.026,-0.087,-0.004,-0.035,0.007,-0.029,-0.015,-0.012,0.035,-0.025,-0.025,-0.019,0.016,-0.082,-0.028,-0.021,-0.021,0.026,0.025,-0.017,-0.002,-0.019,-0.027,-0.162,-0.01,-0.003,-0.019,-0.124,-0.09,-0.096,-0.096,-0.096,-0.07,-0.076,-0.126,-0.333,-0.157,-0.113,-0.156,-0.128,-0.033,-0.242,-0.16,-0.182,-0.117,-0.17,-0.178,-0.12,-0.031,-0.164,-0.043,-0.033,-0.008,-0.152,-0.272,-0.306,-0.235,-0.14,-0.186,0.074,-0.138,-0.013,-0.035,-0.22,-0.023,0.012,-0.185,-0.033,-0.087,-0.013,-0.055,0.019,-0.023,-0.038,0.058,-0.042,-0.124,0.051,-0.032,-0.005,-0.02,-0.042,-0.01,-0.024,-0.039
"23",21,10697897,48050001,157,-0.005,0.249,-0.016,-0.005,0.016,0.018,0.204,0.007,-0.022,0.132,-0.024,-0.014,-0.003,0.111,-0.022,-0.018,-0.023,0.013,0.065,-0.024,-0.019,-0.012,0.03,0.027,-0.041,-0.001,-0.011,-0.015,0.032,0.013,0.014,-0.034,-0.06,-0.052,-0.035,-0.054,-0.038,0.216,-0.019,-0.067,-0.195,-0.06,-0.128,-0.017,-0.03,-0.128,-0.087,0.178,-0.076,-0.042,-0.083,-0.084,-0.041,-0.012,-0.043,0.004,-0.106,-0.01,-0.04,-0.158,-0.2,-0.093,-0.095,-0.118,0.148,-0.09,-0.036,-0.036,-0.082,-0.009,0.029,-0.076,0.001,-0.04,-0.29,-0.009,0.039,-0.013,-0.019,0.082,-0.004,-0.059,-0.01,-0.003,-0.07,0,0.005,0.017,0.039,0
"24",22,16050001,51200001,300,0.016,-0.029,-0.005,0.011,-0.069,0.04,-0.039,-0.189,0,-0.153,0.02,-0.015,-0.263,-0.153,0.042,0.027,0.058,-0.102,0.034,0.045,0.033,-0.263,-0.05,-0.003,0.065,0.053,-0.147,-0.106,-0.395,-0.079,0.046,-0.287,-0.098,-0.223,-0.08,-0.067,-0.04,-0.053,-0.046,-0.18,-0.306,-0.18,-0.393,-0.635,-0.139,-0.195,-0.27,-0.164,-0.213,-0.578,-0.473,-0.189,-0.065,0.061,-0.192,-0.216,0.033,0.053,-0.153,-0.317,-0.334,-0.201,-0.152,-0.724,0.005,-0.006,0.094,0.079,-0.287,0.023,0.07,-0.135,0.005,-0.079,-0.02,0.007,-0.122,0.07,0.001,0.074,0.008,-0.007,0.085,-0.091,0.009,0.036,0.001,-0.238,-0.242,-0.222
