"chrom","start.pos","end.pos","n.probes","GSM2402976_6929718027_R03C02","GSM2402979_6929689149_R01C01","GSM2402980_6929689149_R03C01","GSM2402998_6929718001_R03C02","GSM2403064_6229017057_R01C01","GSM2403126_6285641012_R03C02","GSM2403182_6752625107_R05C02","GSM2403183_6752625106_R01C02","GSM2403184_6752625107_R01C02","GSM2403185_6752625107_R04C02","GSM2403191_6929806024_R04C02","GSM2403192_6929806024_R06C02","GSM2403193_6929806038_R01C01","GSM2403194_6929806038_R02C01","GSM2403195_6929806038_R03C01","GSM2403197_6929806038_R05C01","GSM2403200_6929806038_R06C02","GSM2403201_6929806046_R01C01","GSM2403202_6929806046_R02C01","GSM2403204_6929806046_R04C01","GSM2403206_6929806046_R03C02","GSM2403208_6929806046_R05C02","GSM2403210_6929806048_R05C01","GSM2403212_6929806048_R01C02","GSM2403213_6929806048_R02C02","GSM2403214_6929806048_R04C02","GSM2403215_6929806048_R05C02","GSM2403216_6929806048_R06C02","GSM2403228_6752625135_R06C02","GSM2403231_7310440009_R06C01","GSM2403497_8622007061_R04C01","GSM2403601_8622007106_R05C02","GSM2403791_9296930089_R02C02","GSM2403792_9296930089_R03C02","GSM2403793_9296930047_R04C02","GSM2403794_9296930047_R05C02","GSM2403795_9296930052_R01C01","GSM2403796_9296930052_R04C01","GSM2403797_9296930052_R05C01","GSM2403799_9296930052_R01C02","GSM2403800_9296930066_R01C01","GSM2403801_9296930066_R02C01","GSM2403802_9296930066_R03C01","GSM2403803_9296930066_R01C02","GSM2403804_9296930066_R02C02","GSM2403805_9296930066_R03C02","GSM2403808_9296930076_R01C02","GSM2403809_9296930076_R02C02","GSM2403810_9296930089_R01C01","GSM2403811_9296930089_R03C01","GSM2403812_9296930089_R04C01","GSM2403813_9296930089_R06C01","GSM2403853_9305651003_R06C02","GSM2403856_9305651003_R02C01","GSM2403868_9305651013_R01C01","GSM2403869_9305651027_R05C01","GSM2403940_9305651053_R01C02","GSM2403981_6026818094_R05C02","GSM2404035_9340996050_R04C02","GSM2404049_9373550018_R01C02","GSM2404051_9373550034_R05C02","GSM2404052_9373550035_R06C01","GSM2404053_9373550035_R01C02","GSM2404055_9373550018_R01C01","GSM2404093_9374342010_R01C01","GSM2404283_9422491056_R01C01","GSM2404400_9426020061_R01C02","GSM2404404_9426020061_R01C01","GSM2404431_9426021175_R06C01","GSM2405080_9969477098_R01C01","GSM2940754_10006823069_R02C02","GSM2940825_200325530023_R01C02","GSM2940907_200397540001_R04C02","GSM2940982_3998523057_R06C02","GSM2940993_3998546128_R05C01","GSM2941084_3998909073_R02C01","GSM2941182_3999078120_R05C02","GSM2941198_3999095103_R05C01","GSM2941204_3999095104_R04C02","GSM2941236_3999547142_R05C02","GSM2941280_3999834115_R01C01","GSM2941334_9340996058_R06C01","GSM2941355_9376561024_R04C01","GSM2941388_9407201028_R04C02","GSM2941530_9721366149_R05C02","GSM2941534_9721366150_R03C01","GSM2941642_9878820140_R01C02","GSM2941747_9969477055_R05C01","GSM2941766_9969477074_R04C02","GSM2941798_9969477107_R03C01"
"11",10,60001,135400001,840,0.01,0.009,0.04,0.033,0.051,0.004,0.095,0.052,0.02,-0.136,0.01,0.031,0.039,-0.197,0.022,0.03,0.019,-0.225,-0.021,0.02,0.022,0.035,-0.044,0.082,0.004,0.05,0.032,0.031,-0.239,0.06,0.049,-0.356,0.065,0.005,0.06,0.038,0.035,0.103,0.025,0.102,0.011,0.092,-0.177,0.172,0.113,-0.231,0.073,0.087,0.14,0.103,0.129,0.145,0.035,0.027,-0.172,-0.026,-0.069,0.02,0.086,-0.034,0.125,0.138,0.095,-0.306,-0.007,-0.309,0.011,0.021,0.046,-0.002,0.078,0.092,0.05,0.039,-0.076,0.027,0.075,0.017,0.095,0.015,0.03,-0.012,0.022,0.053,-0.042,0.014,0.051,0.076,0.081,0.039
"12",11,60001,48200001,319,-0.012,0.019,0.049,0.042,0.085,-0.177,0.153,-0.175,0.041,-0.131,0.011,0.033,0.025,-0.077,0.021,0.03,-0.019,-0.108,-0.251,0.02,0.022,-0.012,-0.033,-0.32,-0.005,-0.159,0.036,0.025,0.107,0.057,-0.002,-0.125,0.042,0.108,0.033,-0.022,0.001,-0.37,-0.006,-0.108,0.207,-0.418,0.001,0.123,-0.032,-0.271,0.043,0.049,-0.284,0.077,0.115,0.114,-0.01,0.002,0.053,-0.266,0.008,-0.074,0.056,0.02,0.072,-0.53,0.068,0.162,-0.237,-0.263,0.003,-0.019,-0.513,0.048,0.01,-0.058,0.045,-0.047,0.038,-0.001,0.015,0.002,-0.074,0.025,-0.141,-0.096,0.046,0.04,-0.084,-0.064,0.022,0.065,-0.104,0.003
"13",11,48900001,134800001,595,0.026,0.038,0.064,0.048,0.052,-0.126,0.15,0.189,0.069,-0.107,-0.004,0.025,0.08,-0.071,0.016,0.039,-0.025,0.058,-0.054,0.002,0.026,0.034,-0.011,0.06,-0.015,-0.046,0.049,0.04,0.159,0.058,0.05,0.175,0.084,0.15,0.059,0.018,0.167,-0.115,0.02,0.129,0.268,0.273,0.053,0.102,0.176,0.233,0.083,0.107,0.062,0.042,0.146,0.2,0.012,0.002,0.117,-0.139,-0.04,0.007,0.099,0.091,0.135,0.043,0.103,0.234,-0.063,-0.104,-0.018,-0.06,0.077,0.141,0.061,-0.023,0.018,0.094,0.042,-0.003,0.066,0.001,0.011,0.041,-0.078,0.106,0.04,0.059,-0.173,0.016,-0.02,0.05,0.06,0.007
"14",12,145740,133700001,848,0.025,0.017,0.04,0.035,0.016,0.033,-0.042,0.051,0.018,-0.146,0.012,0.027,0.033,0.032,0.012,0.022,0.012,0.031,-0.027,0.011,0.014,0.026,-0.051,0.087,-0.012,0.046,0.024,0.025,0.121,0.054,-0.002,0.03,0.05,0.128,0.039,0.026,0.029,0.08,0.015,0.083,-0.024,0.087,0.136,0.239,0.085,0.021,0.016,0.057,0.113,0.128,0.108,0.126,0.001,0.01,0.117,0.049,0.055,0.022,0.06,-0.014,0.115,0.071,0.101,0.194,0.114,0.05,-0.003,0.002,0.081,0.043,0.073,0.035,0.041,0.177,0.054,0.125,0.08,-0.001,0.039,0.155,0.014,-0.065,0.085,0.04,-0.056,0.02,0.031,-0.034,0.065,0.011
"15",13,19020001,115050001,431,0.005,0.048,0.059,0.037,0.099,-0.022,0.1,0.032,0.035,0.153,-0.021,-0.016,0.011,0.081,-0.019,0.009,-0.071,0.011,-0.037,-0.036,-0.01,0.006,-0.057,0.088,-0.14,-0.011,-0.015,-0.002,-0.057,0.019,-0.017,-0.051,0.196,0.267,0.14,0.111,-0.164,0.213,0.053,0.252,0.145,0.247,0.25,0.176,0.236,0.378,0.39,0.227,0.329,0.285,0.278,0.317,0.073,-0.027,-0.148,0.109,0.062,-0.023,0.206,0.118,0.395,0.235,0.247,0.39,0.045,-0.202,-0.176,-0.166,0.294,0.013,0.045,0.128,0.052,0.059,0.009,-0.006,0.068,-0.064,0.061,0.19,0.03,-0.126,-0.168,0.068,-0.008,0.03,0.074,0.028,0.018,-0.015
"16",14,19000001,106950001,528,0.021,-0.002,0.023,0.025,0.025,0.024,0.089,0.049,-0.054,0.141,0.005,0.032,0.04,0.024,0.025,0.018,0.039,0.062,-0.01,0.028,0.024,0.033,0.067,0.061,0.026,0.05,0.03,0.02,0.066,0.059,0.042,0.046,0.013,0.058,0.012,0.005,-0.119,0.047,0.003,0.025,-0.096,0.014,-0.073,0.017,0.019,0.142,-0.029,-0.011,0.028,0.059,0.051,-0.131,-0.016,0.029,0.051,0.032,-0.087,0.034,0.006,0.092,0.009,0.006,-0.189,0.077,-0.089,0.063,0.055,0.077,-0.025,-0.061,0.053,-0.008,0.037,-0.002,0.063,0.023,0.081,0.018,0.025,-0.013,0.007,-0.038,-0.192,0.026,0.067,0.033,0.046,0.073,0.047,0.028
"17",15,20000001,102300001,571,0.028,0.208,0.033,0.029,0.03,0.046,-0.034,0.055,0.012,0.04,0.024,0.041,0.049,0.182,0.033,0.032,0.041,0.072,0.003,0.037,0.031,0.044,0.076,0.069,0.04,0.062,0.037,0.03,0.032,0.067,0.051,0.061,0.025,0.085,0.028,0.012,0.019,-0.141,0.018,0.039,-0.061,0.048,-0.048,0.101,0.046,0.166,0.028,0.024,0.062,0.074,0.063,0.07,-0.002,0.048,0.061,0.039,0.063,0.048,0.017,-0.044,0.032,0.049,0.052,0.09,0.14,0.089,0.068,0.085,0.015,0.045,0.072,0.023,0.044,0.164,0.076,0.043,0.027,0.033,0.038,0.147,0.019,-0.005,0.024,0.04,-0.026,0.042,0.046,-0.24,-0.013,0.039
"18",16,60001,90150001,624,0.047,0.029,0.056,0.052,-0.024,-0.162,-0.025,0.062,0.043,-0.023,0.033,0.049,0.053,0.051,0.041,0.048,0.043,0.082,0.135,0.037,0.042,0.052,0.109,0.101,0.04,0.066,0.055,0.055,0.126,0.067,0.068,0.074,0.076,0.161,0.07,0.047,0.023,0.112,0.038,0.126,0.029,0.12,0.081,0.203,0.124,0.088,0.251,0.118,0.162,0.173,0.148,0.172,0.054,0.058,0.215,0.055,0.063,0.041,0.107,0.186,0.161,0.192,0.077,0.21,-0.044,0.11,0.034,-0.001,0.098,0.027,0.099,0.15,0.054,0.048,0.063,0.038,0.07,0.049,0.05,0.154,0.039,0.032,0.012,0.059,-0.021,0.036,-0.002,0.064,0.087,0.038
"19",17,1,81050001,814,-0.043,-0.089,-0.061,-0.041,-0.152,0.02,-0.091,-0.018,-0.055,-0.015,-0.025,-0.05,-0.014,0.012,-0.032,-0.031,-0.003,0.011,0.007,-0.02,-0.024,-0.025,0.012,-0.002,0.072,-0.006,-0.017,-0.031,-0.013,-0.015,-0.007,-0.004,-0.061,-0.03,-0.08,-0.074,-0.047,-0.036,-0.076,-0.074,-0.025,-0.071,-0.147,-0.08,-0.065,0.065,-0.117,-0.092,-0.069,-0.023,-0.043,-0.056,-0.056,0.003,0.111,-0.037,-0.034,0.009,-0.082,0.021,-0.085,0.118,-0.03,-0.015,0.072,0.115,0.069,0.089,-0.075,-0.018,0.03,0.033,-0.042,-0.073,0.023,-0.024,0.034,0.01,-0.061,0.017,-0.028,0.217,-0.019,-0.055,-0.045,-0.031,-0.045,-0.019,0,-0.02
"20",18,10001,77950001,243,-0.101,-0.14,-0.122,-0.099,-0.048,-0.02,-0.143,-0.067,-0.113,-0.069,-0.084,-0.085,-0.071,-0.3,-0.087,-0.099,-0.077,-0.056,-0.106,-0.08,-0.087,-0.083,-0.047,-0.063,-0.061,-0.068,-0.09,-0.1,-0.047,-0.076,-0.098,-0.07,-0.118,-0.412,-0.115,-0.11,-0.073,-0.292,-0.117,-0.155,-0.23,-0.122,-0.396,-0.125,-0.111,-0.209,-0.171,-0.129,-0.115,-0.418,-0.103,-0.133,-0.085,-0.054,-0.379,-0.057,-0.071,-0.034,-0.119,-0.026,-0.158,-0.1,-0.062,-0.083,-0.264,-0.067,0.021,0.113,-0.078,-0.06,-0.413,0.02,-0.087,-0.164,-0.093,-0.039,0.001,-0.066,-0.105,-0.025,-0.046,-0.045,-0.025,-0.104,-0.076,-0.059,-0.338,-0.052,-0.09,-0.047
"21",19,60001,59050001,711,0.003,-0.015,0,0.013,-0.168,0.059,-0.06,0.029,-0.003,0.073,0.003,-0.028,0.022,0.072,0.006,0.007,0.021,0.049,0.028,0.006,0.01,0.014,0.052,0.055,0.026,0.03,0.02,-0.006,0.079,0.028,0.018,0.037,-0.041,0.034,-0.036,-0.044,-0.059,-0.005,-0.032,-0.008,-0.017,-0.02,0.066,0.026,0.162,0.106,0.116,0.131,0.021,0.044,0.001,0.001,-0.036,0.057,0.091,0.002,0.026,0.03,-0.036,0.021,-0.01,0.009,-0.005,0.064,0.101,0.045,0.048,0.044,-0.037,0.014,0.073,0.057,-0.011,-0.037,0.033,0.002,0.052,0.017,-0.027,-0.08,0.026,0.011,0.103,-0.133,0.151,0.004,-0.082,0.016,0.026,0.012
"22",20,60001,62850001,359,0.003,0.148,0.014,0.02,-0.019,-0.01,-0.051,0.036,0.012,0.068,0.003,0.018,0.022,0.083,0.006,0.012,0.002,0.052,-0.06,-0.002,0.008,0.013,0.069,0.07,-0.008,0.024,0.015,0.018,-0.061,0.022,0.031,0.026,0,0.065,-0.019,-0.031,-0.027,0.032,-0.025,0.029,-0.117,0.019,0.047,0.074,0.014,0.156,-0.034,-0.002,0.054,0.063,0.022,0.045,-0.043,-0.005,0.082,0.01,0.008,0.027,-0.022,-0.015,0.037,0,0.034,0.106,0.108,-0.098,-0.007,-0.036,0.023,0.014,0.062,-0.006,0.005,-0.026,0.011,-0.027,0.048,-0.003,0.002,0.119,-0.017,-0.08,0.086,0.008,0.015,0.01,-0.003,0.019,0.017,-0.02
"23",21,10697897,48050001,157,0.016,0.282,0.016,0.018,0.041,0.051,0.23,0.031,-0.001,0.165,-0.007,0.009,0.014,0.134,0.002,0.001,-0.001,0.034,0.091,-0.005,0,0.01,0.053,0.05,-0.015,0.023,0.009,0.013,0.119,0.031,0.038,0.001,0.043,0.082,0.028,0,0.016,0.295,0.011,0.06,-0.02,0.085,0.001,0.182,0.086,0.026,0.089,0.303,0.114,0.104,0.083,0.1,0.036,0.023,0.2,0.049,-0.085,0.01,0.062,0.082,0.107,0.131,0.056,0.139,0.179,-0.038,0.014,0.025,0.144,0.014,0.06,0.115,0.023,0.006,-0.27,0.026,0.062,0.013,0.007,0.115,0.023,0.021,0.013,0.018,-0.038,0.015,0.028,0.038,0.062,0.025
"24",22,16050001,51200001,300,0.035,-0.011,0.016,0.032,-0.05,0.063,-0.032,-0.188,0.017,-0.149,0.031,0.001,-0.264,-0.152,0.052,0.043,0.074,-0.093,0.042,0.057,0.047,-0.258,-0.038,0.007,0.089,0.069,-0.139,-0.089,-0.318,-0.066,0.061,-0.27,-0.01,-0.101,-0.025,-0.027,0.006,0.014,-0.021,-0.064,-0.139,-0.043,-0.277,-0.452,-0.03,-0.042,-0.102,-0.048,-0.032,-0.45,-0.31,-0.007,0.003,0.08,0.035,-0.186,0.05,0.067,-0.055,-0.099,-0.038,0.016,-0.011,-0.476,0.019,0.026,0.127,0.121,-0.071,0.045,0.083,0.045,0.025,-0.039,-0.009,0.034,-0.112,0.084,0.016,0.096,0.027,0.056,0.095,-0.079,0.015,0.039,0.008,-0.229,-0.239,-0.209
