"chrom","start.pos","end.pos","n.probes","GSM2404023_9340996014_R04C02","GSM2404025_9340996014_R05C01","GSM2404131_9406921073_R04C01","GSM2404499_9444375017_R01C01","GSM2404617_9741950021_R01C02","GSM2404659_9741950109_R06C01","GSM2404661_9741950109_R02C02","GSM2404667_9741950099_R04C02","GSM2404674_9741950100_R06C02","GSM2405005_9969477032_R06C01","GSM2405009_9969477029_R06C02","GSM2405213_9878820156_R06C02","GSM2405380_3999834089_R06C01","GSM2941143_3998998187_R02C01","GSM2941174_3999078119_R01C01","GSM2941321_9297949139_R05C02","GSM2941398_9420867051_R04C01","GSM2941414_9444374133_R04C01","GSM2941462_9533774088_R02C02","GSM2941660_9878827210_R01C02","GSM2941662_9878827210_R02C02","GSM2941668_9878827210_R06C01"
"11",10,60001,135400001,840,-0.125,-0.11,0.004,-0.244,0.107,-0.211,0.013,-0.346,-0.353,0.067,0.065,0.013,0.004,-0.069,-0.085,-0.275,-0.112,-0.138,-0.098,0.032,-0.007,0.036
"12",11,60001,134800001,914,0.09,-0.139,-0.017,0.033,-0.004,-0.053,-0.032,0.004,-0.19,0.038,0.03,0.009,-0.118,0.126,-0.021,0.05,-0.226,-0.124,-0.027,-0.016,-0.022,-0.013
"13",12,145740,133700001,848,0.159,-0.056,-0.009,-0.039,-0.008,0.208,0.001,0.023,0.176,0.054,0.043,0.001,0.098,0.048,0.014,-0.01,0.041,0.039,-0.008,0.007,-0.011,0.007
"14",13,19020001,115050001,431,0.182,-0.027,0.015,-0.108,-0.063,0.014,-0.014,0.002,0.108,0.112,0.065,-0.128,-0.139,0.023,-0.058,-0.312,-0.129,-0.164,-0.024,0.057,0.037,0.05
"15",14,19000001,106950001,528,-0.219,-0.13,-0.004,0.066,0.028,-0.086,0.002,0.026,-0.256,0.037,0.036,0.043,-0.278,0.042,-0.12,0.052,-0.054,0.092,-0.103,-0.017,-0.02,0.002
"16",15,20000001,102300001,571,-0.106,0.033,-0.001,0.076,0.089,-0.031,0.021,0.048,-0.091,0.059,0.052,0.061,0.1,0.266,0.068,0.062,0.029,0.026,-0.112,-0.016,-0.038,0.015
"17",16,60001,90150001,624,0.181,0.178,-0.017,0.043,0.032,0.119,0.036,0.077,0.187,0.045,0.073,0.047,0.219,-0.036,-0.05,0.082,0.061,0.066,-0.012,0.024,0.027,0.032
"18",17,1,81050001,814,-0.045,-0.048,-0.071,-0.006,0.024,0.11,0.022,0.012,0.118,-0.025,0.026,0.034,0.07,-0.028,0.052,-0.006,0.025,-0.033,-0.129,-0.041,-0.014,-0.059
"19",18,10001,77950001,243,-0.2,0.038,-0.053,-0.279,-0.165,0.004,-0.035,0.011,-0.027,-0.027,-0.012,-0.056,0.002,-0.454,0.042,-0.073,-0.112,0.051,-0.089,-0.013,-0.026,-0.073
"20",19,60001,59050001,711,-0.029,-0.034,-0.082,0.005,-0.001,0.073,0.016,0.033,-0.005,-0.014,0.021,0.036,-0.134,-0.03,-0.058,0.038,0.018,0.052,-0.086,-0.023,0.16,0.027
"21",20,60001,62850001,359,0.034,-0.075,-0.084,0.005,-0.028,0.133,-0.046,-0.017,0.09,-0.006,-0.009,0.015,-0.031,-0.052,-0.043,0.034,0.091,0.086,-0.086,-0.063,-0.058,-0.048
"22",21,10697897,48050001,157,-0.125,0.14,0.008,0.052,0.084,-0.019,0.029,0.082,-0.295,0.045,0.073,0.001,-0.332,0.018,0.047,0.043,0.048,-0.293,-0.124,0.04,0.028,0.031
"23",22,16050001,51200001,300,-0.007,-0.02,-0.028,0.067,0.057,-0.079,0.044,0.064,0.161,0.021,0.058,0.108,0.058,0.016,0.02,0.069,0.02,0.112,0.006,-0.021,-0.003,-0.004
