"chrom","start.pos","end.pos","n.probes","GSM2403000_6929718020_R05C02","GSM2403047_6229009095_R06C02","GSM2403061_6229017023_R04C02","GSM2403067_6229017022_R04C02","GSM2403499_8622007061_R02C02","GSM2403501_8622007061_R05C02","GSM2403515_8622007070_R03C02","GSM2403518_8622007066_R04C01","GSM2403525_8622007067_R02C01","GSM2403526_8622007069_R03C01","GSM2403527_8622007069_R02C01","GSM2403621_8622007130_R02C01","GSM2403720_9007225017_R04C01","GSM2403764_9283265033_R01C02","GSM2403765_9283265033_R06C02","GSM2403894_9297949146_R04C02","GSM2403895_9297949146_R05C02","GSM2404060_9373551039_R02C01","GSM2404129_9379086124_R05C02","GSM2404130_9379086129_R01C01","GSM2404265_9379086095_R06C02","GSM2404585_9611519028_R04C01","GSM2404695_6969568075_R02C02","GSM2404696_8784241104_R01C02","GSM2404717_9721366138_R06C01","GSM2404810_9533774067_R01C01","GSM2405042_9969477079_R05C02","GSM2405409_9407210157_R03C01","GSM2405412_9741950038_R06C02","GSM2405413_9741950039_R02C02","GSM2405415_9741950056_R02C01","GSM2405416_9741950056_R02C02","GSM2405418_9741950086_R05C02","GSM2405423_9741950173_R06C02","GSM2405523_3998909025_R02C01","GSM2405524_3998909025_R05C01","GSM2405525_3998909025_R01C02","GSM2405535_9993943073_R04C01","GSM2405590_3999078079_R02C01","GSM2940796_10006823160_R01C02","GSM2940798_10006823160_R02C02","GSM2941370_9379086132_R05C01","GSM2941544_9741950008_R01C01"
"11",8,10001,146250001,726,0.126,-0.063,0.143,-0.051,0.069,-0.081,-0.084,-0.057,-0.086,0.125,0.084,-0.167,-0.07,0.15,-0.014,-0.069,0.026,-0.041,-0.014,0.16,-0.112,-0.043,-0.037,0.069,0.132,-0.033,-0.052,0.068,-0.098,-0.075,-0.009,-0.081,-0.103,0.046,-0.027,0.133,0.117,-0.036,0.188,0.001,0.11,-0.051,-0.009
"12",9,10001,141000001,383,0.001,0,0.046,0.004,-0.111,0.009,-0.014,-0.006,-0.037,-0.006,-0.038,-0.02,-0.059,0,0.029,-0.008,0.026,-0.017,0.024,0.02,-0.009,-0.051,0.004,0.024,0.019,0.019,0.008,0.012,-0.028,-0.001,0.02,-0.017,-0.133,-0.143,-0.072,0.01,-0.101,0.112,0.041,-0.057,-0.131,-0.04,0.006
"13",10,60001,135400001,840,-0.177,-0.041,0.044,-0.017,-0.096,-0.054,-0.036,-0.021,-0.037,0.009,-0.04,-0.034,-0.094,-0.095,-0.311,-0.299,-0.18,-0.014,-0.183,-0.186,-0.051,-0.054,-0.016,-0.273,-0.011,-0.031,-0.208,-0.18,-0.039,-0.03,-0.103,-0.047,-0.081,-0.12,-0.042,-0.051,-0.022,-0.036,0.023,-0.031,-0.033,-0.093,-0.059
"14",11,60001,134800001,914,-0.024,-0.034,-0.03,-0.008,-0.143,-0.023,-0.041,-0.02,-0.049,0.036,-0.176,-0.182,-0.063,-0.013,0.014,-0.053,-0.201,-0.041,0.005,-0.004,-0.048,-0.152,0.012,-0.004,-0.009,-0.004,-0.029,-0.062,-0.048,-0.046,-0.04,-0.042,-0.125,-0.021,-0.005,0.075,-0.032,-0.021,-0.141,-0.045,-0.043,-0.109,0
"15",12,145740,133700001,848,-0.016,-0.055,-0.082,-0.029,0.004,-0.042,0.133,0.033,-0.048,0.027,-0.077,-0.028,-0.057,-0.004,0.028,-0.077,-0.032,-0.027,-0.003,-0.007,-0.069,-0.064,-0.005,-0.035,-0.03,-0.002,-0.032,-0.082,-0.065,-0.045,-0.009,-0.041,-0.121,-0.012,-0.002,0.052,0.158,0.01,0.124,0.011,0.01,-0.047,0.045
"16",13,19020001,115050001,431,-0.066,-0.188,-0.033,-0.08,-0.076,-0.112,-0.057,-0.035,-0.012,0.067,-0.053,0.081,0.001,-0.072,-0.053,-0.196,-0.194,-0.042,-0.066,-0.081,-0.163,-0.033,-0.049,-0.129,-0.084,-0.056,-0.075,-0.161,-0.088,-0.101,-0.072,-0.065,-0.028,0.029,0.096,-0.007,0.034,-0.061,-0.174,-0.079,-0.09,-0.144,-0.101
"17",14,19000001,106950001,528,-0.026,-0.05,-0.102,-0.008,-0.161,-0.028,-0.063,-0.039,-0.071,-0.071,-0.095,-0.084,-0.102,-0.038,0.01,-0.233,-0.007,-0.035,-0.167,-0.015,-0.043,-0.087,-0.01,-0.035,-0.02,-0.004,-0.02,-0.051,-0.057,-0.043,0,-0.052,-0.159,-0.049,-0.369,0.046,-0.059,-0.044,0.126,-0.039,-0.047,-0.035,-0.07
"18",15,20000001,102300001,571,-0.023,-0.117,-0.096,-0.008,-0.15,-0.022,0.077,-0.053,-0.071,-0.014,-0.059,-0.101,-0.106,-0.034,0.014,-0.078,-0.021,-0.017,0.019,-0.008,-0.029,-0.078,-0.007,-0.018,-0.016,-0.014,-0.012,-0.017,-0.033,-0.053,0.004,-0.143,-0.137,-0.033,-0.04,0.06,-0.047,-0.248,-0.131,-0.05,-0.06,-0.184,-0.011
"19",16,60001,34750001,281,0.022,0.024,-0.059,0.028,0.07,0.106,0.01,-0.017,-0.051,-0.049,-0.016,-0.261,-0.081,0.01,0.04,0.013,-0.068,0,0.01,0.036,0.023,-0.041,0.01,0.054,0.021,0.011,0.012,0.021,-0.007,0.02,0.008,-0.027,-0.04,-0.019,-0.092,-0.107,-0.174,-0.007,-0.082,-0.009,0.008,-0.038,0.03
"20",16,46385802,90150001,343,-0.272,-0.353,-0.061,0.004,-0.16,-0.373,-0.338,-0.403,-0.46,-0.405,-0.023,-0.231,-0.116,-0.399,0.037,0.005,-0.095,0.016,0.007,-0.181,0.007,-0.168,-0.333,-0.321,-0.387,-0.316,-0.014,0.022,-0.063,-0.25,0.001,-0.442,-0.029,-0.061,-0.258,-0.027,-0.087,-0.009,-0.085,-0.362,-0.37,-0.184,-0.281
"21",17,1,81050001,814,-0.005,-0.012,0.071,0.018,0.078,0.002,0.127,0.052,-0.005,-0.103,-0.075,-0.126,-0.072,-0.067,-0.027,0.066,0.091,-0.066,0.036,0.024,-0.035,0.005,-0.071,-0.022,-0.053,-0.029,0.024,0.019,-0.064,0.035,0.04,-0.063,-0.142,-0.024,-0.035,-0.046,-0.096,0.07,0.088,0.06,0.06,0.015,0.075
"22",18,10001,77950001,243,-0.145,-0.09,-0.3,-0.09,-0.107,-0.119,-0.123,-0.148,-0.129,-0.099,-0.125,-0.112,-0.128,-0.137,-0.117,-0.165,-0.174,-0.123,-0.292,-0.111,-0.145,-0.11,-0.119,-0.145,-0.12,-0.107,-0.104,-0.111,-0.127,-0.108,-0.077,-0.114,-0.16,-0.103,-0.174,-0.133,-0.15,0.025,-0.064,-0.142,-0.154,-0.138,-0.167
"23",19,60001,59050001,711,-0.026,-0.011,-0.118,-0.001,0.029,-0.01,-0.039,-0.078,-0.13,-0.139,-0.1,-0.175,-0.195,-0.042,-0.033,-0.038,0.02,-0.052,-0.072,0,-0.01,-0.11,-0.029,0.017,-0.029,-0.038,-0.035,-0.008,-0.07,-0.013,-0.01,-0.071,-0.14,-0.106,-0.224,-0.351,-0.087,-0.029,0.004,-0.055,-0.034,-0.046,-0.052
"24",20,60001,62850001,359,-0.039,-0.031,-0.06,-0.02,0.006,-0.027,-0.065,-0.066,-0.074,-0.058,-0.098,-0.097,-0.106,-0.036,-0.03,-0.067,-0.006,-0.061,-0.043,-0.016,-0.033,-0.065,-0.033,-0.02,-0.024,-0.019,-0.045,-0.042,-0.046,-0.025,-0.02,-0.044,-0.144,-0.068,-0.071,0.038,-0.133,-0.01,0.004,-0.052,-0.052,-0.037,-0.012
"25",21,10697897,48050001,157,0.125,-0.013,0.034,0,0.021,-0.014,-0.021,-0.012,0.09,0,0.198,0.175,-0.065,0.003,0.013,-0.049,0.086,-0.013,0.005,-0.011,0.167,-0.006,-0.024,-0.015,-0.011,0.063,-0.006,-0.02,-0.033,-0.016,0.013,-0.021,-0.041,-0.012,-0.076,0.108,0.128,-0.016,0.211,-0.016,-0.019,0.036,-0.015
"26",22,16050001,51200001,300,0.003,0.037,-0.072,0.021,0.066,0.036,-0.025,-0.031,-0.069,-0.104,-0.059,-0.16,-0.1,-0.005,0.025,0.035,0.096,-0.017,0.004,-0.05,-0.097,-0.049,-0.01,0.05,0.024,0.009,0.025,0.09,0.01,0.049,0.057,-0.003,-0.11,-0.047,-0.142,-0.218,-0.202,0.014,0.144,0.004,0.013,-0.001,0.019
