"chrom","start.pos","end.pos","n.probes","GSM2403000_6929718020_R05C02","GSM2403047_6229009095_R06C02","GSM2403061_6229017023_R04C02","GSM2403067_6229017022_R04C02","GSM2403499_8622007061_R02C02","GSM2403501_8622007061_R05C02","GSM2403515_8622007070_R03C02","GSM2403518_8622007066_R04C01","GSM2403525_8622007067_R02C01","GSM2403526_8622007069_R03C01","GSM2403527_8622007069_R02C01","GSM2403621_8622007130_R02C01","GSM2403720_9007225017_R04C01","GSM2403764_9283265033_R01C02","GSM2403765_9283265033_R06C02","GSM2403894_9297949146_R04C02","GSM2403895_9297949146_R05C02","GSM2404060_9373551039_R02C01","GSM2404129_9379086124_R05C02","GSM2404130_9379086129_R01C01","GSM2404265_9379086095_R06C02","GSM2404585_9611519028_R04C01","GSM2404695_6969568075_R02C02","GSM2404696_8784241104_R01C02","GSM2404717_9721366138_R06C01","GSM2404810_9533774067_R01C01","GSM2405042_9969477079_R05C02","GSM2405409_9407210157_R03C01","GSM2405412_9741950038_R06C02","GSM2405413_9741950039_R02C02","GSM2405415_9741950056_R02C01","GSM2405416_9741950056_R02C02","GSM2405418_9741950086_R05C02","GSM2405423_9741950173_R06C02","GSM2405523_3998909025_R02C01","GSM2405524_3998909025_R05C01","GSM2405525_3998909025_R01C02","GSM2405535_9993943073_R04C01","GSM2405590_3999078079_R02C01","GSM2940796_10006823160_R01C02","GSM2940798_10006823160_R02C02","GSM2941370_9379086132_R05C01","GSM2941544_9741950008_R01C01"
"13",10,60001,82300001,455,0.02,0.029,0.114,0.028,-0.004,0.014,0.026,0.031,0.064,0.075,0.034,0.124,0.061,0.263,-0.135,-0.063,-0.139,0.033,-0.13,-0.025,-0.001,0.021,0.042,-0.085,0.044,0.008,-0.031,-0.125,0.046,0.014,-0.062,0.022,0.092,-0.034,0.101,0.016,0.069,0.034,0.075,0.011,0.01,-0.008,-0.076
"14",10,82400001,135400001,385,-0.324,0.046,0.11,0.035,-0.097,-0.034,0.017,0.019,0.05,0.032,0.022,0.071,-0.006,-0.405,-0.407,-0.441,-0.098,0.029,-0.13,-0.309,0.02,0.003,0.036,-0.358,0.062,0.001,-0.342,-0.076,0.049,0.043,-0.046,0.031,0.045,-0.063,0.039,-0.021,0.019,0.031,0.08,0.021,0.018,0.028,0.055
"15",11,60001,134800001,914,0.028,0.025,0.032,0.039,-0.096,0.024,0.013,0.026,0.044,0.094,-0.103,-0.037,0.058,0.041,0.076,0.005,-0.15,0.002,0.06,0.035,0.007,-0.085,0.067,0.066,0.049,0.036,0.01,-0.002,0.025,0.004,0.01,0.025,0.029,0.056,0.117,0.134,0.041,0.048,-0.096,-0.005,0,-0.025,0.047
"16",12,145740,133700001,848,0.034,0.024,-0.018,0.02,0.059,0.007,0.197,0.084,0.049,0.08,-0.004,0.112,0.068,0.052,0.091,-0.014,0.036,0.016,0.058,0.036,-0.002,0.006,0.053,0.036,0.033,0.038,0.007,-0.005,0.023,0.012,0.041,0.03,0.042,0.066,0.117,0.109,0.24,0.081,0.184,0.059,0.059,0.058,0.096
"17",13,19020001,115050001,431,0.021,-0.103,0.062,-0.002,-0.014,-0.05,0.026,0.058,0.124,0.18,0.052,0.301,0.145,0.016,0.033,-0.141,-0.155,0.027,0.008,-0.02,-0.099,0.059,0.062,-0.033,0,0.013,-0.019,-0.121,0.007,-0.035,-0.005,0.023,0.146,0.155,0.291,0.101,0.174,0.046,-0.102,-0.017,-0.025,-0.061,-0.02
"18",14,19000001,106950001,528,0.011,0.04,-0.045,0.035,-0.117,0.017,-0.012,0.001,0.014,-0.04,-0.038,0.04,0.016,0.009,0.067,-0.168,0.057,0.002,-0.115,0.017,0.022,-0.019,0.04,0.026,0.035,0.027,0.019,0.034,0.029,0.011,0.045,0.016,-0.002,0.017,-0.263,0.092,0.002,0.015,0.18,-0.001,-0.007,0.07,-0.034
"19",15,20000001,102300001,571,0.019,-0.026,-0.035,0.041,-0.104,0.026,0.128,-0.011,0.013,0.02,-0.002,0.021,0.011,0.014,0.071,-0.009,0.045,0.021,0.08,0.027,0.037,-0.02,0.044,0.043,0.043,0.015,0.025,0.066,0.048,0.005,0.047,-0.075,0.017,0.034,0.065,0.109,0.017,-0.194,-0.088,-0.01,-0.022,-0.084,0.029
"20",16,60001,34750001,281,0.058,0.055,-0.017,0.05,0.104,0.131,0.041,0.016,0.022,-0.013,0.034,-0.129,0.014,0.043,0.078,0.042,-0.05,0.03,0.036,0.052,0.047,0.001,0.043,0.093,0.053,0.032,0.035,0.047,0.038,0.048,0.036,0.014,0.09,0.044,0.014,-0.066,-0.118,0.043,-0.06,0.008,0.03,0.008,0.056
"21",16,46385802,90150001,343,-0.242,-0.315,-0.007,0.039,-0.125,-0.352,-0.299,-0.371,-0.383,-0.368,0.036,-0.096,-0.01,-0.368,0.088,0.05,-0.061,0.051,0.047,-0.159,0.044,-0.116,-0.301,-0.268,-0.352,-0.301,0.016,0.062,-0.007,-0.213,0.035,-0.392,0.113,0.008,-0.141,0.016,-0.021,0.053,-0.05,-0.342,-0.344,-0.116,-0.254
"22",17,1,81050001,814,-0.001,0.013,0.095,0.024,0.093,0.016,0.141,0.058,0.038,-0.113,-0.045,-0.053,0.006,-0.057,-0.019,0.099,0.128,-0.048,0.045,0.038,-0.011,0.041,-0.06,0.001,-0.047,-0.024,0.038,0.071,-0.02,0.065,0.064,-0.028,-0.026,0.012,0.02,-0.048,-0.086,0.098,0.111,0.077,0.079,0.071,0.087
"23",18,10001,77950001,243,-0.14,-0.043,-0.281,-0.079,-0.083,-0.095,-0.109,-0.15,-0.088,-0.113,-0.099,-0.058,-0.042,-0.124,-0.103,-0.123,-0.121,-0.103,-0.278,-0.093,-0.106,-0.067,-0.106,-0.121,-0.103,-0.098,-0.086,-0.032,-0.066,-0.063,-0.047,-0.063,-0.031,-0.064,-0.134,-0.141,-0.149,0.057,-0.034,-0.123,-0.135,-0.063,-0.157
"24",19,60001,59050001,711,0.009,0.029,-0.075,0.024,0.06,0.014,-0.005,-0.048,-0.059,-0.104,-0.046,-0.051,-0.094,-0.007,0.008,-0.003,0.045,-0.026,-0.038,0.019,0.019,-0.065,0.01,0.062,0.005,-0.022,-0.012,0.013,-0.019,0.015,0.018,-0.028,-0.009,-0.048,-0.118,-0.319,-0.031,0.02,0.03,-0.032,-0.009,0.008,-0.025
"25",20,60001,62850001,359,0.011,-0.004,-0.001,0.014,0.036,0,-0.028,-0.023,0,-0.003,-0.037,0.047,-0.007,0.007,0.016,-0.035,0.014,-0.021,-0.008,0.016,-0.007,-0.01,0.023,0.036,0.017,0.013,-0.012,-0.033,-0.003,0.009,0.021,0,-0.016,0.012,0.052,0.099,-0.056,0.055,0.036,-0.023,-0.019,0.005,0.031
"26",21,10697897,48050001,157,0.163,0.032,0.083,0.024,0.05,0.013,0.018,0.017,0.158,0.03,0.252,0.304,0.034,0.04,0.053,-0.005,0.131,0.013,0.04,0.01,0.202,0.045,0.013,0.028,0.02,0.081,0.019,0.019,0.015,0.016,0.045,0.022,0.091,0.039,0.021,0.144,0.18,0.035,0.247,0.002,0.005,0.094,0.012
"27",22,16050001,51200001,300,0.026,0.087,-0.032,0.039,0.092,0.053,0.004,-0.006,-0.016,-0.083,-0.018,-0.053,-0.008,0.019,0.063,0.067,0.119,0.003,0.034,-0.041,-0.071,-0.006,0.02,0.077,0.054,0.022,0.044,0.12,0.054,0.072,0.075,0.04,0.013,0.002,-0.046,-0.191,-0.161,0.055,0.163,0.023,0.027,0.056,0.041
