"chrom","start.pos","end.pos","n.probes","GSM2403651_8963311099_R01C01","GSM2403652_8963311099_R02C01","GSM2403653_8963311099_R04C01","GSM2403654_8963311099_R05C01","GSM2403655_8963311099_R06C01","GSM2403656_8963311099_R01C02","GSM2403657_8963311099_R02C02","GSM2403968_9305651054_R03C02","GSM2403998_9305651095_R01C02","GSM2404027_9340996032_R02C01","GSM2404320_9422492035_R03C01","GSM2404448_9420867087_R04C01","GSM2404492_9444375004_R06C02","GSM2404498_9444375014_R05C02","GSM2404503_9444375017_R03C02","GSM2404504_9444375017_R04C02","GSM2404536_9553932010_R05C01","GSM2404563_9553932123_R01C02","GSM2404669_9741950100_R05C01","GSM2404704_9721365197_R03C02","GSM2404705_9721365197_R04C02","GSM2404706_9721365197_R06C02","GSM2404709_9721366135_R06C01","GSM2404710_9721366135_R01C02","GSM2404778_9533774023_R05C02","GSM2404787_9533774018_R04C02","GSM2404918_9968646167_R04C02","GSM2405032_9969477065_R02C01","GSM2405033_9969477080_R06C01","GSM2405034_9969477080_R01C02","GSM2405054_9969477089_R05C02","GSM2405076_9969477102_R01C01","GSM2405153_9878820021_R03C02","GSM2405203_9878820127_R02C02","GSM2405336_3999834003_R01C01","GSM2405337_3999834003_R02C01","GSM2405374_3999834067_R06C02","GSM2405480_3999112147_R06C02","GSM2405481_3999112155_R01C01","GSM2405482_3999112155_R04C01","GSM2405483_3999112155_R05C01","GSM2405484_3999112155_R06C01","GSM2405485_3999112155_R02C02","GSM2405486_3999112155_R03C02","GSM2940782_10006823143_R06C02","GSM2940801_101178130116_R03C02","GSM2940839_200325530024_R06C01","GSM2940875_200362700196_R03C02","GSM2940953_3998523030_R05C01","GSM2940998_3998546129_R02C02","GSM2941031_3998568129_R03C02","GSM2941032_3998568154_R03C01","GSM2941063_3998909062_R01C01","GSM2941087_3998909075_R04C02","GSM2941088_3998909075_R05C02","GSM2941133_3998998159_R05C02","GSM2941134_3998998159_R06C01","GSM2941135_3998998159_R06C02","GSM2941265_3999834070_R04C01","GSM2941273_3999834100_R02C02","GSM2941393_9407201030_R05C01","GSM2941467_9533774097_R04C01","GSM2941486_9553932002_R02C02","GSM2941492_9553932010_R06C02","GSM2941551_9741950025_R03C02","GSM2941552_9741950025_R04C01","GSM2941769_9969477079_R02C01"
"11",11,60001,134800001,914,-0.13,-0.089,0.013,-0.078,-0.074,-0.003,-0.016,-0.021,-0.016,-0.087,-0.079,0,-0.119,-0.068,-0.111,-0.022,-0.139,0.006,-0.426,-0.262,-0.088,-0.016,-0.025,-0.168,-0.114,-0.025,-0.093,-0.112,-0.028,-0.066,-0.019,-0.012,-0.036,-0.169,-0.073,-0.102,-0.043,-0.228,-0.019,-0.088,-0.112,-0.019,-0.026,0.018,-0.074,-0.046,-0.284,-0.104,0.005,-0.012,-0.068,-0.016,-0.195,-0.174,-0.243,-0.066,-0.109,-0.147,-0.112,0.004,-0.045,-0.034,-0.124,-0.035,-0.023,-0.017,-0.011
"12",12,145740,133700001,848,0.052,-0.003,0.013,-0.021,-0.048,-0.012,-0.012,-0.024,0.02,0.012,-0.091,-0.005,-0.044,-0.04,-0.087,-0.154,0.031,-0.023,0.214,-0.213,-0.077,-0.064,-0.029,0.084,-0.102,-0.02,-0.006,0.121,-0.012,-0.064,-0.03,-0.025,-0.062,-0.148,-0.056,-0.07,-0.015,-0.209,0.077,0.036,-0.063,0.028,0.034,0.006,0.054,-0.051,-0.046,-0.092,-0.004,-0.024,-0.132,-0.047,0.006,-0.021,0.052,0.059,-0.083,0.129,-0.003,-0.007,-0.099,0.008,-0.132,-0.035,-0.014,-0.021,0.106
"13",13,19020001,115050001,431,-0.139,0.023,0.008,-0.053,-0.087,-0.051,0.019,-0.064,-0.021,-0.172,-0.074,-0.008,-0.059,-0.08,-0.091,-0.195,-0.369,-0.145,-0.232,-0.176,-0.046,0.045,-0.008,-0.157,-0.052,-0.01,-0.071,-0.133,-0.042,-0.073,0.032,-0.075,-0.085,-0.151,-0.099,-0.132,-0.015,-0.23,-0.02,-0.363,-0.067,-0.033,-0.078,0.023,-0.196,-0.058,-0.29,-0.068,0.002,-0.062,-0.043,-0.062,-0.077,-0.236,-0.565,-0.063,-0.107,-0.105,-0.149,-0.068,-0.064,-0.005,-0.07,-0.087,-0.041,-0.058,-0.163
"14",14,19000001,106950001,528,-0.141,-0.126,0.006,-0.04,-0.049,0.001,-0.05,-0.019,-0.029,-0.036,-0.077,-0.002,-0.011,-0.043,-0.098,-0.068,-0.135,-0.077,-0.049,-0.207,-0.08,-0.063,-0.041,-0.131,-0.055,-0.02,-0.017,-0.062,-0.006,-0.1,-0.016,-0.006,0.009,-0.188,-0.035,-0.039,-0.04,-0.268,-0.084,-0.087,-0.055,-0.096,-0.039,0.014,-0.061,-0.054,-0.25,-0.077,-0.011,-0.024,-0.271,0.049,-0.019,-0.142,0.003,-0.062,0.006,-0.084,-0.066,-0.025,-0.018,-0.065,-0.163,-0.039,-0.035,-0.086,-0.116
"15",15,20000001,102300001,571,-0.034,-0.016,0.013,0.02,-0.014,0.018,-0.001,-0.006,0.005,0.006,-0.08,0.009,0.003,-0.023,-0.066,0.042,-0.116,0.024,0.26,-0.166,-0.054,-0.054,-0.025,0.11,-0.026,0.031,-0.032,0.052,0.003,-0.04,-0.009,0.007,-0.018,0.079,-0.017,-0.028,-0.014,-0.215,0.105,-0.042,-0.032,0.033,0.034,0.026,0.076,-0.043,-0.216,-0.044,0.012,0.001,-0.119,0.026,0.112,0.07,0.161,-0.043,0.029,0.023,-0.1,-0.01,0,-0.046,-0.142,-0.014,-0.008,0.015,-0.096
"16",16,60001,90150001,624,-0.144,-0.01,0.009,-0.073,0.01,0.027,0.022,0.018,0.006,0.016,-0.023,0.019,0.019,0.015,0.005,-0.091,-0.062,0.035,-0.164,0.002,-0.011,-0.002,0.005,0.023,-0.026,0,0.029,-0.064,0.03,0.058,-0.009,0.033,-0.017,-0.03,0.008,0.006,-0.02,-0.021,-0.025,0.046,0.007,0.03,0.011,-0.012,-0.03,0.016,0.175,0.005,0.023,0.024,-0.17,0.008,0.011,0.019,0.051,-0.016,0.063,-0.032,0.023,-0.047,0.008,-0.02,-0.015,-0.023,0.001,0.009,-0.061
"17",17,1,81050001,814,-0.099,-0.141,-0.062,-0.056,-0.03,-0.043,-0.08,-0.061,-0.046,-0.087,-0.062,-0.059,-0.044,-0.038,-0.044,0.001,-0.12,-0.142,-0.208,-0.092,-0.058,-0.125,-0.098,0.062,-0.035,-0.067,0.001,-0.108,-0.022,-0.051,-0.097,-0.025,-0.014,-0.058,-0.024,-0.019,-0.098,-0.09,-0.096,-0.151,-0.081,-0.039,-0.133,-0.084,0.03,-0.047,-0.085,-0.044,-0.067,-0.028,-0.131,-0.002,0.004,-0.127,-0.011,-0.087,-0.082,0.006,-0.091,-0.073,-0.027,-0.068,-0.131,-0.072,-0.058,-0.042,-0.075
"18",18,10001,77950001,243,-0.191,-0.097,-0.089,-0.098,-0.06,-0.114,-0.083,-0.114,-0.129,-0.175,-0.186,-0.095,-0.081,-0.074,-0.082,-0.02,-0.14,-0.143,-0.037,-0.072,-0.049,-0.193,-0.415,-0.159,-0.133,-0.084,-0.064,-0.061,-0.227,-0.11,-0.087,-0.106,-0.085,-0.06,-0.065,-0.052,-0.139,-0.324,-0.037,-0.146,-0.139,-0.051,-0.135,-0.084,-0.073,-0.124,-0.269,-0.062,-0.114,-0.107,-0.314,-0.063,-0.079,-0.012,-0.268,-0.133,-0.236,-0.125,-0.115,-0.008,-0.056,-0.046,-0.207,-0.101,-0.112,-0.091,-0.076
"19",19,60001,59050001,711,-0.063,-0.091,-0.053,-0.007,0.01,-0.014,-0.069,-0.005,-0.027,-0.086,-0.05,-0.041,-0.033,0.025,-0.001,0.053,0.039,-0.033,0.074,-0.064,-0.037,-0.116,-0.088,0.101,-0.065,-0.048,0.016,0.038,0.024,-0.009,-0.199,0.009,-0.011,-0.038,0.032,0.058,-0.069,-0.011,-0.052,0.027,0.01,-0.062,-0.107,-0.113,0.053,-0.036,0.153,-0.023,-0.045,-0.002,-0.246,0.028,0.088,0.075,0.091,-0.065,0.014,-0.066,0.131,-0.161,-0.002,-0.056,-0.127,-0.082,-0.025,-0.029,-0.074
"20",20,60001,62850001,359,-0.033,-0.07,-0.039,-0.031,-0.046,-0.022,-0.067,-0.047,-0.003,-0.034,-0.083,-0.039,-0.047,-0.048,-0.084,-0.049,-0.123,-0.013,-0.006,-0.049,-0.082,-0.105,-0.078,0.077,-0.043,-0.049,-0.017,-0.102,-0.038,-0.049,-0.065,-0.007,-0.044,-0.05,-0.028,-0.028,0.045,-0.161,0.003,0.004,-0.055,-0.002,-0.048,-0.042,0.058,-0.069,0.115,-0.06,-0.04,-0.024,-0.1,-0.006,-0.091,-0.123,0.118,0.121,-0.087,0.158,-0.074,-0.026,-0.046,-0.062,-0.172,-0.065,-0.035,-0.037,0.11
"21",21,10697897,48050001,157,0.019,-0.017,0.01,-0.086,-0.001,-0.017,-0.016,-0.021,0.021,0.012,-0.071,-0.004,0.042,-0.008,-0.005,0.047,-0.068,0.027,0.267,0.028,0.014,-0.018,-0.02,0.097,-0.056,0.029,0.035,-0.079,0.01,-0.066,0.003,-0.006,-0.023,0.015,-0.009,-0.013,-0.032,-0.146,0,-0.013,-0.037,-0.043,-0.021,-0.018,-0.067,0.183,0.164,0.011,-0.1,-0.003,-0.048,-0.003,0.086,0.038,0.16,0.072,0.147,-0.04,0.157,0.042,0.158,-0.035,-0.061,-0.027,-0.022,-0.021,-0.045
"22",22,16050001,51200001,300,-0.103,-0.095,-0.013,-0.034,0.044,0.03,-0.059,0.013,-0.014,-0.091,-0.016,0.002,0.002,0.031,-0.01,0,-0.098,-0.002,0.003,-0.044,-0.013,-0.114,-0.329,0.045,-0.099,-0.006,0.062,-0.036,0.034,-0.063,-0.049,0.061,0.051,-0.154,0.056,0.089,-0.063,-0.085,0,-0.003,-0.005,0.017,-0.131,-0.031,0.092,-0.009,-0.146,0.015,-0.049,0.05,-0.173,0.049,0.039,0.137,0.033,-0.033,0.065,-0.02,-0.015,-0.027,0.187,-0.054,-0.113,-0.018,-0.006,-0.017,-0.003
