"chrom","start.pos","end.pos","n.probes","GSM2403651_8963311099_R01C01","GSM2403652_8963311099_R02C01","GSM2403653_8963311099_R04C01","GSM2403654_8963311099_R05C01","GSM2403655_8963311099_R06C01","GSM2403656_8963311099_R01C02","GSM2403657_8963311099_R02C02","GSM2403968_9305651054_R03C02","GSM2403998_9305651095_R01C02","GSM2404027_9340996032_R02C01","GSM2404320_9422492035_R03C01","GSM2404448_9420867087_R04C01","GSM2404492_9444375004_R06C02","GSM2404498_9444375014_R05C02","GSM2404503_9444375017_R03C02","GSM2404504_9444375017_R04C02","GSM2404536_9553932010_R05C01","GSM2404563_9553932123_R01C02","GSM2404669_9741950100_R05C01","GSM2404704_9721365197_R03C02","GSM2404705_9721365197_R04C02","GSM2404706_9721365197_R06C02","GSM2404709_9721366135_R06C01","GSM2404710_9721366135_R01C02","GSM2404778_9533774023_R05C02","GSM2404787_9533774018_R04C02","GSM2404918_9968646167_R04C02","GSM2405032_9969477065_R02C01","GSM2405033_9969477080_R06C01","GSM2405034_9969477080_R01C02","GSM2405054_9969477089_R05C02","GSM2405076_9969477102_R01C01","GSM2405153_9878820021_R03C02","GSM2405203_9878820127_R02C02","GSM2405336_3999834003_R01C01","GSM2405337_3999834003_R02C01","GSM2405374_3999834067_R06C02","GSM2405480_3999112147_R06C02","GSM2405481_3999112155_R01C01","GSM2405482_3999112155_R04C01","GSM2405483_3999112155_R05C01","GSM2405484_3999112155_R06C01","GSM2405485_3999112155_R02C02","GSM2405486_3999112155_R03C02","GSM2940782_10006823143_R06C02","GSM2940801_101178130116_R03C02","GSM2940839_200325530024_R06C01","GSM2940875_200362700196_R03C02","GSM2940953_3998523030_R05C01","GSM2940998_3998546129_R02C02","GSM2941031_3998568129_R03C02","GSM2941032_3998568154_R03C01","GSM2941063_3998909062_R01C01","GSM2941087_3998909075_R04C02","GSM2941088_3998909075_R05C02","GSM2941133_3998998159_R05C02","GSM2941134_3998998159_R06C01","GSM2941135_3998998159_R06C02","GSM2941265_3999834070_R04C01","GSM2941273_3999834100_R02C02","GSM2941393_9407201030_R05C01","GSM2941467_9533774097_R04C01","GSM2941486_9553932002_R02C02","GSM2941492_9553932010_R06C02","GSM2941551_9741950025_R03C02","GSM2941552_9741950025_R04C01","GSM2941769_9969477079_R02C01"
"11",11,60001,134800001,914,-0.04,0.004,0.055,-0.025,-0.018,0.041,0.051,0.025,0.025,-0.031,0.02,0.04,-0.073,-0.03,-0.033,0.027,-0.068,0.057,-0.325,-0.092,-0.022,0.085,0.067,-0.128,-0.032,0.007,-0.058,-0.078,0.03,-0.023,0.048,0.028,-0.006,-0.109,-0.023,-0.043,0.011,-0.015,0.032,0.014,-0.047,0.033,0.05,0.075,-0.035,0.009,-0.183,-0.024,0.042,0.025,0.086,0.012,-0.151,-0.13,-0.178,-0.02,-0.059,-0.1,-0.064,0.075,-0.004,0.013,0.04,0.001,0.026,0.025,0.055
"12",12,145740,133700001,848,0.143,0.084,0.053,0.036,0.021,0.039,0.055,0.022,0.063,0.067,0.028,0.034,0.003,0.002,-0.003,-0.11,0.101,0.024,0.303,-0.021,0,0.04,0.066,0.131,-0.014,0.019,0.038,0.165,0.057,-0.013,0.041,0.02,-0.015,-0.086,0.006,0.006,0.043,0.021,0.14,0.145,0.011,0.099,0.109,0.07,0.103,0.006,0.059,0.003,0.034,0.015,0.018,-0.01,0.06,0.038,0.112,0.112,-0.026,0.193,0.056,0.057,-0.054,0.058,0.03,0.009,0.034,0.027,0.19
"13",13,19020001,115050001,431,-0.002,0.161,0.082,0.024,-0.031,0.011,0.125,-0.015,0.042,-0.061,0.017,0.062,0.003,-0.049,-0.032,-0.137,-0.293,-0.061,-0.111,-0.071,0.021,0.184,0.105,-0.107,0.046,0.047,-0.041,-0.097,0.016,-0.019,0.141,-0.017,-0.068,-0.059,-0.056,-0.089,0.067,-0.052,0.041,-0.247,0.011,0.017,0.059,0.104,-0.146,0.008,-0.189,0.013,0.074,-0.005,0.157,-0.025,-0.018,-0.184,-0.463,0.019,-0.036,-0.04,-0.082,0.061,-0.032,0.073,0.107,-0.041,0.041,0.013,-0.113
"14",14,19000001,106950001,528,-0.057,-0.048,0.041,0.006,0.014,0.05,0.001,0.023,0.006,0,0.042,0.026,0.026,-0.007,-0.016,-0.03,-0.082,-0.039,0.021,-0.013,-0.004,0.032,0.043,-0.093,0.03,0.014,0.022,-0.032,0.065,-0.054,0.048,0.036,0.058,-0.133,0.028,0.041,0.011,-0.023,-0.023,0.016,0.018,-0.024,0.019,0.074,-0.024,-0.005,-0.139,0.014,0.025,0.014,-0.133,0.091,0.035,-0.087,0.048,-0.015,0.065,-0.032,-0.014,0.023,0.029,-0.024,-0.008,-0.001,0.006,-0.046,-0.028
"15",15,20000001,102300001,571,0.047,0.059,0.045,0.064,0.044,0.068,0.049,0.039,0.04,0.045,0.032,0.038,0.039,0.012,0.019,0.082,-0.067,0.064,0.332,0.027,0.017,0.042,0.053,0.151,0.054,0.066,0.002,0.089,0.075,0.006,0.053,0.048,0.03,0.133,0.047,0.053,0.035,0.024,0.168,0.057,0.039,0.101,0.094,0.085,0.119,0.004,-0.117,0.042,0.044,0.04,0.014,0.067,0.167,0.134,0.205,0.002,0.086,0.084,-0.046,0.033,0.043,-0.007,0.012,0.022,0.032,0.058,-0.017
"16",16,60001,90150001,624,-0.064,0.072,0.038,-0.033,0.043,0.057,0.078,0.046,0.041,0.06,0.052,0.049,0.053,0.036,0.063,-0.061,-0.011,0.072,-0.087,0.125,0.039,0.088,0.078,0.049,0.039,0.021,0.048,-0.044,0.065,0.089,0.044,0.063,-0.004,0.017,0.036,0.039,0.02,0.155,0.003,0.129,0.052,0.058,0.077,0.024,-0.011,0.061,0.25,0.061,0.051,0.049,-0.024,0.022,0.043,0.044,0.098,0.015,0.1,-0.004,0.053,0.007,0.031,0.012,0.126,-0.002,0.037,0.039,-0.021
"17",17,1,81050001,814,-0.053,-0.104,-0.059,-0.042,0.003,-0.025,-0.068,-0.045,-0.038,-0.078,0.018,-0.058,-0.035,-0.014,0.02,0.022,-0.09,-0.134,-0.153,0.085,-0.006,-0.087,-0.07,0.086,0.027,-0.055,0.019,-0.085,0.007,-0.028,-0.073,-0.007,0.018,-0.036,0.019,0.047,-0.077,0.092,-0.066,-0.074,-0.036,0.002,-0.107,-0.062,0.047,-0.029,-0.012,0.017,-0.058,-0.006,-0.034,0.016,0.042,-0.081,0.023,-0.068,-0.054,0.025,-0.053,-0.065,-0.005,-0.059,-0.009,-0.064,-0.037,-0.02,-0.006
"18",18,10001,77950001,243,-0.146,-0.066,-0.086,-0.089,-0.009,-0.087,-0.072,-0.086,-0.12,-0.172,-0.083,-0.094,-0.07,-0.044,-0.011,0.006,-0.113,-0.131,0.019,0.131,0.017,-0.156,-0.387,-0.134,-0.061,-0.067,-0.037,-0.027,-0.186,-0.081,-0.06,-0.079,-0.037,-0.035,-0.009,0.041,-0.115,-0.098,0.007,-0.062,-0.078,0.008,-0.127,-0.056,-0.05,-0.102,-0.18,0.012,-0.105,-0.081,-0.224,-0.033,-0.034,0.06,-0.242,-0.108,-0.2,-0.091,-0.064,-0.013,-0.019,-0.034,-0.081,-0.082,-0.091,-0.062,0.015
"19",19,60001,59050001,711,0.013,-0.015,-0.025,0.03,0.04,0.014,-0.021,0.018,0.001,-0.051,0.017,-0.018,-0.002,0.044,0.053,0.085,0.082,0,0.138,0.05,0.014,-0.032,-0.018,0.119,-0.001,-0.03,0.033,0.056,0.057,0.021,-0.149,0.033,-0.003,0.007,0.047,0.076,-0.034,0.158,-0.024,0.101,0.054,-0.035,-0.048,-0.081,0.069,0.003,0.225,0.03,-0.017,0.018,-0.101,0.042,0.114,0.096,0.134,-0.038,0.045,-0.042,0.159,-0.115,0.018,-0.028,0.007,-0.064,0.007,0,-0.038
"20",20,60001,62850001,359,0.055,0.02,0.005,0.011,-0.022,0.011,-0.008,-0.023,0.033,0.023,-0.025,-0.001,-0.007,-0.029,-0.039,-0.007,-0.077,0.034,0.073,0.051,-0.038,-0.014,-0.004,0.11,0.022,-0.02,-0.003,-0.077,-0.016,-0.022,0,0.022,-0.04,0.004,-0.017,-0.014,0.092,-0.019,0.034,0.083,-0.011,0.015,0.037,-0.003,0.079,-0.025,0.183,-0.014,0.001,0.012,0.054,0.013,-0.059,-0.098,0.183,0.162,-0.051,0.19,-0.04,0.053,-0.027,-0.025,-0.032,-0.047,0.012,0.001,0.142
"21",21,10697897,48050001,157,0.093,0.052,0.031,-0.048,0.037,0.012,0.033,0.006,0.045,0.046,0.012,0.013,0.064,0.012,0.055,0.076,-0.03,0.053,0.334,0.165,0.068,0.049,0.041,0.124,0.01,0.045,0.052,-0.057,0.05,-0.033,0.052,0.016,-0.003,0.058,0.021,0.033,0.002,0.044,0.038,0.067,0.013,-0.005,0.028,0.018,-0.042,0.222,0.236,0.068,-0.079,0.027,0.085,0.014,0.12,0.075,0.2,0.104,0.182,-0.012,0.194,0.08,0.182,-0.002,0.076,-0.008,0.007,0.006,0.006
"22",22,16050001,51200001,300,-0.041,-0.034,0.004,-0.011,0.064,0.05,-0.02,0.033,0.002,-0.07,0.05,0.013,0.018,0.04,0.038,0.016,-0.075,0.018,0.041,0.073,0.032,-0.04,-0.273,0.052,-0.041,0.006,0.074,-0.029,0.067,-0.041,-0.01,0.078,0.059,-0.125,0.073,0.11,-0.038,0.098,0.026,0.065,0.032,0.044,-0.087,-0.007,0.1,0.018,-0.085,0.063,-0.033,0.063,-0.048,0.062,0.055,0.153,0.054,-0.012,0.094,-0.002,0.002,-0.005,0.207,-0.029,0.01,-0.002,0.014,0.001,0.034
