"chrom","start.pos","end.pos","n.probes","GSM2402943_6969568004_R06C02","GSM2402944_6929689136_R01C01","GSM2402946_6929689136_R03C01","GSM2402949_6929689136_R06C01","GSM2402952_6969568004_R04C01","GSM2402982_6929718049_R01C02","GSM2402984_6929718049_R02C02","GSM2402985_6929718049_R03C02","GSM2402986_6929718049_R04C02","GSM2402987_6929718049_R05C02","GSM2403039_6929793061_R01C01","GSM2403040_6929793061_R02C01","GSM2403045_6929793052_R03C02","GSM2403054_6229017094_R06C01","GSM2403055_6229017094_R01C02","GSM2403058_6229017094_R04C02","GSM2403059_6229017094_R05C02","GSM2403083_6247004027_R05C02","GSM2403131_6752625054_R05C01","GSM2403243_7970368141_R04C01","GSM2403249_7970368141_R01C02","GSM2403263_7970368167_R04C01","GSM2403264_7970368167_R05C01","GSM2403266_7970376026_R02C02","GSM2403267_7970376026_R03C02","GSM2403270_7970376067_R05C02","GSM2403275_7970376029_R03C01","GSM2403282_7970368167_R06C02","GSM2403287_7970376026_R05C02","GSM2403295_7970376055_R01C01","GSM2403298_7970376005_R01C01","GSM2403299_7970376005_R02C01","GSM2403302_7970376005_R05C01","GSM2403304_7970376055_R01C02","GSM2403315_7970376067_R02C01","GSM2403316_7970376055_R03C02","GSM2403317_7970376055_R04C02","GSM2403330_7990895159_R02C01","GSM2403333_7990895120_R02C01","GSM2403334_7990895120_R03C01","GSM2403338_7990895159_R01C02","GSM2403344_7990895120_R02C02","GSM2403352_7990895142_R04C02","GSM2403363_7990908004_R03C01","GSM2403367_7990895093_R02C01","GSM2403368_7990895046_R03C02","GSM2403370_7990895046_R06C01","GSM2403373_7990908004_R02C02","GSM2403378_7990895093_R02C02","GSM2403382_7990895127_R01C02","GSM2403385_7990895159_R05C02","GSM2403391_7990895142_R01C01","GSM2403393_7990895127_R04C02","GSM2403395_7990908004_R05C01","GSM2403398_7990895095_R03C01","GSM2403399_7990895093_R05C02","GSM2403401_7990895142_R01C02","GSM2403408_8622007028_R03C02","GSM2403411_8622007029_R01C01","GSM2403430_8622007026_R04C02","GSM2403433_8622007025_R04C02","GSM2403436_8622007026_R01C01","GSM2403439_8622007026_R06C01","GSM2403468_8622007028_R02C01","GSM2403470_8622007027_R03C02","GSM2403964_9305651055_R02C02","GSM2404021_9340996003_R06C02","GSM2404300_9407201029_R06C02","GSM2404301_9407201030_R03C01","GSM2404718_9721366150_R04C01","GSM2404761_9829119072_R04C02","GSM2404774_9829119124_R02C02","GSM2404822_9533774024_R03C02","GSM2404826_9533774033_R02C01","GSM2404997_9969477017_R01C02","GSM2405315_10003886253_R05C02","GSM2405578_3999002043_R06C02","GSM2940819_200277210056_R05C01","GSM2940870_200362700194_R05C02","GSM2940924_200406080086_R04C01","GSM2940957_3998523031_R01C01","GSM2940984_3998523058_R02C01","GSM2941119_3998920120_R02C01","GSM2941179_3999078120_R03C01","GSM2941214_3999100101_R02C01","GSM2941251_3999834067_R02C02","GSM2941305_3999875073_R01C02","GSM2941319_9297949046_R04C01","GSM2941328_9305651146_R01C01","GSM2941331_9340996058_R01C01","GSM2941346_9373551108_R01C01","GSM2941382_9406921148_R06C02","GSM2941412_9426021175_R05C01","GSM2941419_9444375028_R03C02","GSM2941498_9553932054_R02C02","GSM2941548_9741950008_R05C01","GSM2941564_9741950085_R06C02","GSM2941565_9741950095_R01C02","GSM2941804_9969477108_R05C02"
"11",10,60001,81700001,447,-0.016,0.047,0.018,-0.018,0.083,-0.072,-0.003,0.204,0.025,0.013,0.067,0.058,-0.135,0.045,-0.136,0.038,0.096,0.013,0.02,0.135,0.031,-0.271,-0.055,0.007,0.033,0.12,-0.086,0.137,-0.034,-0.123,0.044,0.11,-0.064,-0.035,-0.001,-0.008,0.047,-0.056,-0.402,-0.192,0.008,0.105,0.081,0.081,0.045,0.09,0.018,0.082,-0.091,-0.331,-0.024,0.031,-0.283,0.03,0.068,0.103,-0.091,0.104,0.005,-0.064,-0.002,0.102,-0.046,-0.161,0.038,0.068,0,-0.062,-0.009,-0.047,-0.011,0.183,0.036,-0.135,-0.268,0.045,-0.178,0.011,0.071,0.045,-0.004,-0.349,-0.018,-0.253,-0.07,0.02,-0.097,0.074,-0.017,0.028,-0.423,0.04,-0.108,0.01,0.037,-0.361,0.133,0.012,0.042
"12",10,81800001,135400001,393,-0.083,0.038,0.013,-0.028,0.072,-0.05,0.007,-0.031,0.003,0.021,-0.394,-0.413,-0.122,-0.489,-0.159,-0.43,0.087,0.019,0.027,0.138,0.05,-0.331,-0.35,-0.409,0.035,-0.086,-0.063,-0.04,-0.362,-0.13,0.033,0.115,-0.073,-0.422,-0.291,-0.358,0.028,-0.056,-0.334,-0.2,-0.04,-0.001,-0.435,0.033,0.027,0.057,-0.058,-0.016,-0.108,-0.338,-0.055,-0.008,-0.391,0.005,-0.052,-0.331,-0.106,0.112,0.02,-0.052,0.005,0.11,-0.441,-0.156,-0.323,-0.369,-0.341,-0.071,-0.273,-0.038,-0.274,-0.282,0.034,-0.152,-0.572,0.034,-0.251,0.036,0.083,-0.48,-0.029,-0.35,-0.222,-0.31,-0.35,-0.307,-0.318,-0.372,-0.038,-0.36,-0.45,-0.464,-0.167,0.026,0.019,-0.339,-0.498,-0.043,0.048
"13",11,60001,134800001,914,-0.027,0.065,0.026,-0.001,0.119,-0.184,0.004,0.076,0.039,0.044,0.083,0.061,-0.111,0.079,-0.078,0.074,-0.1,-0.043,-0.118,0.005,-0.039,0.05,0.011,-0.08,0.014,0.138,-0.086,-0.022,-0.298,-0.004,-0.151,0.009,0.061,-0.07,-0.048,-0.045,-0.111,-0.061,-0.025,0.041,-0.007,0.102,0.122,0.056,0.062,0.08,-0.086,-0.102,-0.112,-0.333,-0.061,0.022,0.11,-0.001,-0.057,-0.034,-0.085,-0.07,0.014,-0.049,0.007,-0.091,0.023,-0.143,0.033,-0.055,-0.074,-0.107,0.016,-0.068,-0.002,-0.057,-0.114,-0.101,-0.075,0.105,-0.234,0.022,-0.071,-0.039,-0.362,-0.106,0.015,-0.118,0.014,0.019,0.063,0.023,0.023,0.024,0.009,0.032,-0.16,-0.015,0.017,0.044,-0.05,-0.003,0.03
"14",12,145740,133700001,848,-0.045,0.04,0.08,-0.028,0.003,0.04,0.001,0.12,0.019,0.095,0.072,0.108,0.059,0.064,0.162,0.072,0.114,0.094,0.037,0.119,0.036,0.049,0.026,0.043,0.041,-0.033,-0.08,0.093,0.043,0.07,0.051,0.101,0.007,0.004,0.031,0.073,0.041,0.153,0.02,0.044,0.165,0.115,0.11,0.056,0.097,0.146,0.071,0.11,0.054,0.121,0.012,0.033,0.146,0.004,0.047,0.137,-0.114,0.103,0.002,-0.071,-0.008,0.221,0.09,0.076,0.025,0.075,0.079,0.061,0.04,0.147,0.003,0.078,0.019,0.063,-0.01,0.001,0.092,0.005,0.177,0.021,0.036,0.064,0.017,0.007,0.063,0.011,0.089,0.048,0.059,0.036,0.007,0.057,0.131,0.087,0.014,0.07,0.185,0.038,0.025
"15",13,19020001,115050001,431,-0.08,0.263,-0.032,-0.012,0.142,-0.009,-0.092,-0.023,0.009,0.019,0.065,0.026,0.062,0.031,-0.161,0.114,-0.172,0.076,-0.004,0.195,0.039,0.042,0.023,0.04,-0.077,-0.021,-0.186,0.073,-0.245,0.046,-0.177,-0.044,0.088,-0.084,-0.175,0.012,0.106,-0.09,-0.199,0.07,0.084,0.208,0.243,0.074,0.081,0.025,0.144,-0.113,-0.014,0.027,0.146,0.069,0.284,0.058,-0.042,-0.024,-0.036,-0.429,-0.064,0.09,-0.04,-0.166,-0.07,-0.163,0.112,0.051,-0.022,-0.103,0.054,-0.017,-0.066,-0.035,0.022,0.071,0.109,0.075,0.298,-0.007,-0.088,-0.005,0.088,0.118,-0.049,-0.008,-0.04,-0.023,0.048,0.065,0.02,-0.022,-0.033,-0.024,0.26,0.042,0.032,0.036,-0.039,-0.02,0.01
"16",14,19000001,106950001,528,-0.058,0.018,0.006,0.151,-0.055,0.195,0.014,0.022,0.005,0.16,0.035,0.045,0.063,0.028,0.147,0.047,0.085,-0.003,-0.147,-0.138,-0.028,0.049,0.15,0.064,0.098,0.039,0.157,-0.001,0.105,0.056,0.169,0.045,0.014,0.134,0.024,0.108,0.191,0.137,0.046,0.034,0.006,0.058,0.082,0.061,0.126,0.057,0.263,0.093,-0.088,0.078,-0.041,0.002,0.062,0.008,-0.014,0.12,0.104,0.081,0.03,-0.068,-0.006,0.105,0.033,0.21,0.035,0.046,0.08,0.128,-0.078,0.141,0.038,0.124,0.205,0.124,-0.071,-0.001,0.226,0.014,0.256,0.017,0.137,0.233,-0.011,0.175,0.051,0.02,0.066,0.03,0.147,0.02,-0.028,0.07,0.061,0.019,-0.003,0.067,0.131,0.034,0.035
"17",15,20000001,102300001,571,-0.041,0.022,-0.169,-0.047,-0.139,-0.194,0.02,0.013,0.014,0.001,0.051,0.049,-0.11,0.042,-0.128,0.063,0.082,-0.009,0.047,-0.133,-0.016,0.058,0.034,0.039,0.123,0.02,-0.033,0.043,0.107,-0.038,0.044,-0.096,0.02,0.045,0.055,0.033,0.034,-0.071,0.071,0.049,0.031,0.066,0.091,0.069,0.077,0.072,0.085,0.072,-0.077,0.093,-0.02,0.003,0.076,0.008,0.04,-0.044,0.112,0.076,0.041,-0.057,-0.001,-0.102,0.046,0.067,0.043,0.054,0.092,-0.111,0.02,0.129,0.048,-0.006,-0.107,0.018,0.177,0.017,0.082,0.017,0.05,0.038,0.026,0.048,0.009,0.007,0.068,0.038,0.085,0.038,0.011,0.032,-0.015,0.08,0.049,0.03,0.014,0.087,-0.058,0.053,0.054
"18",16,60001,90150001,624,-0.009,0.044,-0.143,-0.005,-0.037,0.038,-0.091,-0.218,0.02,-0.127,-0.293,0.051,-0.053,0.081,-0.085,0.003,-0.224,0.003,0.045,0.009,-0.038,0.049,-0.02,0.033,0.043,-0.065,-0.03,0.015,-0.25,-0.081,-0.139,-0.096,-0.253,0.044,0.04,-0.012,-0.117,-0.073,-0.227,-0.136,-0.161,0.015,-0.11,0,0.082,-0.183,-0.14,-0.136,-0.088,0.088,-0.052,-0.066,0.048,0.017,-0.165,-0.099,-0.092,-0.032,0.055,-0.026,0.029,-0.296,0.046,-0.116,0.05,-0.115,0.001,-0.103,0.055,-0.202,0.043,-0.103,-0.09,-0.087,-0.206,-0.163,-0.143,0.049,-0.023,0.062,0.073,-0.067,0.035,0.041,0.061,-0.12,-0.037,0.055,0.003,0.046,-0.154,-0.005,-0.19,-0.163,0.044,-0.198,-0.051,-0.085,0.046
"19",17,1,18900001,205,-0.717,-0.082,0.114,-0.074,-0.053,-0.258,-0.064,-0.251,-0.465,-0.452,-0.066,-0.045,-0.131,-0.665,0.043,-0.049,-0.215,-0.058,-0.416,-0.405,-0.55,-0.06,-0.049,-0.048,0.116,-0.213,0.104,-0.124,0.035,-0.06,0.077,-0.179,-0.035,-0.276,-0.17,-0.191,-0.059,0.034,-0.192,-0.466,-0.442,-0.155,-0.539,-0.543,-0.079,-0.113,-0.107,-0.018,-0.354,0.011,-0.525,-0.116,-0.096,-0.521,-0.004,-0.488,0.001,0.053,-0.422,0.068,-0.469,0.049,-0.42,0.136,-0.108,-0.058,-0.267,-0.007,-0.303,0.024,-0.017,-0.005,0.077,0.169,0.145,-0.399,0.097,-0.026,0.044,-0.362,-0.026,-0.024,-0.519,-0.023,-0.318,-0.003,-0.359,-0.472,-0.362,-0.496,-0.437,-0.319,-0.013,-0.337,-0.44,-0.382,-0.534,0.006,-0.391
"20",17,18950001,81050001,609,0.118,-0.078,0.111,-0.072,-0.05,0.112,0.044,0.035,0.088,0.13,-0.039,-0.037,0.181,0.185,0.057,-0.008,0.177,-0.056,0.175,0.128,0.153,-0.036,0.097,0.057,0.112,0.206,0.087,-0.077,0.065,0.119,0.092,0.206,-0.043,0.171,0.284,0.253,0.103,0.041,0.277,0.132,0.199,-0.117,0.019,0.117,-0.033,0.046,-0.049,0.025,0.105,0.01,-0.056,-0.085,0.076,0.147,0.013,0.181,0.018,0.063,0.218,0.068,0.15,0.116,0.195,0.139,-0.027,-0.037,0.156,-0.006,0.141,0.032,0.084,0.07,0.089,0.17,0.159,0.124,0.107,-0.028,0.039,0.272,-0.02,-0.024,0.195,-0.022,0.088,0.079,-0.017,0.108,0.129,0.121,0.225,0.035,0.018,0.17,0.149,0.184,0.342,0.087,-0.016
"21",18,10001,77950001,243,0.052,-0.131,-0.121,-0.163,-0.108,0.065,-0.082,-0.255,-0.132,-0.117,-0.086,-0.071,0.073,-0.165,-0.006,-0.103,0.094,-0.142,-0.057,0.073,-0.101,-0.067,-0.08,-0.061,0.122,0.116,0.06,-0.084,0.203,-0.069,0.055,0.157,-0.093,-0.024,0.03,0.165,-0.049,0.029,0.017,0.101,0.034,-0.102,-0.09,-0.07,-0.173,-0.079,0.046,0.091,0.116,-0.036,0.102,-0.097,-0.071,-0.1,-0.063,-0.013,0.148,-0.034,-0.072,-0.191,-0.119,0.125,-0.052,0.1,-0.087,-0.107,-0.05,-0.031,-0.07,0.104,-0.052,0.025,-0.005,0.143,0.268,-0.127,0.007,-0.093,-0.044,0.107,-0.056,-0.06,-0.148,0.002,0.001,-0.005,-0.066,-0.092,-0.145,-0.088,0.019,-0.039,0.031,-0.059,-0.099,-0.017,-0.03,0.003,-0.076
"22",19,60001,59050001,711,-0.09,-0.017,0.082,0.137,-0.01,0.054,-0.002,0.077,-0.008,-0.014,0.008,-0.011,0.025,0.014,-0.119,0.011,-0.037,-0.018,0.021,0.012,-0.121,-0.046,-0.019,-0.055,0,-0.105,-0.071,-0.118,0.048,-0.021,-0.012,-0.002,-0.032,-0.004,0.024,0.11,-0.088,-0.133,0.14,-0.001,-0.003,-0.067,-0.163,-0.099,-0.091,-0.071,0.08,-0.182,0.004,0.06,0.093,-0.098,-0.037,-0.045,0.041,-0.033,0.033,-0.087,0.014,0.059,-0.027,-0.088,0.009,0.05,-0.002,0,0.031,0.008,0.074,-0.119,0.022,0.081,-0.004,0.002,-0.094,-0.073,0.064,-0.011,0.058,0.034,0.014,0.002,-0.037,-0.019,0.035,-0.001,0.02,-0.014,0.007,-0.032,0.047,0.03,0.03,-0.017,0.001,0.046,0.083,0.045,0.013
"23",20,60001,62850001,359,-0.11,-0.015,-0.053,-0.068,-0.076,0,-0.044,-0.106,-0.026,-0.062,0.021,0.001,-0.008,0.008,0.132,0.005,0.107,-0.05,0.02,-0.074,-0.049,-0.019,0.013,-0.035,-0.018,-0.019,-0.112,-0.052,-0.082,-0.024,-0.197,-0.03,-0.041,-0.059,-0.073,-0.006,-0.019,-0.124,0.004,-0.029,-0.037,-0.034,-0.037,-0.036,0.025,-0.003,-0.017,-0.143,-0.135,0.077,-0.12,-0.062,-0.009,-0.057,-0.04,0.029,-0.14,0.022,-0.01,-0.103,-0.034,0.094,-0.016,-0.158,-0.025,-0.013,-0.025,0.068,-0.033,-0.06,-0.019,-0.133,0.046,-0.015,-0.084,-0.044,-0.033,0.005,0.036,-0.03,0.008,0.034,-0.067,-0.078,-0.035,-0.04,0.006,-0.024,-0.039,-0.028,-0.44,0.005,-0.183,0.038,-0.034,0.002,0.074,-0.025,-0.001
