"chrom","start.pos","end.pos","n.probes","GSM2402943_6969568004_R06C02","GSM2402944_6929689136_R01C01","GSM2402946_6929689136_R03C01","GSM2402949_6929689136_R06C01","GSM2402952_6969568004_R04C01","GSM2402982_6929718049_R01C02","GSM2402984_6929718049_R02C02","GSM2402985_6929718049_R03C02","GSM2402986_6929718049_R04C02","GSM2402987_6929718049_R05C02","GSM2403039_6929793061_R01C01","GSM2403040_6929793061_R02C01","GSM2403045_6929793052_R03C02","GSM2403054_6229017094_R06C01","GSM2403055_6229017094_R01C02","GSM2403058_6229017094_R04C02","GSM2403059_6229017094_R05C02","GSM2403083_6247004027_R05C02","GSM2403131_6752625054_R05C01","GSM2403243_7970368141_R04C01","GSM2403249_7970368141_R01C02","GSM2403263_7970368167_R04C01","GSM2403264_7970368167_R05C01","GSM2403266_7970376026_R02C02","GSM2403267_7970376026_R03C02","GSM2403270_7970376067_R05C02","GSM2403275_7970376029_R03C01","GSM2403282_7970368167_R06C02","GSM2403287_7970376026_R05C02","GSM2403295_7970376055_R01C01","GSM2403298_7970376005_R01C01","GSM2403299_7970376005_R02C01","GSM2403302_7970376005_R05C01","GSM2403304_7970376055_R01C02","GSM2403315_7970376067_R02C01","GSM2403316_7970376055_R03C02","GSM2403317_7970376055_R04C02","GSM2403330_7990895159_R02C01","GSM2403333_7990895120_R02C01","GSM2403334_7990895120_R03C01","GSM2403338_7990895159_R01C02","GSM2403344_7990895120_R02C02","GSM2403352_7990895142_R04C02","GSM2403363_7990908004_R03C01","GSM2403367_7990895093_R02C01","GSM2403368_7990895046_R03C02","GSM2403370_7990895046_R06C01","GSM2403373_7990908004_R02C02","GSM2403378_7990895093_R02C02","GSM2403382_7990895127_R01C02","GSM2403385_7990895159_R05C02","GSM2403391_7990895142_R01C01","GSM2403393_7990895127_R04C02","GSM2403395_7990908004_R05C01","GSM2403398_7990895095_R03C01","GSM2403399_7990895093_R05C02","GSM2403401_7990895142_R01C02","GSM2403408_8622007028_R03C02","GSM2403411_8622007029_R01C01","GSM2403430_8622007026_R04C02","GSM2403433_8622007025_R04C02","GSM2403436_8622007026_R01C01","GSM2403439_8622007026_R06C01","GSM2403468_8622007028_R02C01","GSM2403470_8622007027_R03C02","GSM2403964_9305651055_R02C02","GSM2404021_9340996003_R06C02","GSM2404300_9407201029_R06C02","GSM2404301_9407201030_R03C01","GSM2404718_9721366150_R04C01","GSM2404761_9829119072_R04C02","GSM2404774_9829119124_R02C02","GSM2404822_9533774024_R03C02","GSM2404826_9533774033_R02C01","GSM2404997_9969477017_R01C02","GSM2405315_10003886253_R05C02","GSM2405578_3999002043_R06C02","GSM2940819_200277210056_R05C01","GSM2940870_200362700194_R05C02","GSM2940924_200406080086_R04C01","GSM2940957_3998523031_R01C01","GSM2940984_3998523058_R02C01","GSM2941119_3998920120_R02C01","GSM2941179_3999078120_R03C01","GSM2941214_3999100101_R02C01","GSM2941251_3999834067_R02C02","GSM2941305_3999875073_R01C02","GSM2941319_9297949046_R04C01","GSM2941328_9305651146_R01C01","GSM2941331_9340996058_R01C01","GSM2941346_9373551108_R01C01","GSM2941382_9406921148_R06C02","GSM2941412_9426021175_R05C01","GSM2941419_9444375028_R03C02","GSM2941498_9553932054_R02C02","GSM2941548_9741950008_R05C01","GSM2941564_9741950085_R06C02","GSM2941565_9741950095_R01C02","GSM2941804_9969477108_R05C02"
"11",10,60001,81700001,447,-0.1,-0.012,-0.047,-0.083,0.022,-0.114,-0.052,0.141,-0.024,-0.037,0.008,0.003,-0.179,-0.036,-0.189,-0.021,0.045,-0.035,-0.025,0.075,-0.033,-0.312,-0.101,-0.046,-0.151,0.034,-0.152,0.047,-0.131,-0.177,-0.005,0.042,-0.115,-0.112,-0.104,-0.207,-0.002,-0.105,-0.493,-0.244,-0.06,0.032,0.01,0.02,-0.011,0.036,-0.044,0.032,-0.14,-0.397,-0.092,-0.027,-0.417,-0.044,-0.095,0.033,-0.143,0.057,-0.052,-0.107,-0.047,0.056,-0.098,-0.201,-0.009,-0.002,-0.062,-0.114,-0.075,-0.086,-0.059,0.09,-0.012,-0.229,-0.343,-0.014,-0.278,-0.038,0.017,-0.083,-0.053,-0.388,-0.089,-0.362,-0.127,-0.044,-0.149,0.018,-0.07,-0.03,-0.537,-0.035,-0.208,-0.04,-0.016,-0.411,0.004,-0.09,-0.007
"12",10,81800001,135400001,393,-0.155,-0.009,-0.038,-0.084,0.017,-0.086,-0.03,-0.075,-0.036,-0.019,-0.427,-0.441,-0.16,-0.554,-0.198,-0.466,0.042,-0.023,-0.007,0.09,-0.007,-0.358,-0.381,-0.445,-0.121,-0.151,-0.115,-0.12,-0.451,-0.175,-0.004,0.058,-0.115,-0.478,-0.38,-0.535,-0.011,-0.096,-0.4,-0.242,-0.099,-0.064,-0.487,-0.012,-0.019,0.01,-0.113,-0.052,-0.15,-0.388,-0.113,-0.059,-0.516,-0.062,-0.198,-0.377,-0.156,0.075,-0.025,-0.086,-0.029,0.075,-0.461,-0.186,-0.346,-0.421,-0.385,-0.112,-0.329,-0.07,-0.301,-0.34,-0.006,-0.235,-0.637,-0.015,-0.345,-0.007,0.037,-0.6,-0.073,-0.387,-0.271,-0.412,-0.39,-0.356,-0.351,-0.412,-0.084,-0.403,-0.556,-0.513,-0.265,-0.012,-0.026,-0.373,-0.619,-0.134,0.007
"13",11,60001,134800001,914,-0.101,0.01,-0.031,-0.064,0.059,-0.223,-0.032,0.02,-0.01,-0.006,0.026,0.012,-0.152,-0.005,-0.13,0.016,-0.146,-0.089,-0.149,-0.037,-0.094,0.012,-0.028,-0.125,-0.119,0.086,-0.135,-0.109,-0.395,-0.047,-0.193,-0.04,0.017,-0.12,-0.113,-0.196,-0.15,-0.105,-0.085,-0.005,-0.062,0.027,0.051,0.013,0.01,0.027,-0.153,-0.146,-0.153,-0.386,-0.121,-0.039,-0.018,-0.067,-0.205,-0.087,-0.149,-0.12,-0.029,-0.089,-0.035,-0.127,-0.017,-0.181,-0.006,-0.118,-0.122,-0.155,-0.046,-0.112,-0.035,-0.104,-0.154,-0.187,-0.139,0.045,-0.327,-0.02,-0.115,-0.15,-0.412,-0.154,-0.044,-0.212,-0.029,-0.03,0.018,-0.025,-0.028,-0.024,-0.105,-0.028,-0.272,-0.052,-0.032,-0.001,-0.182,-0.091,-0.01
"14",12,145740,133700001,848,-0.124,-0.012,0.019,-0.091,-0.052,-0.01,-0.046,0.062,-0.026,0.044,0.013,0.055,0.006,-0.023,0.101,0.009,0.063,0.044,-0.004,0.065,-0.025,0.004,-0.018,-0.008,-0.137,-0.105,-0.141,0.006,-0.054,0.017,0.003,0.035,-0.041,-0.064,-0.067,-0.107,-0.006,0.1,-0.067,-0.011,0.097,0.045,0.036,0.007,0.037,0.088,0.006,0.061,-0.003,0.059,-0.052,-0.027,0.012,-0.068,-0.11,0.073,-0.171,0.059,-0.05,-0.109,-0.049,0.171,0.038,0.032,-0.019,0.003,0.016,0.007,-0.03,0.103,-0.041,0.004,-0.026,-0.028,-0.084,-0.057,-0.01,-0.04,0.123,-0.1,-0.015,0.015,-0.05,-0.094,0.006,-0.048,0.035,-0.007,0.008,-0.02,-0.107,-0.015,0.03,0.035,-0.043,0.018,0.055,-0.061,-0.022
"15",13,19020001,115050001,431,-0.193,0.166,-0.122,-0.126,0.038,-0.088,-0.14,-0.111,-0.074,-0.069,-0.027,-0.058,-0.033,-0.108,-0.246,0.031,-0.267,-0.009,-0.081,0.142,-0.041,-0.02,-0.038,-0.019,-0.175,-0.058,-0.222,-0.054,-0.36,-0.003,-0.232,-0.085,0.032,-0.129,-0.208,-0.076,0.04,-0.152,-0.219,0.006,0.015,0.078,0.134,-0.009,-0.01,-0.067,0.036,-0.186,-0.066,-0.042,0.073,-0.026,0.128,-0.037,-0.194,-0.11,-0.134,-0.515,-0.121,0.029,-0.104,-0.218,-0.116,-0.232,0.055,-0.041,-0.068,-0.191,-0.034,-0.104,-0.105,-0.055,-0.064,-0.022,0.048,-0.021,0.172,-0.083,-0.168,-0.106,0.007,0.04,-0.132,-0.113,-0.085,-0.081,-0.02,-0.018,-0.073,-0.097,-0.156,-0.097,0.113,-0.004,-0.045,-0.02,-0.192,-0.116,-0.047
"16",14,19000001,106950001,528,-0.136,-0.026,-0.051,0.09,-0.106,0.145,-0.031,-0.022,-0.031,0.116,-0.01,-0.001,0.015,-0.056,0.098,-0.004,0.049,-0.039,-0.183,-0.186,-0.085,0.008,0.104,0.013,-0.092,-0.049,0.089,-0.079,0.028,0.001,0.128,-0.021,-0.029,0.06,-0.088,-0.072,0.145,0.089,-0.043,-0.02,-0.057,0.005,0.02,0.007,0.072,0.011,0.205,0.061,-0.138,0.02,-0.101,-0.04,-0.065,-0.064,-0.166,0.061,0.06,0.061,-0.023,-0.097,-0.043,0.074,-0.013,0.168,-0.005,-0.018,0.011,0.076,-0.139,0.112,-0.011,0.042,0.161,0.042,-0.137,-0.047,0.13,-0.026,0.206,-0.112,0.094,0.195,-0.067,0.074,-0.012,-0.04,0.017,-0.016,0.099,-0.032,-0.132,0.002,-0.022,-0.029,-0.049,0.02,0.016,-0.055,-0.006
"17",15,20000001,102300001,571,-0.121,-0.024,-0.222,-0.102,-0.185,-0.228,-0.026,-0.035,-0.026,-0.033,0.002,0.001,-0.153,-0.043,-0.169,0.01,0.045,-0.047,0.002,-0.18,-0.068,0.021,-0.009,-0.006,-0.059,-0.064,-0.095,-0.03,0.035,-0.086,0.005,-0.158,-0.026,-0.025,-0.054,-0.152,-0.006,-0.107,-0.021,-0.009,-0.026,0.008,0.024,0.015,0.021,0.027,0.036,0.04,-0.125,0.037,-0.077,-0.034,-0.052,-0.054,-0.112,-0.098,0.071,0.054,-0.015,-0.091,-0.039,-0.125,-0.004,0.031,0.001,-0.008,0.026,-0.149,-0.038,0.098,0,-0.083,-0.144,-0.061,0.115,-0.029,-0.011,-0.026,0.004,-0.087,-0.01,0.012,-0.05,-0.091,0.006,-0.016,0.033,-0.009,-0.033,-0.022,-0.117,0.011,-0.031,-0.019,-0.033,0.034,-0.168,-0.034,0.01
"18",16,60001,50900001,315,-0.066,-0.007,-0.184,-0.064,-0.077,0.003,-0.005,-0.146,-0.015,0.025,-0.272,0.017,-0.078,0.012,-0.116,0.03,-0.12,-0.023,0.026,-0.027,-0.083,0.015,0.01,-0.007,-0.037,-0.038,-0.057,-0.056,-0.28,0.04,-0.16,0.065,-0.241,0.021,0.019,0.034,0,-0.096,-0.232,0.006,0.006,-0.057,-0.074,-0.046,0.143,-0.059,-0.205,-0.139,-0.101,0.046,-0.089,-0.064,-0.041,-0.036,-0.05,0.034,-0.139,-0.066,0.034,-0.05,-0.002,-0.128,0.028,-0.135,0.023,0.015,0.048,-0.102,0.009,-0.073,0.024,0.053,-0.123,-0.148,-0.067,-0.027,-0.16,0.018,-0.055,0,0.033,-0.102,-0.011,-0.017,0.027,-0.008,0.037,0.014,-0.043,0.001,-0.037,0.122,-0.209,-0.01,0.011,-0.221,0.072,-0.032,0.018
"19",16,51150001,90150001,309,-0.075,0.004,-0.189,-0.055,-0.083,0.005,-0.201,-0.358,-0.012,-0.346,-0.375,0.017,-0.086,0.018,-0.125,-0.106,-0.39,-0.035,0.019,-0.009,-0.065,0.028,-0.1,0.007,-0.056,-0.144,-0.056,-0.05,-0.361,-0.255,-0.162,-0.319,-0.299,0.016,0.002,-0.267,-0.281,-0.112,-0.275,-0.333,-0.405,-0.039,-0.261,-0.02,-0.061,-0.383,-0.172,-0.194,-0.116,0.049,-0.089,-0.157,-0.092,-0.031,-0.535,-0.312,-0.129,-0.074,0.023,-0.056,0.002,-0.499,0.022,-0.147,0.024,-0.339,-0.112,-0.162,0.003,-0.398,0.025,-0.3,-0.113,-0.153,-0.434,-0.389,-0.294,0.023,-0.053,-0.041,0.035,-0.099,-0.004,-0.034,0.045,-0.294,-0.161,0.02,-0.03,0.018,-0.465,-0.207,-0.372,-0.344,0.013,-0.227,-0.405,-0.266,0.024
"20",17,1,18950001,206,-0.716,-0.084,0.1,-0.087,-0.062,-0.257,-0.065,-0.254,-0.448,-0.438,-0.068,-0.045,-0.132,-0.649,0.037,-0.053,-0.208,-0.058,-0.419,-0.406,-0.56,-0.057,-0.058,-0.061,-0.003,-0.246,0.069,-0.152,-0.001,-0.071,0.068,-0.206,-0.054,-0.315,-0.238,-0.323,-0.069,0.029,-0.245,-0.453,-0.453,-0.154,-0.518,-0.517,-0.078,-0.107,-0.106,-0.011,-0.347,-0.006,-0.539,-0.121,-0.147,-0.541,-0.101,-0.474,-0.006,0.046,-0.429,0.068,-0.455,0.041,-0.414,0.121,-0.107,-0.071,-0.3,-0.007,-0.331,0.022,-0.037,-0.059,0.078,0.121,0.117,-0.382,0.051,-0.04,0.019,-0.451,-0.042,-0.036,-0.505,-0.081,-0.337,-0.036,-0.353,-0.469,-0.356,-0.5,-0.512,-0.329,-0.057,-0.352,-0.434,-0.394,-0.587,-0.039,-0.394
"21",17,19100001,81050001,608,0.089,-0.088,0.09,-0.09,-0.068,0.095,0.035,0.013,0.075,0.113,-0.049,-0.044,0.166,0.169,0.042,-0.02,0.161,-0.061,0.15,0.109,0.129,-0.041,0.08,0.036,-0.012,0.169,0.051,-0.111,0.012,0.102,0.078,0.174,-0.064,0.132,0.208,0.116,0.085,0.03,0.213,0.119,0.17,-0.121,0.007,0.108,-0.037,0.038,-0.052,0.025,0.087,-0.013,-0.081,-0.096,0.016,0.115,-0.092,0.17,0.006,0.047,0.189,0.06,0.134,0.103,0.17,0.119,-0.041,-0.059,0.114,-0.017,0.111,0.022,0.06,0.011,0.082,0.116,0.124,0.114,0.054,-0.052,0.016,0.174,-0.044,-0.046,0.191,-0.087,0.058,0.04,-0.029,0.096,0.114,0.099,0.141,0.008,-0.038,0.14,0.136,0.158,0.275,0.031,-0.034
"22",18,10001,77950001,243,0.024,-0.139,-0.137,-0.171,-0.124,0.046,-0.096,-0.266,-0.136,-0.124,-0.098,-0.079,0.052,-0.171,-0.024,-0.115,0.083,-0.148,-0.076,0.044,-0.13,-0.079,-0.1,-0.087,-0.034,0.049,0.001,-0.115,0.159,-0.095,0.039,0.099,-0.124,-0.087,-0.079,-0.012,-0.073,0.01,-0.077,0.08,-0.006,-0.094,-0.093,-0.088,-0.176,-0.081,0.045,0.094,0.088,-0.065,0.063,-0.102,-0.125,-0.129,-0.177,-0.02,0.143,-0.037,-0.109,-0.198,-0.133,0.114,-0.084,0.079,-0.102,-0.129,-0.109,-0.042,-0.102,0.106,-0.093,-0.055,-0.014,0.091,0.216,-0.132,-0.05,-0.12,-0.072,-0.011,-0.078,-0.078,-0.15,-0.077,-0.042,-0.059,-0.088,-0.107,-0.15,-0.115,-0.07,-0.082,-0.01,-0.093,-0.114,-0.048,-0.086,-0.066,-0.099
