"chrom","start.pos","end.pos","n.probes","GSM2403504_8622007069_R01C01","GSM2403505_8622007069_R06C01","GSM2403508_8622007067_R04C02","GSM2403852_9305651037_R06C02","GSM2403901_9305216209_R03C01","GSM2403937_9305651053_R06C02","GSM2403953_9305651055_R05C02","GSM2403954_9305651055_R06C02","GSM2403955_9305651060_R01C01","GSM2403956_9305651060_R02C01","GSM2403957_9305651060_R03C01","GSM2403958_9305651060_R04C01","GSM2403959_9305651060_R05C01","GSM2403960_9305651060_R06C01","GSM2403961_9305651060_R01C02","GSM2403962_9305651060_R02C02","GSM2404061_9373551039_R05C01","GSM2404449_9420867087_R02C02","GSM2404472_9444374132_R03C02","GSM2404473_9444374132_R06C02","GSM2404474_9444374133_R02C01","GSM2404475_9444374133_R03C01","GSM2405335_3999834002_R02C02","GSM2940868_200362700194_R01C02","GSM2940915_200400320088_R02C02","GSM2941255_3999834068_R01C02","GSM2941499_9553932054_R03C02","GSM2941574_9741950149_R03C02","GSM2941578_9741950149_R06C02","GSM2941694_9968646118_R02C02","GSM2941793_9969477102_R04C01"
"11",11,60001,134800001,914,-0.073,-0.085,-0.075,0.001,-0.002,-0.035,-0.016,0.018,-0.039,-0.027,0,-0.083,-0.112,-0.049,-0.086,-0.079,-0.028,0.011,-0.008,-0.108,-0.107,-0.017,-0.029,-0.013,-0.365,-0.011,-0.05,-0.081,0.009,-0.082,-0.098
"12",12,145740,133700001,848,-0.09,-0.073,-0.087,-0.018,-0.018,-0.037,-0.021,-0.002,-0.052,-0.03,-0.013,-0.073,-0.141,-0.048,-0.087,-0.069,-0.029,-0.005,-0.009,-0.084,-0.085,-0.024,-0.033,-0.019,-0.381,-0.028,-0.044,-0.065,-0.003,-0.081,-0.074
"13",13,19020001,115050001,431,0.032,0.015,-0.023,-0.021,-0.031,-0.008,-0.035,0.002,-0.022,-0.026,-0.039,-0.076,-0.061,-0.052,-0.053,-0.058,-0.043,0.016,-0.016,-0.101,-0.068,0.027,-0.087,-0.033,-0.216,0.026,-0.065,-0.099,0.007,-0.074,-0.124
"14",14,19000001,106950001,528,-0.128,-0.08,-0.092,-0.023,-0.02,-0.042,-0.015,-0.011,-0.063,-0.036,-0.022,-0.073,-0.181,-0.047,-0.095,0.142,-0.019,-0.009,0.003,-0.068,-0.07,-0.039,-0.018,-0.012,-0.429,-0.015,-0.039,-0.095,-0.039,-0.064,-0.051
"15",15,20000001,102300001,571,-0.1,-0.067,-0.068,-0.006,-0.009,-0.032,-0.001,0.002,-0.047,-0.019,-0.006,-0.056,-0.158,-0.036,-0.067,-0.051,0,-0.003,0.006,-0.049,-0.054,-0.036,-0.004,0.002,-0.393,-0.007,-0.02,-0.039,-0.026,-0.047,-0.022
"16",16,60001,90150001,624,-0.002,-0.004,0.003,0.028,0.025,0.005,-0.162,0.019,0.01,0.011,0.028,0,-0.018,0.011,0.002,0.004,0.017,0.008,0.009,-0.007,-0.008,-0.006,0.032,0.035,-0.194,-0.013,0.017,0.021,0.008,0.011,0.014
"17",17,1,81050001,814,-0.12,-0.052,-0.074,-0.065,-0.051,-0.081,-0.042,-0.077,-0.08,-0.063,-0.051,-0.063,-0.13,-0.058,-0.07,-0.061,-0.046,-0.077,-0.045,-0.036,-0.031,-0.091,-0.028,-0.045,-0.269,-0.079,-0.043,-0.03,-0.098,-0.042,-0.024
"18",18,10001,77950001,243,-0.081,0.007,-0.067,-0.167,-0.147,-0.125,-0.075,-0.141,-0.139,-0.117,-0.128,-0.121,-0.161,-0.103,-0.088,-0.084,-0.095,-0.109,-0.072,-0.045,-0.031,-0.107,-0.097,-0.111,-0.316,-0.065,-0.1,-0.106,-0.144,-0.068,-0.033
"19",19,60001,59050001,711,-0.142,-0.068,-0.074,-0.017,-0.012,-0.04,-0.003,-0.053,-0.049,-0.024,-0.001,-0.012,-0.086,-0.016,-0.029,-0.018,-0.004,-0.071,-0.03,0.011,0.003,-0.085,0.014,-0.015,-0.244,-0.121,-0.002,0.01,-0.07,-0.019,0.013
"20",20,60001,62850001,359,-0.116,-0.062,-0.09,-0.038,-0.043,-0.067,-0.036,-0.045,-0.078,-0.053,-0.034,-0.078,-0.102,-0.059,-0.082,-0.065,-0.039,-0.043,-0.033,-0.057,-0.052,-0.068,-0.029,-0.034,-0.275,-0.048,-0.048,-0.062,-0.08,-0.059,-0.058
"21",21,10697897,48050001,157,0.001,0.035,0.008,-0.017,-0.016,-0.02,0.006,-0.006,-0.009,-0.007,-0.011,-0.013,-0.061,-0.008,-0.002,-0.004,-0.003,-0.014,-0.006,-0.005,0.002,-0.03,-0.019,0,-0.212,0.007,-0.015,-0.016,-0.017,-0.004,0.01
"22",22,16050001,51200001,300,-0.131,-0.043,-0.066,0.001,-0.141,-0.259,-0.316,-0.284,-0.068,-0.258,0.02,-0.016,-0.153,0.004,-0.03,-0.337,-0.069,-0.281,-0.277,-0.157,-0.345,-0.134,-0.086,0.021,-0.269,-0.183,0.028,0.045,-0.328,-0.173,-0.19
