"chrom","start.pos","end.pos","n.probes","GSM2403503_8622007068_R02C01","GSM2403585_8622007120_R02C01","GSM2403732_9007225086_R01C01","GSM2403737_9007225086_R01C02","GSM2403747_9007225163_R06C01","GSM2403828_9297949046_R02C02","GSM2403847_9305651037_R05C01","GSM2403850_9305651037_R04C01","GSM2403897_9305216209_R05C01","GSM2403898_9305216209_R06C01","GSM2403902_9305216209_R02C01","GSM2403996_9305651095_R03C01","GSM2404004_9305651146_R06C01","GSM2404290_9407201027_R04C01","GSM2404292_9407201027_R06C01","GSM2404533_9553932008_R06C01","GSM2404713_9721366138_R04C02","GSM2404735_9741950111_R06C01","GSM2404792_9533774057_R03C02","GSM2404802_9533774057_R01C02","GSM2404803_9533774057_R04C02","GSM2404804_9533774057_R05C02","GSM2404805_9533774066_R05C02","GSM2404806_9533774066_R05C01","GSM2405068_9969477100_R01C02","GSM2405158_9878820030_R02C01","GSM2405181_9878820104_R01C02","GSM2405341_3999834003_R03C02","GSM2940784_10006823144_R02C02","GSM2940923_200406080086_R03C01","GSM2940935_3998523018_R03C01","GSM2940944_3998523022_R05C02","GSM2940945_3998523022_R06C02","GSM2941021_3998567087_R04C02","GSM2941141_3998998164_R06C01","GSM2941142_3998998164_R06C02","GSM2941145_3998998187_R05C01","GSM2941146_3999002043_R03C02","GSM2941230_3999543051_R05C02","GSM2941378_9406921148_R01C01","GSM2941403_9420867121_R05C02","GSM2941438_9513149129_R03C01","GSM2941643_9878820140_R02C01","GSM2941678_9878827227_R04C02","GSM2941684_9878827239_R03C01"
"11",11,60001,134800001,914,-0.103,-0.066,-0.058,-0.121,-0.016,0.076,-0.018,-0.014,0.02,0.036,0.024,-0.136,-0.044,-0.057,-0.028,-0.055,-0.087,-0.095,-0.07,-0.066,-0.097,-0.11,0.072,-0.011,-0.09,-0.125,0.005,0.061,-0.08,-0.15,-0.045,-0.068,-0.05,-0.068,-0.044,-0.13,-0.234,-0.088,0.025,-0.061,0.107,-0.016,-0.092,-0.037,-0.04
"12",12,145740,133700001,848,-0.09,-0.067,-0.058,-0.111,0.131,-0.073,-0.011,-0.012,-0.214,0.03,0.013,-0.158,-0.057,-0.054,-0.025,-0.065,-0.075,-0.096,-0.08,-0.072,-0.097,-0.108,-0.1,-0.018,-0.088,-0.12,0,-0.079,-0.057,-0.154,-0.053,-0.09,-0.081,-0.072,-0.054,-0.123,-0.218,-0.094,-0.167,-0.058,-0.122,-0.023,0.026,-0.013,-0.038
"13",13,19020001,115050001,431,-0.173,-0.093,-0.39,-0.106,-0.276,-0.045,-0.237,-0.023,0.215,-0.358,-0.219,-0.154,-0.084,-0.02,-0.073,-0.118,-0.079,-0.087,-0.109,-0.131,-0.142,0.021,-0.142,-0.029,-0.101,-0.099,-0.034,0.002,-0.091,-0.197,-0.085,-0.124,-0.117,0.057,0.077,-0.118,-0.459,0.18,0.098,-0.102,-0.066,-0.463,-0.556,-0.124,-0.239
"14",14,19000001,106950001,528,-0.091,-0.046,-0.065,-0.093,-0.276,-0.083,-0.213,-0.01,-0.005,0.031,0.007,-0.149,-0.04,-0.058,-0.013,-0.031,-0.055,-0.103,-0.072,-0.049,-0.065,-0.071,-0.084,-0.008,-0.078,-0.107,0.003,-0.064,-0.046,-0.119,-0.046,-0.079,-0.068,-0.067,-0.177,-0.106,-0.553,-0.074,-0.136,-0.033,-0.002,-0.247,-0.282,-0.001,-0.009
"15",15,20000001,102300001,571,-0.061,-0.016,-0.037,-0.076,0.137,0.075,0.017,0.01,-0.206,0.041,0.022,0.074,-0.029,-0.034,0.001,-0.005,-0.038,-0.078,-0.046,0.098,0.04,-0.061,0.092,0.093,-0.064,-0.075,0.017,-0.056,-0.023,-0.091,-0.031,0.12,0.086,0.087,0.09,-0.082,-0.168,-0.062,0.085,-0.014,-0.116,0.001,0.204,0.019,0.001
"16",16,60001,90150001,624,0.085,0.024,0.053,0.162,0.142,0.089,0.139,0.017,-0.115,0.056,0.138,0.11,0.156,0.007,0.02,0.02,0.141,0.165,0.114,0.095,0.093,0.078,0.09,0.002,0.143,0.128,0.017,0.077,0.021,0.132,0.145,-0.033,0.099,0.076,-0.009,0.131,0.177,0.116,0.074,0.02,0.099,0.14,-0.022,0.038,0.02
"17",17,1,81050001,814,0.046,-0.055,-0.033,-0.063,-0.092,-0.013,0.071,-0.056,0.108,-0.026,-0.048,-0.147,-0.062,-0.058,-0.022,0.002,0.101,0.092,0.045,0.009,0.01,0.105,0.043,0.038,0.078,0.086,-0.043,-0.117,-0.041,0.117,0.085,0.059,-0.109,0.011,0.03,0.072,-0.107,0.057,-0.15,-0.007,-0.04,0.016,-0.066,-0.004,-0.027
"18",18,10001,77950001,243,0.133,-0.093,-0.062,-0.054,0.023,-0.019,0.049,-0.221,-0.059,-0.063,0.011,0.122,-0.13,-0.056,-0.032,-0.042,0.093,0.083,0.116,0.108,0.036,0.075,0.108,0.033,0.042,0.043,-0.08,0.062,-0.094,0.059,0.03,0.111,-0.065,-0.168,-0.029,0.051,0.193,0.009,0.135,-0.057,0.204,-0.11,0.01,0.004,-0.076
"19",19,60001,59050001,711,0.04,-0.02,-0.019,-0.069,-0.069,-0.122,-0.014,-0.025,-0.005,0.004,-0.024,0.058,-0.024,-0.03,-0.005,0.018,-0.036,-0.104,-0.07,-0.035,0.031,0.085,0.057,-0.034,-0.083,-0.063,-0.029,0.029,0.01,-0.042,-0.059,0.078,0.031,0.02,0.064,-0.081,-0.091,0.063,0.059,0.017,-0.03,-0.11,-0.03,0.106,0.012
"20",20,60001,62850001,359,0.093,-0.057,-0.053,-0.097,0.083,0.014,0.089,-0.035,-0.04,0.004,0.078,0.061,-0.056,-0.056,-0.026,-0.024,-0.066,-0.123,0.177,0.061,0.003,0.062,0.046,0.052,-0.105,-0.102,-0.018,0.023,-0.047,-0.099,-0.07,0.073,0.035,0.027,0.036,-0.125,0.02,0.044,0.006,-0.032,-0.059,-0.022,0.037,-0.004,-0.025
"21",21,10697897,48050001,157,0.176,-0.022,0.043,-0.034,-0.016,0.072,-0.188,-0.004,-0.136,0.043,0.002,-0.107,0.132,0.01,0.012,0.01,-0.032,-0.056,-0.079,0.064,0.019,0.073,0.066,0.076,-0.052,-0.032,0,0.035,-0.018,-0.07,-0.054,-0.084,0.04,0.148,0.066,-0.031,-0.025,0.09,0.061,0.001,0.217,0.073,0.057,0.159,-0.018
"22",22,16050001,51200001,300,-0.118,0.022,-0.151,-0.022,-0.235,0.034,-0.168,0.005,-0.005,0.032,-0.141,-0.084,0.023,-0.057,-0.342,0.06,0.021,-0.09,-0.032,-0.129,0.024,-0.022,-0.049,0.007,-0.057,-0.013,0.009,-0.028,0.041,0.027,-0.019,-0.023,-0.032,-0.047,0.025,-0.025,-0.333,-0.041,-0.062,0.064,-0.261,-0.105,-0.382,-0.114,-0.105
